
#################################################################
Log started at 2025-06-12_16-19-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: d466, Got: 7db1
Checksum failed. Expected: e62a, Got: 7e56
Checksum failed. Expected: 0ccb, Got: 85ea
Checksum failed. Expected: 8f50, Got: 8677
Checksum failed. Expected: 63e0, Got: 038e
Checksum failed. Expected: c8e3, Got: 8bb1
Checksum failed. Expected: 21d2, Got: 89b6
Checksum failed. Expected: 0732, Got: 8cfc
Checksum failed. Expected: 10b9, Got: 12fe
Checksum failed. Expected: 6374, Got: a452
Checksum failed. Expected: b6fa, Got: a310
Checksum failed. Expected: 3542, Got: a1df
Checksum failed. Expected: 2637, Got: 2889
Checksum failed. Expected: ccee, Got: a721
Checksum failed. Expected: f313, Got: 2586
Checksum failed. Expected: 857e, Got: aeba
Checksum failed. Expected: a13e, Got: a986
Checksum failed. Expected: 0d77, Got: 2e22
Checksum failed. Expected: 85f5, Got: 36ff
Checksum failed. Expected: 7e32, Got: 3e81
Checksum failed. Expected: 9f23, Got: c06a
Checksum failed. Expected: 9b12, Got: 4206
Checksum failed. Expected: 4b2d, Got: 4b14
Checksum failed. Expected: 3c2e, Got: c174
Checksum failed. Expected: 1b81, Got: 3fc5
Checksum failed. Expected: ba1c, Got: b3ab
Checksum failed. Expected: 8496, Got: b298
Checksum failed. Expected: d5df, Got: 340e
Checksum failed. Expected: 3246, Got: b592
Checksum failed. Expected: 6e37, Got: b3ac
Checksum failed. Expected: 239a, Got: 253f
Checksum failed. Expected: 3e5d, Got: a405
Checksum failed. Expected: 2a4c, Got: a65d
Checksum failed. Expected: fc1d, Got: a674
Checksum failed. Expected: 60dc, Got: 21e5
Checksum failed. Expected: ac7d, Got: 188e
Checksum failed. Expected: 6953, Got: 9ec0
Checksum failed. Expected: d0df, Got: a909
Checksum failed. Expected: 7a69, Got: ad2a
Checksum failed. Expected: 0cb3, Got: 2603
Checksum failed. Expected: f795, Got: 9f18
Checksum failed. Expected: 61c6, Got: a6e0
Checksum failed. Expected: 00b4, Got: a7ba
Checksum failed. Expected: 3eda, Got: 2804
Checksum failed. Expected: c089, Got: a7af
Checksum failed. Expected: 8886, Got: 305e
Checksum failed. Expected: 5b2e, Got: 3626
Checksum failed. Expected: f954, Got: 39e2
Checksum failed. Expected: ed26, Got: 38a2
Checksum failed. Expected: d988, Got: 419e
Checksum failed. Expected: 48c1, Got: 9d5b
Checksum failed. Expected: 74b0, Got: 9de9
Checksum failed. Expected: b2cf, Got: a2c6
Checksum failed. Expected: 6d1c, Got: c28c
Checksum failed. Expected: c25f, Got: 3faa
Checksum failed. Expected: 6364, Got: 2416
Checksum failed. Expected: 4d97, Got: a70f
Checksum failed. Expected: 854f, Got: 25d8
Checksum failed. Expected: b73b, Got: 63f5
Checksum failed. Expected: 965a, Got: 3de7
Checksum failed. Expected: 046c, Got: c0aa
Checksum failed. Expected: 6295, Got: 3cd6
Checksum failed. Expected: 7a74, Got: bf23
Checksum failed. Expected: 2e9d, Got: 3781
Checksum failed. Expected: 79eb, Got: 2d05
Checksum failed. Expected: 72b8, Got: a44e
Checksum failed. Expected: 96dd, Got: 28f0
Checksum failed. Expected: a55f, Got: 2250
Checksum failed. Expected: fb5e, Got: 970a
Checksum failed. Expected: b7a7, Got: 96d0
Checksum failed. Expected: 7c01, Got: 91a5
Checksum failed. Expected: 9634, Got: 924c
Checksum failed. Expected: 83c3, Got: 9401
Checksum failed. Expected: b1ad, Got: 085c
Checksum failed. Expected: 95fa, Got: 0176
Checksum failed. Expected: 084f, Got: 805c
Checksum failed. Expected: cc72, Got: 7e45
Checksum failed. Expected: 2eed, Got: ff72
Checksum failed. Expected: 913d, Got: 7abb
Checksum failed. Expected: 7f59, Got: 7b56
Checksum failed. Expected: 1313, Got: f8b0
Checksum failed. Expected: 5f32, Got: 70c7
Checksum failed. Expected: c5b6, Got: 7627
Checksum failed. Expected: a9e6, Got: 7f59
Checksum failed. Expected: 1516, Got: 01df
Checksum failed. Expected: 70bd, Got: 01a4
Checksum failed. Expected: ccd6, Got: 0545
Checksum failed. Expected: eda3, Got: 0bbf
Checksum failed. Expected: 6bde, Got: 8c7a
Checksum failed. Expected: 8cad, Got: 2201
Checksum failed. Expected: 79cd, Got: 154f
Checksum failed. Expected: 0b33, Got: d398
Checksum failed. Expected: 5a5e, Got: a4a4
Checksum failed. Expected: c448, Got: afb7
Checksum failed. Expected: 77b4, Got: d6cf
Checksum failed. Expected: a86b, Got: da8a
