
#################################################################
Log started at 2025-06-12_16-19-46 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ca02, Got: 1342
Checksum failed. Expected: 4291, Got: 1443
Checksum failed. Expected: 9e48, Got: 1a48
Checksum failed. Expected: 7d39, Got: 1902
Checksum failed. Expected: 22d6, Got: 94d0
Checksum failed. Expected: 1033, Got: 0f65
Checksum failed. Expected: 8346, Got: 8c3e
Checksum failed. Expected: a1fa, Got: 0c0d
Checksum failed. Expected: 79ed, Got: 8c9d
Checksum failed. Expected: 9cba, Got: 0555
Checksum failed. Expected: 0a7e, Got: 0401
Checksum failed. Expected: c886, Got: 8e60
Checksum failed. Expected: 8e3e, Got: 12db
Checksum failed. Expected: cec8, Got: 1718
Checksum failed. Expected: b776, Got: 87df
Checksum failed. Expected: f24b, Got: 0b85
Checksum failed. Expected: e8d4, Got: 93a4
Checksum failed. Expected: 30ff, Got: 961e
Checksum failed. Expected: 09be, Got: 198f
Checksum failed. Expected: b8f7, Got: 2262
Checksum failed. Expected: 5d9e, Got: 9f60
Checksum failed. Expected: 58f2, Got: 1af1
Checksum failed. Expected: c809, Got: 981d
Checksum failed. Expected: c0bf, Got: 1cbd
Checksum failed. Expected: f946, Got: 9dfe
Checksum failed. Expected: 4d35, Got: 1aa7
Checksum failed. Expected: 6235, Got: a4f9
Checksum failed. Expected: 49d4, Got: 2617
Checksum failed. Expected: 32ff, Got: a9a6
Checksum failed. Expected: d2dd, Got: a439
Checksum failed. Expected: 6b31, Got: aa5b
Checksum failed. Expected: 1bcb, Got: ad6d
Checksum failed. Expected: 52d2, Got: b07a
Checksum failed. Expected: 4d28, Got: 33b2
Checksum failed. Expected: 0890, Got: ade5
Checksum failed. Expected: e60f, Got: ac8a
Checksum failed. Expected: dc20, Got: 2195
Checksum failed. Expected: 64d6, Got: 9842
Checksum failed. Expected: 42e7, Got: 9975
Checksum failed. Expected: 4f00, Got: 1e9e
Checksum failed. Expected: 34d2, Got: 1e64
Checksum failed. Expected: c333, Got: a296
Checksum failed. Expected: 1307, Got: 9f21
Checksum failed. Expected: 32cf, Got: 9d56
Checksum failed. Expected: c047, Got: 146a
Checksum failed. Expected: 3d77, Got: 1132
Checksum failed. Expected: 315d, Got: 0d5e
Checksum failed. Expected: 8775, Got: 0559
Checksum failed. Expected: ecb8, Got: 0370
Checksum failed. Expected: ff0a, Got: 090a
Checksum failed. Expected: f5e3, Got: 11ed
Checksum failed. Expected: 0127, Got: 9d0d
Checksum failed. Expected: 335f, Got: 16e2
Checksum failed. Expected: 39d5, Got: 9082
Checksum failed. Expected: 13da, Got: 8f44
Checksum failed. Expected: dd3f, Got: 921d
Checksum failed. Expected: 0291, Got: 88d4
Checksum failed. Expected: b4ef, Got: ce26
Checksum failed. Expected: 0a2c, Got: 0c05
Checksum failed. Expected: 1c38, Got: 8fec
Checksum failed. Expected: 9cb8, Got: 1379
Checksum failed. Expected: 59b9, Got: 142a
Checksum failed. Expected: 186f, Got: 994d
Checksum failed. Expected: f742, Got: a125
Checksum failed. Expected: d468, Got: a51a
Checksum failed. Expected: 8bf8, Got: a1bc
Checksum failed. Expected: e020, Got: 8d71
Checksum failed. Expected: 8831, Got: d319
Checksum failed. Expected: d516, Got: 52a7
Checksum failed. Expected: 342e, Got: aa2d
Checksum failed. Expected: 2653, Got: 2b67
Checksum failed. Expected: 15ec, Got: 2291
Checksum failed. Expected: 3062, Got: a3a0
Checksum failed. Expected: a501, Got: a3a3
Checksum failed. Expected: 3ff2, Got: 1936
Checksum failed. Expected: 4305, Got: 1dd4
Checksum failed. Expected: 2c77, Got: a16c
Checksum failed. Expected: 0eff, Got: 9f64
Checksum failed. Expected: 799f, Got: 974e
Checksum failed. Expected: 132a, Got: 117c
Checksum failed. Expected: aeb7, Got: 91f4
Checksum failed. Expected: 75dd, Got: 17ef
Checksum failed. Expected: a1da, Got: 1948
Checksum failed. Expected: eeae, Got: 94ec
Checksum failed. Expected: 633a, Got: 14b5
Checksum failed. Expected: 762a, Got: a049
Checksum failed. Expected: 9bf5, Got: 9f58
Checksum failed. Expected: 1695, Got: 12d6
Checksum failed. Expected: 3106, Got: 0b80
Checksum failed. Expected: 337c, Got: 919a
Checksum failed. Expected: 015f, Got: 8f92
Checksum failed. Expected: b9dc, Got: 0cbf
Checksum failed. Expected: 2457, Got: 0390
Checksum failed. Expected: 9227, Got: 011b
Checksum failed. Expected: c3a1, Got: 0def
Checksum failed. Expected: 1ea3, Got: 9201
Checksum failed. Expected: e32c, Got: 1be7
Checksum failed. Expected: fb7a, Got: 2139
Checksum failed. Expected: 511f, Got: 16aa
Checksum failed. Expected: c850, Got: 8f34
Checksum failed. Expected: c12f, Got: 1186
Checksum failed. Expected: 83ea, Got: 0d32
Checksum failed. Expected: 3258, Got: 16f0
Checksum failed. Expected: dca9, Got: 1bc3
Checksum failed. Expected: e435, Got: 1dfd
Checksum failed. Expected: 4dc2, Got: 1f18
Checksum failed. Expected: 2d5b, Got: 9fc6
Checksum failed. Expected: 07ae, Got: 194a
Checksum failed. Expected: 84ab, Got: 0e68
Checksum failed. Expected: 6aca, Got: 8bc8
Checksum failed. Expected: 8f70, Got: 105a
Checksum failed. Expected: cad8, Got: 19fb
Checksum failed. Expected: 47f3, Got: 11a7
Checksum failed. Expected: 0d0a, Got: 1a1d
Checksum failed. Expected: f881, Got: 9e6a
Checksum failed. Expected: 2d42, Got: 22de
Checksum failed. Expected: eb24, Got: 9e5c
Checksum failed. Expected: 6862, Got: 955d
Checksum failed. Expected: 55da, Got: 13d1
Checksum failed. Expected: a0d8, Got: 1263
Checksum failed. Expected: f9c1, Got: 14fc
Checksum failed. Expected: b533, Got: 1205
Checksum failed. Expected: 36dc, Got: 9261
Checksum failed. Expected: adb2, Got: 9459
Checksum failed. Expected: 8773, Got: 93c8
Checksum failed. Expected: 8651, Got: 94e3
Checksum failed. Expected: 5754, Got: 2006
Checksum failed. Expected: a874, Got: 9c01
Checksum failed. Expected: 802e, Got: 13e5
Checksum failed. Expected: 185e, Got: 9624
Checksum failed. Expected: d814, Got: 0f21
Checksum failed. Expected: 4110, Got: 12f3
Checksum failed. Expected: c2b8, Got: 1baa
Checksum failed. Expected: 7397, Got: 9e03
Checksum failed. Expected: 844b, Got: 220d
Checksum failed. Expected: 14af, Got: 99f5
Checksum failed. Expected: 9e8f, Got: 979b
Checksum failed. Expected: 0e0e, Got: 19c4
Checksum failed. Expected: 72b1, Got: 24a7
Checksum failed. Expected: c730, Got: 2328
Checksum failed. Expected: c512, Got: a35d
Checksum failed. Expected: 45db, Got: a652
Checksum failed. Expected: 8cec, Got: 27e3
Checksum failed. Expected: 046b, Got: a072
Checksum failed. Expected: 7794, Got: 2016
Checksum failed. Expected: e8bf, Got: 1f68
Checksum failed. Expected: c94d, Got: 1a7e
Checksum failed. Expected: 2f02, Got: 9924
Checksum failed. Expected: 3040, Got: 1c37
Checksum failed. Expected: 24cb, Got: 98c2
Checksum failed. Expected: b175, Got: 954d
Checksum failed. Expected: 68ca, Got: 971d
Checksum failed. Expected: c3cd, Got: 9a58
Checksum failed. Expected: 3374, Got: a0c6
Checksum failed. Expected: e6e6, Got: 9f09
Checksum failed. Expected: a384, Got: 9128
Checksum failed. Expected: 427f, Got: 1129
Checksum failed. Expected: 37c9, Got: 966c
Checksum failed. Expected: db94, Got: 94eb
Checksum failed. Expected: c96d, Got: 14ca
Checksum failed. Expected: 21df, Got: 1362
Checksum failed. Expected: 5b5a, Got: 1ac1
Checksum failed. Expected: 4e31, Got: 177e
Checksum failed. Expected: b047, Got: 9b82
Checksum failed. Expected: bda3, Got: a7ff
Checksum failed. Expected: 2625, Got: 230e
Checksum failed. Expected: b959, Got: 185f
Checksum failed. Expected: 7c1a, Got: 931f
Checksum failed. Expected: 5cf3, Got: 143c
Checksum failed. Expected: 5fa9, Got: 95a2
Checksum failed. Expected: 23b5, Got: 1ffb
Checksum failed. Expected: 5825, Got: a697
Checksum failed. Expected: 09aa, Got: a778
Checksum failed. Expected: 97a7, Got: 1ae1
Checksum failed. Expected: 234f, Got: 09a7
Checksum failed. Expected: 40be, Got: 08ef
Checksum failed. Expected: ac9e, Got: 4bea
Checksum failed. Expected: 6c98, Got: d08a
Checksum failed. Expected: 4224, Got: 122b
Checksum failed. Expected: eb5b, Got: ab94
Checksum failed. Expected: b818, Got: 562a
Checksum failed. Expected: a656, Got: 9535
Checksum failed. Expected: aa1a, Got: 4ea4
Checksum failed. Expected: 9878, Got: 0d32
Checksum failed. Expected: 10b5, Got: cc02
Checksum failed. Expected: 076d, Got: c6c4
Checksum failed. Expected: a1a3, Got: c9bd
Checksum failed. Expected: e456, Got: 88c5
Checksum failed. Expected: e80a, Got: 4c95
Checksum failed. Expected: 8853, Got: 0fe7
Checksum failed. Expected: 3d75, Got: 9ca2
Checksum failed. Expected: 8d5b, Got: 9e33
Checksum failed. Expected: f62f, Got: 8f7a
Checksum failed. Expected: cba6, Got: 094b
Checksum failed. Expected: 0212, Got: 0f4a
Checksum failed. Expected: f624, Got: 0c36
Checksum failed. Expected: d70a, Got: 87c0
Checksum failed. Expected: 6353, Got: 8e51
Checksum failed. Expected: 484b, Got: 048a
Checksum failed. Expected: 0e73, Got: 8610
Checksum failed. Expected: d2b3, Got: fd9a
Checksum failed. Expected: 3727, Got: 8a13
Checksum failed. Expected: c516, Got: 11d2
Checksum failed. Expected: 4c6d, Got: 0c1a
Checksum failed. Expected: c6a2, Got: 0536
Checksum failed. Expected: 5d1f, Got: 0a56
Checksum failed. Expected: 0fab, Got: 08d9
Checksum failed. Expected: 8497, Got: 8b89
Checksum failed. Expected: ea16, Got: 148c
Checksum failed. Expected: f853, Got: a1f5
Checksum failed. Expected: ed9f, Got: 1b56
