
#################################################################
Log started at 2025-06-12_16-19-52 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 602f, Got: 7461
Checksum failed. Expected: 278f, Got: f009
Checksum failed. Expected: 646d, Got: f94c
Checksum failed. Expected: 9a55, Got: 03f3
Checksum failed. Expected: 9a09, Got: 8489
Checksum failed. Expected: 0bc3, Got: 3e95
Checksum failed. Expected: d4f0, Got: 4279
Checksum failed. Expected: c975, Got: 0e17
Checksum failed. Expected: 62ba, Got: 1370
Checksum failed. Expected: ae24, Got: 9483
Checksum failed. Expected: 9104, Got: 9c2a
Checksum failed. Expected: 9044, Got: 1197
Checksum failed. Expected: 5eb8, Got: d56f
Checksum failed. Expected: 9e77, Got: 11c3
Checksum failed. Expected: 3fab, Got: 4baf
Checksum failed. Expected: 146a, Got: 8e85
Checksum failed. Expected: cac6, Got: d466
Checksum failed. Expected: 802e, Got: 174a
Checksum failed. Expected: 885f, Got: 167a
Checksum failed. Expected: 5c1b, Got: 9c5b
Checksum failed. Expected: 5a2b, Got: 606e
Checksum failed. Expected: 320c, Got: 616c
Checksum failed. Expected: c564, Got: 9b60
Checksum failed. Expected: d024, Got: 5c97
Checksum failed. Expected: 8c0b, Got: ac11
Checksum failed. Expected: 4f0f, Got: 25b8
Checksum failed. Expected: 65ba, Got: 20e8
Checksum failed. Expected: 0b35, Got: a2f6
Checksum failed. Expected: 2dcc, Got: 546b
Checksum failed. Expected: 32fa, Got: a603
Checksum failed. Expected: 9373, Got: 9ce4
Checksum failed. Expected: efe4, Got: 1b7b
Checksum failed. Expected: d66c, Got: 234b
Checksum failed. Expected: 4b30, Got: a12b
Checksum failed. Expected: db9d, Got: 9523
Checksum failed. Expected: e841, Got: 939e
Checksum failed. Expected: 3bdd, Got: 8d41
Checksum failed. Expected: 5942, Got: 8b5e
Checksum failed. Expected: b491, Got: 1b28
Checksum failed. Expected: ba67, Got: 1cfd
Checksum failed. Expected: 059b, Got: 93ec
Checksum failed. Expected: 2ae3, Got: 8e1b
Checksum failed. Expected: 69b1, Got: 125c
Checksum failed. Expected: 2292, Got: 128e
