
#################################################################
Log started at 2025-06-12_16-19-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: c0b5, Got: a5ed
Checksum failed. Expected: b444, Got: a133
Checksum failed. Expected: b466, Got: 9ba8
Checksum failed. Expected: 971a, Got: 91e5
Checksum failed. Expected: 2c14, Got: 94c4
Checksum failed. Expected: ccc4, Got: 9401
Checksum failed. Expected: a341, Got: 8fd8
Checksum failed. Expected: 01e1, Got: 089e
Checksum failed. Expected: a502, Got: 0283
Checksum failed. Expected: b0b1, Got: fcfa
Checksum failed. Expected: 4413, Got: 026d
Checksum failed. Expected: f590, Got: 0ce0
Checksum failed. Expected: de60, Got: 12ac
Checksum failed. Expected: dcc3, Got: 1273
Checksum failed. Expected: e709, Got: 1582
Checksum failed. Expected: 6e48, Got: 17bb
Checksum failed. Expected: 722a, Got: 151a
Checksum failed. Expected: 9e0b, Got: 95d8
Checksum failed. Expected: c16c, Got: 0a74
Checksum failed. Expected: 118c, Got: 8ffc
Checksum failed. Expected: b078, Got: 8b0a
Checksum failed. Expected: 00bf, Got: 100c
Checksum failed. Expected: 0492, Got: 1641
Checksum failed. Expected: 377c, Got: 950a
Checksum failed. Expected: 5592, Got: 8c07
Checksum failed. Expected: 1382, Got: 17d4
Checksum failed. Expected: 1d73, Got: 12dc
Checksum failed. Expected: 315f, Got: 97f1
Checksum failed. Expected: 0be3, Got: 128f
Checksum failed. Expected: feed, Got: 0c22
Checksum failed. Expected: d943, Got: 04b3
Checksum failed. Expected: 3c5b, Got: 7eea
Checksum failed. Expected: 917b, Got: fdd7
Checksum failed. Expected: 5022, Got: 8744
Checksum failed. Expected: 1298, Got: 8b38
Checksum failed. Expected: 4b2d, Got: 1394
Checksum failed. Expected: ec3d, Got: 8ccd
Checksum failed. Expected: 754c, Got: 88a4
Checksum failed. Expected: 2a7c, Got: 8895
Checksum failed. Expected: 3357, Got: 0e48
Checksum failed. Expected: 2af4, Got: 8d77
Checksum failed. Expected: 8697, Got: 0952
Checksum failed. Expected: 47b4, Got: 061a
Checksum failed. Expected: 4b3a, Got: 8cf0
Checksum failed. Expected: cff7, Got: 8dbe
Checksum failed. Expected: d941, Got: 0788
Checksum failed. Expected: b611, Got: 4921
Checksum failed. Expected: 4fd8, Got: 4ae0
Checksum failed. Expected: f4fa, Got: 920c
Checksum failed. Expected: ac78, Got: 99af
Checksum failed. Expected: 72a5, Got: 94c0
Checksum failed. Expected: d0ea, Got: 9186
Checksum failed. Expected: fe3e, Got: 0d5e
Checksum failed. Expected: f0d9, Got: 1760
Checksum failed. Expected: c5e1, Got: 90a4
Checksum failed. Expected: 905a, Got: 9ab4
Checksum failed. Expected: 140d, Got: 1a4b
Checksum failed. Expected: f709, Got: 93f8
Checksum failed. Expected: 4146, Got: 8c25
Checksum failed. Expected: 1f22, Got: 90b9
Checksum failed. Expected: 5bb3, Got: 8ce4
Checksum failed. Expected: 108b, Got: 05f3
Checksum failed. Expected: 3e49, Got: 858b
Checksum failed. Expected: b05b, Got: 8568
Checksum failed. Expected: 9baa, Got: 0542
Checksum failed. Expected: f697, Got: 88be
Checksum failed. Expected: 37d2, Got: 0cbd
Checksum failed. Expected: 8609, Got: 0e88
Checksum failed. Expected: 4943, Got: 96cf
Checksum failed. Expected: d148, Got: 8e38
Checksum failed. Expected: fd5d, Got: 8f7e
Checksum failed. Expected: 6d6f, Got: 93b0
Checksum failed. Expected: 4681, Got: 12d0
Checksum failed. Expected: 0e58, Got: 0aae
Checksum failed. Expected: c4d9, Got: 8b5e
