
#################################################################
Log started at 2025-06-12_16-20-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 2536, Got: b43a
Checksum failed. Expected: 9cad, Got: 22d1
Checksum failed. Expected: 3554, Got: 9169
Checksum failed. Expected: 9591, Got: 0000
Checksum failed. Expected: 64de, Got: 6e98
Checksum failed. Expected: ded5, Got: dd2f
Checksum failed. Expected: 25e8, Got: 4bc7
Checksum failed. Expected: bb52, Got: ba5f
Checksum failed. Expected: 2eba, Got: 28f6
Checksum failed. Expected: 28af, Got: 978e
Checksum failed. Expected: a279, Got: 0625
Checksum failed. Expected: ea90, Got: e354
Checksum failed. Expected: b0ee, Got: 51ec
Checksum failed. Expected: 6b52, Got: c083
Checksum failed. Expected: b8c5, Got: 2f1b
Checksum failed. Expected: f531, Got: 9db3
Checksum failed. Expected: c7df, Got: 0c4a
Checksum failed. Expected: 68c0, Got: 7ae2
Checksum failed. Expected: 903b, Got: e979
Checksum failed. Expected: 4444, Got: 5811
Checksum failed. Expected: 326a, Got: c6a8
Checksum failed. Expected: 0863, Got: 3540
Checksum failed. Expected: 7cdd, Got: a3d7
Checksum failed. Expected: 89d8, Got: 126f
Checksum failed. Expected: bbb6, Got: 8106
Checksum failed. Expected: 909a, Got: ef9e
Checksum failed. Expected: 3f6a, Got: 5e36
Checksum failed. Expected: 9c96, Got: cccd
Checksum failed. Expected: 212d, Got: 3b65
Checksum failed. Expected: 0e39, Got: a9fc
Checksum failed. Expected: 1d50, Got: 1894
Checksum failed. Expected: 686a, Got: 872b
Checksum failed. Expected: d6b8, Got: f5c3
Checksum failed. Expected: 4a42, Got: 645a
Checksum failed. Expected: 9267, Got: d2f2
Checksum failed. Expected: 0b37, Got: 418a
Checksum failed. Expected: 9701, Got: b021
Checksum failed. Expected: 390e, Got: 1eb9
Checksum failed. Expected: 3f98, Got: 8d50
Checksum failed. Expected: 52e0, Got: fbe8
Checksum failed. Expected: e1f0, Got: 6a7f
Checksum failed. Expected: 48bb, Got: d917
Checksum failed. Expected: d8c5, Got: 47ae
Checksum failed. Expected: 0794, Got: b646
Checksum failed. Expected: f7d2, Got: 24de
Checksum failed. Expected: 3ca1, Got: 9375
Checksum failed. Expected: c988, Got: 020d
Checksum failed. Expected: 7a58, Got: 70a4
Checksum failed. Expected: 3c46, Got: df3c
Checksum failed. Expected: db22, Got: 4dd3
Checksum failed. Expected: cea9, Got: bc6b
Checksum failed. Expected: 890d, Got: 2b02
Checksum failed. Expected: cac4, Got: 999a
Checksum failed. Expected: e360, Got: 0832
Checksum failed. Expected: 9208, Got: 76c9
Checksum failed. Expected: 04a2, Got: e561
Checksum failed. Expected: 1b02, Got: 53f8
Checksum failed. Expected: 8733, Got: c290
Checksum failed. Expected: 5ceb, Got: 3127
Checksum failed. Expected: 2508, Got: 9fbf
Checksum failed. Expected: 7e18, Got: 0e56
Checksum failed. Expected: 1481, Got: 7cee
Checksum failed. Expected: b2d6, Got: 147b
Checksum failed. Expected: 6987, Got: 8313
Checksum failed. Expected: 0438, Got: f1aa
Checksum failed. Expected: 9241, Got: 6042
Checksum failed. Expected: d837, Got: ced9
Checksum failed. Expected: d10e, Got: 3d71
Checksum failed. Expected: b9ca, Got: ac09
