
#################################################################
Log started at 2025-06-12_16-20-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 88e1, Got: cac1
Checksum failed. Expected: c724, Got: 3958
Checksum failed. Expected: 29b5, Got: a7f0
Checksum failed. Expected: fb63, Got: 1688
Checksum failed. Expected: 9a37, Got: 851f
Checksum failed. Expected: 0333, Got: f3b7
Checksum failed. Expected: 9bb5, Got: 624e
Checksum failed. Expected: 2cb6, Got: d0e6
Checksum failed. Expected: 5c94, Got: 3f7d
Checksum failed. Expected: 6973, Got: ae15
Checksum failed. Expected: 8c87, Got: 1cac
Checksum failed. Expected: dd32, Got: 8b44
Checksum failed. Expected: 9abf, Got: f9db
Checksum failed. Expected: 17da, Got: 6873
Checksum failed. Expected: 91a8, Got: d70b
Checksum failed. Expected: 9828, Got: 45a2
Checksum failed. Expected: 2635, Got: b43a
Checksum failed. Expected: 54d7, Got: 22d1
Checksum failed. Expected: 1e2c, Got: 9169
Checksum failed. Expected: 19ed, Got: 0000
Checksum failed. Expected: 29e0, Got: 6e98
Checksum failed. Expected: 7fdf, Got: dd2f
Checksum failed. Expected: 023a, Got: 4bc7
Checksum failed. Expected: 5a40, Got: ba5f
Checksum failed. Expected: 29b0, Got: 28f6
Checksum failed. Expected: 4149, Got: 978e
Checksum failed. Expected: 2e5d, Got: 0625
Checksum failed. Expected: ee12, Got: 74bd
Checksum failed. Expected: a661, Got: e354
Checksum failed. Expected: 7d60, Got: 51ec
Checksum failed. Expected: 7628, Got: c083
Checksum failed. Expected: 8429, Got: 2f1b
Checksum failed. Expected: 47e9, Got: 9db3
Checksum failed. Expected: 0def, Got: 0c4a
Checksum failed. Expected: ec34, Got: 7ae2
Checksum failed. Expected: 8a23, Got: e979
Checksum failed. Expected: 061c, Got: 5811
Checksum failed. Expected: d158, Got: c6a8
Checksum failed. Expected: 1dc5, Got: 3540
Checksum failed. Expected: e5d7, Got: a3d7
Checksum failed. Expected: ec7e, Got: 126f
Checksum failed. Expected: 9e5c, Got: 8106
Checksum failed. Expected: 23e0, Got: ef9e
Checksum failed. Expected: 2fc6, Got: 5e36
Checksum failed. Expected: 89c8, Got: cccd
Checksum failed. Expected: 3ac7, Got: 3b65
Checksum failed. Expected: 6429, Got: a9fc
Checksum failed. Expected: ae7a, Got: 1894
Checksum failed. Expected: 11e4, Got: 872b
Checksum failed. Expected: 738a, Got: f5c3
Checksum failed. Expected: dc7a, Got: 645a
Checksum failed. Expected: 554d, Got: d2f2
Checksum failed. Expected: 7107, Got: 418a
Checksum failed. Expected: 5e1f, Got: b021
Checksum failed. Expected: 0464, Got: 1eb9
Checksum failed. Expected: cd98, Got: 8d50
Checksum failed. Expected: 6ea4, Got: fbe8
Checksum failed. Expected: e99c, Got: 6a7f
Checksum failed. Expected: 42a3, Got: d917
Checksum failed. Expected: ada7, Got: 47ae
Checksum failed. Expected: 3fe0, Got: b646
Checksum failed. Expected: aad8, Got: 24de
Checksum failed. Expected: 7e79, Got: 9375
Checksum failed. Expected: 4cee, Got: 020d
Checksum failed. Expected: ebc2, Got: 70a4
Checksum failed. Expected: 41c8, Got: df3c
Checksum failed. Expected: f8f4, Got: 4dd3
Checksum failed. Expected: 4567, Got: bc6b
Checksum failed. Expected: d355, Got: 2b02
Checksum failed. Expected: 4a00, Got: 999a
Checksum failed. Expected: 7ade, Got: 0832
Checksum failed. Expected: 41d6, Got: 76c9
Checksum failed. Expected: 70c6, Got: e561
Checksum failed. Expected: 6220, Got: 53f8
Checksum failed. Expected: a513, Got: c290
Checksum failed. Expected: 8bb9, Got: 3127
Checksum failed. Expected: 1ee2, Got: 9fbf
Checksum failed. Expected: 2684, Got: 0e56
Checksum failed. Expected: d43d, Got: 7cee
Checksum failed. Expected: 5cec, Got: eb85
Checksum failed. Expected: 9fd3, Got: 5a1d
Checksum failed. Expected: f057, Got: c8b5
Checksum failed. Expected: 9055, Got: 374c
Checksum failed. Expected: 9f50, Got: a5e4
Checksum failed. Expected: a7fe, Got: 147b
Checksum failed. Expected: b707, Got: 8313
Checksum failed. Expected: e7de, Got: f1aa
Checksum failed. Expected: 97c3, Got: 6042
Checksum failed. Expected: 0f75, Got: ced9
Checksum failed. Expected: a7fe, Got: 3d71
Checksum failed. Expected: f224, Got: ac09
Checksum failed. Expected: 2d7c, Got: 1aa0
Checksum failed. Expected: 2663, Got: 8938
Checksum failed. Expected: bfec, Got: f7cf
Checksum failed. Expected: 8949, Got: 6667
Checksum failed. Expected: bf53, Got: d4fe
Checksum failed. Expected: e9f0, Got: 4396
Checksum failed. Expected: 5a34, Got: b22d
Checksum failed. Expected: 06d9, Got: 20c5
Checksum failed. Expected: 5663, Got: 8f5d
Checksum failed. Expected: 9f98, Got: fdf4
Checksum failed. Expected: 3a57, Got: 6c8c
Checksum failed. Expected: 0269, Got: db23
Checksum failed. Expected: 6a33, Got: 49bb
Checksum failed. Expected: 0a07, Got: b852
Checksum failed. Expected: 9691, Got: e148
Checksum failed. Expected: 337b, Got: 4fe0
Checksum failed. Expected: a1b5, Got: be77
Checksum failed. Expected: e490, Got: 2d0f
Checksum failed. Expected: c60e, Got: 9ba6
Checksum failed. Expected: 203f, Got: 0a3e
Checksum failed. Expected: a27d, Got: 78d5
Checksum failed. Expected: 3093, Got: e76d
Checksum failed. Expected: 8cb9, Got: 5604
Checksum failed. Expected: ad9a, Got: c49c
Checksum failed. Expected: 05a8, Got: 3334
Checksum failed. Expected: 2ce0, Got: a1cb
Checksum failed. Expected: f74b, Got: 1063
Checksum failed. Expected: 0633, Got: 7efa
Checksum failed. Expected: 68ed, Got: ed92
Checksum failed. Expected: 6f6d, Got: 5c29
Checksum failed. Expected: d1fe, Got: cac1
Checksum failed. Expected: e764, Got: 3958
Checksum failed. Expected: e46f, Got: a7f0
Checksum failed. Expected: e8d9, Got: 1688
Checksum failed. Expected: 608b, Got: 851f
Checksum failed. Expected: bcd1, Got: f3b7
Checksum failed. Expected: 17fd, Got: 624e
Checksum failed. Expected: 6ba8, Got: d0e6
Checksum failed. Expected: 1424, Got: 3f7d
Checksum failed. Expected: 2a81, Got: ae15
Checksum failed. Expected: 7e43, Got: 1cac
Checksum failed. Expected: 118a, Got: 8b44
Checksum failed. Expected: 11c1, Got: f9db
Checksum failed. Expected: 43c2, Got: 6873
Checksum failed. Expected: cc62, Got: d70b
Checksum failed. Expected: 5f8a, Got: 45a2
Checksum failed. Expected: 4bbb, Got: b43a
Checksum failed. Expected: 6a8b, Got: 22d1
Checksum failed. Expected: f898, Got: 9169
Checksum failed. Expected: aa51, Got: 0000
Checksum failed. Expected: 130a, Got: 6e98
Checksum failed. Expected: 3fbd, Got: dd2f
Checksum failed. Expected: 07de, Got: 4bc7
Checksum failed. Expected: af44, Got: ba5f
Checksum failed. Expected: c488, Got: 28f6
Checksum failed. Expected: 855f, Got: 978e
Checksum failed. Expected: 9dcd, Got: 0625
Checksum failed. Expected: b00c, Got: 74bd
Checksum failed. Expected: bad7, Got: e354
Checksum failed. Expected: d69c, Got: 51ec
Checksum failed. Expected: fcda, Got: c083
Checksum failed. Expected: 924b, Got: 2f1b
Checksum failed. Expected: e1b3, Got: 9db3
Checksum failed. Expected: bcdf, Got: 0c4a
Checksum failed. Expected: 7e8e, Got: 7ae2
Checksum failed. Expected: 657b, Got: e979
Checksum failed. Expected: 69e4, Got: 5811
Checksum failed. Expected: f284, Got: c6a8
Checksum failed. Expected: 28bd, Got: 3540
Checksum failed. Expected: 26c3, Got: a3d7
Checksum failed. Expected: 8972, Got: 126f
Checksum failed. Expected: 5292, Got: 8106
Checksum failed. Expected: 2014, Got: ef9e
Checksum failed. Expected: 70b2, Got: 5e36
Checksum failed. Expected: d440, Got: cccd
Checksum failed. Expected: 162d, Got: 3b65
Checksum failed. Expected: 2c77, Got: a9fc
Checksum failed. Expected: 342c, Got: 1894
Checksum failed. Expected: 946c, Got: 872b
Checksum failed. Expected: 15c4, Got: f5c3
Checksum failed. Expected: 49ce, Got: 645a
Checksum failed. Expected: 054b, Got: d2f2
Checksum failed. Expected: 9aa3, Got: 418a
Checksum failed. Expected: e1a7, Got: b021
Checksum failed. Expected: b89a, Got: 1eb9
Checksum failed. Expected: 8a4c, Got: 8d50
Checksum failed. Expected: 8328, Got: fbe8
Checksum failed. Expected: 8ce4, Got: 6a7f
Checksum failed. Expected: f085, Got: d917
Checksum failed. Expected: a7b1, Got: 47ae
Checksum failed. Expected: dffe, Got: b646
Checksum failed. Expected: 35d0, Got: 24de
Checksum failed. Expected: 34cb, Got: 9375
Checksum failed. Expected: d6d8, Got: 020d
Checksum failed. Expected: 7390, Got: 70a4
Checksum failed. Expected: b146, Got: df3c
Checksum failed. Expected: c36c, Got: 4dd3
Checksum failed. Expected: e585, Got: bc6b
Checksum failed. Expected: 976b, Got: 2b02
Checksum failed. Expected: e1a0, Got: 999a
Checksum failed. Expected: b030, Got: 0832
Checksum failed. Expected: e52c, Got: 76c9
Checksum failed. Expected: ac6c, Got: e561
Checksum failed. Expected: d900, Got: 53f8
Checksum failed. Expected: c74d, Got: c290
Checksum failed. Expected: 9ae9, Got: 3127
Checksum failed. Expected: 7610, Got: 9fbf
Checksum failed. Expected: cada, Got: 0e56
Checksum failed. Expected: bf75, Got: 7cee
Checksum failed. Expected: 3fb4, Got: eb85
Checksum failed. Expected: dd95, Got: 5a1d
Checksum failed. Expected: f933, Got: c8b5
Checksum failed. Expected: e667, Got: 374c
Checksum failed. Expected: 0ca4, Got: a5e4
Checksum failed. Expected: 30da, Got: 147b
Checksum failed. Expected: 66f7, Got: 8313
Checksum failed. Expected: c88a, Got: f1aa
Checksum failed. Expected: 25e5, Got: 6042
Checksum failed. Expected: 930b, Got: ced9
Checksum failed. Expected: 6f4c, Got: 3d71
Checksum failed. Expected: 8046, Got: ac09
Checksum failed. Expected: 86b8, Got: 1aa0
Checksum failed. Expected: 315b, Got: 8938
Checksum failed. Expected: e77a, Got: f7cf
Checksum failed. Expected: ce6d, Got: 6667
Checksum failed. Expected: 9349, Got: d4fe
Checksum failed. Expected: c556, Got: 4396
Checksum failed. Expected: 0b40, Got: b22d
Checksum failed. Expected: 7111, Got: 20c5
Checksum failed. Expected: 69cb, Got: 8f5d
Checksum failed. Expected: 0cec, Got: fdf4
Checksum failed. Expected: ff7b, Got: 6c8c
Checksum failed. Expected: 7c73, Got: db23
Checksum failed. Expected: 850b, Got: 49bb
Checksum failed. Expected: 49d7, Got: b852
Checksum failed. Expected: 6d0c, Got: 26ea
Checksum failed. Expected: 2ca8, Got: 9581
Checksum failed. Expected: 3347, Got: 0419
Checksum failed. Expected: 6627, Got: 72b0
Checksum failed. Expected: cf43, Got: e148
Checksum failed. Expected: a515, Got: 4fe0
Checksum failed. Expected: dc4d, Got: be77
Checksum failed. Expected: 4212, Got: 2d0f
Checksum failed. Expected: ed8e, Got: 9ba6
Checksum failed. Expected: 25e3, Got: 0a3e
Checksum failed. Expected: a3e9, Got: 78d5
Checksum failed. Expected: ce95, Got: e76d
Checksum failed. Expected: 2f01, Got: 5604
Checksum failed. Expected: c21e, Got: c49c
Checksum failed. Expected: 9f72, Got: 3334
Checksum failed. Expected: b4ae, Got: a1cb
Checksum failed. Expected: d905, Got: 1063
Checksum failed. Expected: 7e21, Got: 7efa
Checksum failed. Expected: beff, Got: ed92
Checksum failed. Expected: 7957, Got: 5c29
Checksum failed. Expected: 1c76, Got: cac1
Checksum failed. Expected: ff12, Got: 3958
Checksum failed. Expected: f5bb, Got: a7f0
Checksum failed. Expected: ef99, Got: 1688
Checksum failed. Expected: a9e7, Got: 851f
Checksum failed. Expected: 5371, Got: f3b7
Checksum failed. Expected: 8235, Got: 624e
Checksum failed. Expected: e06c, Got: d0e6
Checksum failed. Expected: ff5c, Got: 3f7d
Checksum failed. Expected: bcdb, Got: ae15
Checksum failed. Expected: 25c3, Got: 1cac
Checksum failed. Expected: 2500, Got: 8b44
Checksum failed. Expected: 4c59, Got: f9db
Checksum failed. Expected: 8d2c, Got: 6873
Checksum failed. Expected: 477a, Got: d70b
Checksum failed. Expected: 24ae, Got: 45a2
Checksum failed. Expected: 6bd9, Got: b43a
Checksum failed. Expected: ad93, Got: 22d1
Checksum failed. Expected: 2ddc, Got: 9169
Checksum failed. Expected: b337, Got: 0000
Checksum failed. Expected: 7810, Got: 6e98
Checksum failed. Expected: dbc5, Got: dd2f
Checksum failed. Expected: 075e, Got: 4bc7
Checksum failed. Expected: 0032, Got: ba5f
Checksum failed. Expected: 135a, Got: 28f6
Checksum failed. Expected: ccc1, Got: 978e
Checksum failed. Expected: 1097, Got: 0625
Checksum failed. Expected: fba6, Got: 74bd
Checksum failed. Expected: c5f1, Got: e354
