
#################################################################
Log started at 2025-06-12_16-20-06 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: faf8, Got: 6c8c
Checksum failed. Expected: d1d5, Got: db23
Checksum failed. Expected: 6d77, Got: 49bb
Checksum failed. Expected: f4ed, Got: b852
Checksum failed. Expected: b28e, Got: 26ea
Checksum failed. Expected: 505c, Got: 9581
Checksum failed. Expected: 7c01, Got: 0419
Checksum failed. Expected: 19ad, Got: 72b0
Checksum failed. Expected: 478f, Got: e148
Checksum failed. Expected: ad41, Got: 4fe0
Checksum failed. Expected: 7ee5, Got: be77
Checksum failed. Expected: 8ef6, Got: 2d0f
Checksum failed. Expected: 157a, Got: 9ba6
Checksum failed. Expected: 6b73, Got: 0a3e
Checksum failed. Expected: 3bf5, Got: 78d5
Checksum failed. Expected: 1fbf, Got: e76d
Checksum failed. Expected: a74d, Got: 5604
Checksum failed. Expected: e9fc, Got: c49c
Checksum failed. Expected: fa28, Got: 3334
Checksum failed. Expected: 73dc, Got: a1cb
Checksum failed. Expected: 4171, Got: 1063
Checksum failed. Expected: 49f7, Got: 7efa
Checksum failed. Expected: 9cdf, Got: ed92
Checksum failed. Expected: 88e5, Got: 5c29
Checksum failed. Expected: 4bc4, Got: cac1
Checksum failed. Expected: 193a, Got: 3958
Checksum failed. Expected: dc19, Got: a7f0
Checksum failed. Expected: e083, Got: 1688
Checksum failed. Expected: aab1, Got: 851f
Checksum failed. Expected: 84db, Got: f3b7
Checksum failed. Expected: 753b, Got: 624e
Checksum failed. Expected: 49e6, Got: d0e6
Checksum failed. Expected: 8350, Got: 3f7d
Checksum failed. Expected: 8487, Got: ae15
Checksum failed. Expected: 09f7, Got: 1cac
Checksum failed. Expected: bd0c, Got: 8b44
Checksum failed. Expected: 81fb, Got: f9db
Checksum failed. Expected: 2da8, Got: 6873
Checksum failed. Expected: 6c3c, Got: d70b
Checksum failed. Expected: cc9a, Got: 45a2
Checksum failed. Expected: e541, Got: b43a
Checksum failed. Expected: 9829, Got: 22d1
Checksum failed. Expected: 3d78, Got: 9169
Checksum failed. Expected: a74b, Got: 0000
Checksum failed. Expected: b414, Got: 6e98
Checksum failed. Expected: d63b, Got: dd2f
Checksum failed. Expected: 70d8, Got: 4bc7
Checksum failed. Expected: d8be, Got: ba5f
Checksum failed. Expected: a94a, Got: 28f6
Checksum failed. Expected: 5f87, Got: 978e
Checksum failed. Expected: e3dd, Got: 0625
Checksum failed. Expected: 02c4, Got: 74bd
Checksum failed. Expected: cc0f, Got: e354
Checksum failed. Expected: 6172, Got: 51ec
Checksum failed. Expected: c2ea, Got: c083
Checksum failed. Expected: 0d41, Got: 2f1b
Checksum failed. Expected: 499f, Got: 9db3
Checksum failed. Expected: c7b5, Got: 0c4a
Checksum failed. Expected: ce2a, Got: 7ae2
Checksum failed. Expected: 835b, Got: e979
Checksum failed. Expected: 3b9c, Got: 5811
Checksum failed. Expected: 0902, Got: c6a8
Checksum failed. Expected: 39e7, Got: 3540
Checksum failed. Expected: 1949, Got: a3d7
Checksum failed. Expected: 7d06, Got: 126f
Checksum failed. Expected: 5a3e, Got: 8106
Checksum failed. Expected: 917e, Got: ef9e
Checksum failed. Expected: e662, Got: 5e36
Checksum failed. Expected: 48d4, Got: cccd
Checksum failed. Expected: 2b8f, Got: 3b65
Checksum failed. Expected: 1bc5, Got: a9fc
Checksum failed. Expected: 28c0, Got: 1894
Checksum failed. Expected: 4ed4, Got: 872b
Checksum failed. Expected: 8d90, Got: f5c3
Checksum failed. Expected: f680, Got: 645a
Checksum failed. Expected: f7c3, Got: d2f2
Checksum failed. Expected: c42b, Got: 418a
Checksum failed. Expected: bdeb, Got: b021
Checksum failed. Expected: 08b5, Got: 47ae
Checksum failed. Expected: 11f6, Got: b646
Checksum failed. Expected: 0ddc, Got: 24de
Checksum failed. Expected: ec17, Got: 9375
Checksum failed. Expected: da4c, Got: 020d
Checksum failed. Expected: fd58, Got: 70a4
Checksum failed. Expected: 9824, Got: df3c
Checksum failed. Expected: 6e02, Got: 4dd3
Checksum failed. Expected: 0ce3, Got: bc6b
Checksum failed. Expected: 09e3, Got: 2b02
Checksum failed. Expected: 498c, Got: 999a
Checksum failed. Expected: 317a, Got: 0832
Checksum failed. Expected: a2be, Got: 76c9
Checksum failed. Expected: 5a2c, Got: e561
Checksum failed. Expected: 9692, Got: 53f8
Checksum failed. Expected: d65b, Got: c290
Checksum failed. Expected: 1f6b, Got: 3127
Checksum failed. Expected: 677a, Got: 9fbf
Checksum failed. Expected: f246, Got: 0e56
Checksum failed. Expected: 999d, Got: 7cee
Checksum failed. Expected: 2368, Got: eb85
Checksum failed. Expected: e217, Got: 5a1d
Checksum failed. Expected: bd27, Got: c8b5
Checksum failed. Expected: 011d, Got: 374c
Checksum failed. Expected: f382, Got: a5e4
Checksum failed. Expected: 63e0, Got: 147b
Checksum failed. Expected: 695d, Got: 8313
Checksum failed. Expected: ffc8, Got: f1aa
Checksum failed. Expected: cc43, Got: 6042
Checksum failed. Expected: a651, Got: ced9
Checksum failed. Expected: a68a, Got: 3d71
Checksum failed. Expected: d528, Got: ac09
Checksum failed. Expected: 18f0, Got: 1aa0
Checksum failed. Expected: 4d1f, Got: 8938
Checksum failed. Expected: 46e8, Got: f7cf
Checksum failed. Expected: ee69, Got: 6667
Checksum failed. Expected: 8d31, Got: d4fe
Checksum failed. Expected: 415a, Got: 4396
Checksum failed. Expected: c49a, Got: b22d
Checksum failed. Expected: 67c1, Got: 20c5
Checksum failed. Expected: 0157, Got: 8f5d
