
#################################################################
Log started at 2025-06-12_16-20-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 20f9, Got: 47ae
Checksum failed. Expected: 0b5e, Got: b646
Checksum failed. Expected: 732c, Got: 24de
Checksum failed. Expected: 1d81, Got: 9375
Checksum failed. Expected: e494, Got: 020d
Checksum failed. Expected: 509e, Got: 70a4
Checksum failed. Expected: da7c, Got: df3c
Checksum failed. Expected: e108, Got: 4dd3
Checksum failed. Expected: 5165, Got: bc6b
Checksum failed. Expected: e5a7, Got: 2b02
Checksum failed. Expected: 4a56, Got: 999a
Checksum failed. Expected: 3352, Got: 0832
Checksum failed. Expected: 7a31, Got: e561
Checksum failed. Expected: 6168, Got: 53f8
Checksum failed. Expected: 77e5, Got: c290
Checksum failed. Expected: cb8f, Got: 3127
Checksum failed. Expected: dc9c, Got: 9fbf
Checksum failed. Expected: e65a, Got: 0e56
Checksum failed. Expected: 603b, Got: 7cee
Checksum failed. Expected: 3fac, Got: eb85
Checksum failed. Expected: b995, Got: 5a1d
Checksum failed. Expected: fc55, Got: c8b5
Checksum failed. Expected: d02b, Got: 374c
Checksum failed. Expected: cf46, Got: a5e4
Checksum failed. Expected: 5a1e, Got: 147b
Checksum failed. Expected: 1365, Got: 8313
Checksum failed. Expected: ad08, Got: f1aa
Checksum failed. Expected: 9d6d, Got: 6042
Checksum failed. Expected: ca05, Got: ced9
Checksum failed. Expected: 737c, Got: 3d71
Checksum failed. Expected: 2436, Got: ac09
Checksum failed. Expected: 2238, Got: 1aa0
Checksum failed. Expected: 7835, Got: 8938
Checksum failed. Expected: 36c4, Got: f7cf
Checksum failed. Expected: e499, Got: 6667
Checksum failed. Expected: 944f, Got: d4fe
Checksum failed. Expected: 75ee, Got: 4396
Checksum failed. Expected: 7720, Got: b22d
Checksum failed. Expected: efed, Got: 20c5
Checksum failed. Expected: 4b1f, Got: 8f5d
Checksum failed. Expected: e7de, Got: fdf4
Checksum failed. Expected: 818f, Got: 6c8c
Checksum failed. Expected: c569, Got: db23
Checksum failed. Expected: d88d, Got: 49bb
Checksum failed. Expected: d685, Got: b852
Checksum failed. Expected: 4d44, Got: 26ea
Checksum failed. Expected: 5d4e, Got: 9581
Checksum failed. Expected: 96a9, Got: 0419
Checksum failed. Expected: 5da1, Got: 72b0
Checksum failed. Expected: 1a55, Got: e148
Checksum failed. Expected: 7135, Got: 4fe0
Checksum failed. Expected: fc05, Got: be77
Checksum failed. Expected: a358, Got: 2d0f
Checksum failed. Expected: 237a, Got: 9ba6
Checksum failed. Expected: 9933, Got: 0a3e
Checksum failed. Expected: 1a63, Got: 78d5
Checksum failed. Expected: 2ecd, Got: e76d
Checksum failed. Expected: 7a13, Got: 5604
Checksum failed. Expected: cdb0, Got: c49c
Checksum failed. Expected: 577a, Got: 3334
Checksum failed. Expected: 306e, Got: a1cb
Checksum failed. Expected: 9761, Got: 1063
Checksum failed. Expected: cc5d, Got: 7efa
Checksum failed. Expected: 0e57, Got: ed92
Checksum failed. Expected: 7fa3, Got: 5c29
Checksum failed. Expected: bd3c, Got: cac1
Checksum failed. Expected: c098, Got: 3958
Checksum failed. Expected: 5e71, Got: a7f0
Checksum failed. Expected: adf5, Got: 1688
Checksum failed. Expected: 39bf, Got: 851f
Checksum failed. Expected: 5bd9, Got: f3b7
Checksum failed. Expected: c091, Got: 624e
Checksum failed. Expected: 32e0, Got: d0e6
Checksum failed. Expected: 1e06, Got: 3f7d
Checksum failed. Expected: c87b, Got: ae15
Checksum failed. Expected: 239f, Got: 1cac
Checksum failed. Expected: b3bc, Got: 8b44
Checksum failed. Expected: d8f9, Got: f9db
Checksum failed. Expected: 60ae, Got: 6873
Checksum failed. Expected: 4664, Got: d70b
Checksum failed. Expected: bcf6, Got: 45a2
Checksum failed. Expected: 064b, Got: b43a
Checksum failed. Expected: 5c1d, Got: 22d1
Checksum failed. Expected: b0fe, Got: 9169
Checksum failed. Expected: c2f7, Got: 0000
Checksum failed. Expected: 1f08, Got: 6e98
Checksum failed. Expected: e1ef, Got: dd2f
Checksum failed. Expected: 7fc4, Got: 4bc7
Checksum failed. Expected: e9c6, Got: ba5f
Checksum failed. Expected: 1ba0, Got: 28f6
Checksum failed. Expected: 97b1, Got: 978e
Checksum failed. Expected: 3357, Got: 0625
Checksum failed. Expected: ce06, Got: 74bd
Checksum failed. Expected: 31af, Got: e354
Checksum failed. Expected: 5700, Got: 51ec
Checksum failed. Expected: 7088, Got: c083
Checksum failed. Expected: 1193, Got: 2f1b
Checksum failed. Expected: 773d, Got: 9db3
Checksum failed. Expected: c17b, Got: 0c4a
Checksum failed. Expected: 832a, Got: 7ae2
Checksum failed. Expected: ef5d, Got: e979
Checksum failed. Expected: 2366, Got: 5811
Checksum failed. Expected: 586e, Got: c6a8
Checksum failed. Expected: f21f, Got: 3540
Checksum failed. Expected: c8f5, Got: a3d7
Checksum failed. Expected: dd60, Got: 126f
Checksum failed. Expected: aab8, Got: 8106
Checksum failed. Expected: f402, Got: ef9e
Checksum failed. Expected: 9d7e, Got: 5e36
Checksum failed. Expected: 2504, Got: cccd
Checksum failed. Expected: 3a7b, Got: 3b65
Checksum failed. Expected: ea31, Got: a9fc
Checksum failed. Expected: 2e2e, Got: 1894
Checksum failed. Expected: 96de, Got: 872b
Checksum failed. Expected: 1736, Got: f5c3
Checksum failed. Expected: bb60, Got: 645a
Checksum failed. Expected: 8bf5, Got: d2f2
Checksum failed. Expected: 51fb, Got: 418a
Checksum failed. Expected: 6319, Got: b021
Checksum failed. Expected: a4d8, Got: 1eb9
Checksum failed. Expected: 5d2c, Got: 8d50
Checksum failed. Expected: 50b4, Got: fbe8
Checksum failed. Expected: 3794, Got: 6a7f
Checksum failed. Expected: b6af, Got: d917
Checksum failed. Expected: e787, Got: 47ae
Checksum failed. Expected: dd38, Got: b646
Checksum failed. Expected: 1ff2, Got: 24de
Checksum failed. Expected: ca55, Got: 9375
Checksum failed. Expected: 8e3e, Got: 020d
Checksum failed. Expected: e2f8, Got: 70a4
Checksum failed. Expected: 4c16, Got: df3c
Checksum failed. Expected: f362, Got: 4dd3
Checksum failed. Expected: 3fc7, Got: bc6b
Checksum failed. Expected: 9bf9, Got: 2b02
Checksum failed. Expected: 8f7a, Got: 999a
Checksum failed. Expected: 3194, Got: 0832
Checksum failed. Expected: 9630, Got: 76c9
Checksum failed. Expected: 18aa, Got: e561
Checksum failed. Expected: 3888, Got: 53f8
Checksum failed. Expected: 4587, Got: c290
Checksum failed. Expected: 7a7f, Got: 3127
Checksum failed. Expected: 92ee, Got: 9fbf
Checksum failed. Expected: ad9a, Got: 0e56
Checksum failed. Expected: ed4f, Got: 7cee
Checksum failed. Expected: d286, Got: 147b
Checksum failed. Expected: 6107, Got: 8313
Checksum failed. Expected: 2e74, Got: f1aa
Checksum failed. Expected: 9015, Got: 6042
Checksum failed. Expected: 8381, Got: ced9
Checksum failed. Expected: 4772, Got: 3d71
Checksum failed. Expected: 891a, Got: ac09
Checksum failed. Expected: 577c, Got: 1aa0
Checksum failed. Expected: 21d1, Got: 8938
Checksum failed. Expected: 1338, Got: f7cf
Checksum failed. Expected: b565, Got: 6667
Checksum failed. Expected: 640d, Got: d4fe
Checksum failed. Expected: 7330, Got: 4396
Checksum failed. Expected: 0218, Got: b22d
Checksum failed. Expected: eb13, Got: 20c5
Checksum failed. Expected: f191, Got: 8f5d
Checksum failed. Expected: f60e, Got: fdf4
Checksum failed. Expected: 7a8b, Got: 6c8c
Checksum failed. Expected: 9d97, Got: db23
Checksum failed. Expected: 6385, Got: 49bb
Checksum failed. Expected: f15d, Got: b852
Checksum failed. Expected: b98a, Got: 26ea
Checksum failed. Expected: 2cfe, Got: 9581
Checksum failed. Expected: 70f3, Got: 0419
Checksum failed. Expected: 2b43, Got: 72b0
Checksum failed. Expected: 2ba1, Got: e148
Checksum failed. Expected: 75cb, Got: 4fe0
Checksum failed. Expected: 809b, Got: be77
Checksum failed. Expected: 4ad8, Got: 2d0f
Checksum failed. Expected: 1d84, Got: 9ba6
Checksum failed. Expected: f37d, Got: 0a3e
Checksum failed. Expected: d5fb, Got: 78d5
Checksum failed. Expected: f3f1, Got: e76d
Checksum failed. Expected: 556b, Got: 5604
Checksum failed. Expected: 971a, Got: c49c
Checksum failed. Expected: 164a, Got: 3334
Checksum failed. Expected: bd82, Got: a1cb
Checksum failed. Expected: 8299, Got: 1063
Checksum failed. Expected: 6843, Got: 7efa
Checksum failed. Expected: 1e95, Got: ed92
Checksum failed. Expected: ae93, Got: 5c29
Checksum failed. Expected: c1d2, Got: cac1
Checksum failed. Expected: 28a6, Got: 3958
Checksum failed. Expected: 5227, Got: a7f0
Checksum failed. Expected: d367, Got: 1688
Checksum failed. Expected: 2c67, Got: 851f
Checksum failed. Expected: fc05, Got: f3b7
Checksum failed. Expected: 708f, Got: 624e
Checksum failed. Expected: bdd8, Got: d0e6
Checksum failed. Expected: f526, Got: 3f7d
Checksum failed. Expected: cc11, Got: ae15
Checksum failed. Expected: cc3b, Got: 1cac
Checksum failed. Expected: d604, Got: 8b44
Checksum failed. Expected: 5c8f, Got: f9db
Checksum failed. Expected: 4592, Got: 6873
Checksum failed. Expected: 5cf6, Got: d70b
Checksum failed. Expected: e6a0, Got: 45a2
Checksum failed. Expected: 42f1, Got: b43a
Checksum failed. Expected: 2033, Got: 22d1
Checksum failed. Expected: 180c, Got: 9169
Checksum failed. Expected: 37c5, Got: 0000
