
#################################################################
Log started at 2025-06-12_16-20-09 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: a27e, Got: a1cb
Checksum failed. Expected: 88a9, Got: 1063
Checksum failed. Expected: c3f9, Got: 7efa
Checksum failed. Expected: be11, Got: ed92
Checksum failed. Expected: b7cd, Got: 5c29
Checksum failed. Expected: 832a, Got: cac1
Checksum failed. Expected: 0032, Got: 3958
Checksum failed. Expected: 4749, Got: a7f0
Checksum failed. Expected: f60d, Got: 1688
Checksum failed. Expected: bae7, Got: 851f
Checksum failed. Expected: 90d9, Got: f3b7
Checksum failed. Expected: 5199, Got: 624e
Checksum failed. Expected: ff30, Got: d0e6
Checksum failed. Expected: 05c2, Got: 3f7d
Checksum failed. Expected: 9b1f, Got: ae15
Checksum failed. Expected: 502f, Got: 1cac
Checksum failed. Expected: c5d2, Got: 8b44
Checksum failed. Expected: 8df9, Got: f9db
Checksum failed. Expected: a264, Got: 6873
Checksum failed. Expected: 870c, Got: d70b
Checksum failed. Expected: 03f2, Got: 45a2
Checksum failed. Expected: ba3d, Got: b43a
Checksum failed. Expected: c2cb, Got: 22d1
Checksum failed. Expected: 52f4, Got: 9169
Checksum failed. Expected: e93d, Got: 0000
Checksum failed. Expected: efa4, Got: 6e98
Checksum failed. Expected: 8523, Got: dd2f
Checksum failed. Expected: d398, Got: 4bc7
Checksum failed. Expected: b0e4, Got: ba5f
Checksum failed. Expected: 9150, Got: 28f6
Checksum failed. Expected: c02b, Got: 978e
Checksum failed. Expected: 3285, Got: 0625
Checksum failed. Expected: 91ec, Got: 74bd
Checksum failed. Expected: da29, Got: e354
Checksum failed. Expected: 388a, Got: 51ec
Checksum failed. Expected: 18f4, Got: c083
Checksum failed. Expected: f547, Got: 2f1b
Checksum failed. Expected: 0213, Got: 9db3
Checksum failed. Expected: 0029, Got: 0c4a
Checksum failed. Expected: de60, Got: 7ae2
Checksum failed. Expected: 4985, Got: e979
Checksum failed. Expected: 3490, Got: 5811
Checksum failed. Expected: 2b34, Got: c6a8
Checksum failed. Expected: 480f, Got: 3540
Checksum failed. Expected: bfb3, Got: a3d7
Checksum failed. Expected: a262, Got: 126f
Checksum failed. Expected: ea74, Got: 8106
Checksum failed. Expected: 10c6, Got: ef9e
Checksum failed. Expected: 845c, Got: 5e36
Checksum failed. Expected: 9fec, Got: cccd
Checksum failed. Expected: fa37, Got: 3b65
Checksum failed. Expected: 630b, Got: a9fc
Checksum failed. Expected: c5ac, Got: 1894
Checksum failed. Expected: e242, Got: 872b
Checksum failed. Expected: 09ae, Got: f5c3
Checksum failed. Expected: 3a8e, Got: 645a
Checksum failed. Expected: 4edb, Got: d2f2
Checksum failed. Expected: cad5, Got: 418a
Checksum failed. Expected: 1511, Got: b021
Checksum failed. Expected: 34f4, Got: 1eb9
Checksum failed. Expected: 8bec, Got: 8d50
Checksum failed. Expected: 4baa, Got: fbe8
Checksum failed. Expected: 415c, Got: 6a7f
Checksum failed. Expected: d9d5, Got: d917
Checksum failed. Expected: cd57, Got: 47ae
Checksum failed. Expected: 8388, Got: b646
Checksum failed. Expected: 2e00, Got: 24de
Checksum failed. Expected: db7f, Got: 9375
Checksum failed. Expected: 6758, Got: 020d
Checksum failed. Expected: 8e9c, Got: 70a4
Checksum failed. Expected: d08a, Got: df3c
Checksum failed. Expected: e4cc, Got: 4dd3
Checksum failed. Expected: 5753, Got: bc6b
Checksum failed. Expected: ad31, Got: 2b02
Checksum failed. Expected: e024, Got: 999a
Checksum failed. Expected: 4b3c, Got: 0832
Checksum failed. Expected: 966c, Got: 76c9
Checksum failed. Expected: 70b6, Got: e561
Checksum failed. Expected: 00b4, Got: 53f8
Checksum failed. Expected: 3b37, Got: c290
Checksum failed. Expected: 789f, Got: 3127
Checksum failed. Expected: 628a, Got: 9fbf
Checksum failed. Expected: c850, Got: 0e56
Checksum failed. Expected: 237f, Got: 7cee
Checksum failed. Expected: a3be, Got: eb85
Checksum failed. Expected: c19f, Got: 5a1d
Checksum failed. Expected: 0ff9, Got: c8b5
Checksum failed. Expected: 936f, Got: 374c
Checksum failed. Expected: 2be8, Got: a5e4
Checksum failed. Expected: ccf4, Got: 147b
Checksum failed. Expected: ef07, Got: 8313
Checksum failed. Expected: 4d62, Got: f1aa
Checksum failed. Expected: 1cf9, Got: 6042
Checksum failed. Expected: 5fc5, Got: ced9
Checksum failed. Expected: cad8, Got: 3d71
Checksum failed. Expected: b294, Got: ac09
Checksum failed. Expected: 0320, Got: 1aa0
Checksum failed. Expected: c4f7, Got: 8938
Checksum failed. Expected: 65f0, Got: f7cf
Checksum failed. Expected: 2b15, Got: 6667
Checksum failed. Expected: a6e5, Got: d4fe
Checksum failed. Expected: c2be, Got: 4396
Checksum failed. Expected: 9cc0, Got: b22d
Checksum failed. Expected: 6717, Got: 20c5
Checksum failed. Expected: 5761, Got: 8f5d
Checksum failed. Expected: d46e, Got: fdf4
Checksum failed. Expected: 964f, Got: 6c8c
Checksum failed. Expected: c2d9, Got: db23
Checksum failed. Expected: 059d, Got: 49bb
Checksum failed. Expected: 5158, Got: e148
Checksum failed. Expected: 9d37, Got: 4fe0
Checksum failed. Expected: 9d6d, Got: be77
Checksum failed. Expected: 0fda, Got: 2d0f
Checksum failed. Expected: da16, Got: 9ba6
Checksum failed. Expected: 78ff, Got: 0a3e
Checksum failed. Expected: c22d, Got: 78d5
Checksum failed. Expected: a1b1, Got: e76d
Checksum failed. Expected: ad77, Got: 5604
Checksum failed. Expected: 5b0e, Got: c49c
Checksum failed. Expected: d930, Got: 3334
Checksum failed. Expected: 1048, Got: a1cb
Checksum failed. Expected: daa5, Got: 1063
Checksum failed. Expected: e11d, Got: 7efa
Checksum failed. Expected: 6c15, Got: ed92
Checksum failed. Expected: 07ad, Got: 5c29
Checksum failed. Expected: d742, Got: cac1
Checksum failed. Expected: 60f2, Got: 3958
Checksum failed. Expected: 558d, Got: a7f0
Checksum failed. Expected: d7db, Got: 1688
Checksum failed. Expected: 6f4d, Got: 851f
Checksum failed. Expected: 0a05, Got: f3b7
Checksum failed. Expected: 4247, Got: 624e
Checksum failed. Expected: dee2, Got: d0e6
Checksum failed. Expected: 5d12, Got: 3f7d
Checksum failed. Expected: 143d, Got: ae15
Checksum failed. Expected: ef61, Got: 1cac
Checksum failed. Expected: 98dc, Got: 8b44
Checksum failed. Expected: c8b3, Got: f9db
Checksum failed. Expected: 0cb0, Got: 6873
Checksum failed. Expected: eb04, Got: d70b
Checksum failed. Expected: 43f2, Got: 45a2
Checksum failed. Expected: 498f, Got: b43a
Checksum failed. Expected: c683, Got: 22d1
Checksum failed. Expected: 23e2, Got: 9169
Checksum failed. Expected: 44ad, Got: 0000
Checksum failed. Expected: ad66, Got: 6e98
Checksum failed. Expected: db35, Got: dd2f
Checksum failed. Expected: f5d2, Got: 4bc7
Checksum failed. Expected: af34, Got: ba5f
Checksum failed. Expected: c14e, Got: 28f6
Checksum failed. Expected: c907, Got: 978e
Checksum failed. Expected: fdfd, Got: 0625
Checksum failed. Expected: a12a, Got: 74bd
Checksum failed. Expected: 6413, Got: e354
Checksum failed. Expected: 37da, Got: 51ec
Checksum failed. Expected: 549a, Got: c083
Checksum failed. Expected: 923b, Got: 2f1b
Checksum failed. Expected: fa01, Got: 9db3
Checksum failed. Expected: dfb9, Got: 0c4a
Checksum failed. Expected: 662e, Got: 7ae2
Checksum failed. Expected: 8d9b, Got: e979
Checksum failed. Expected: b1c4, Got: 5811
Checksum failed. Expected: cd6e, Got: c6a8
Checksum failed. Expected: 06d1, Got: 3540
