
#################################################################
Log started at 2025-06-12_16-20-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=0.319562, Y=0.097751, Z=9.823769 m/s^2 Time of Week: 2596.388000, Week Number: 0
Acceleration: X=0.313539, Y=0.098366, Z=9.826729 m/s^2 Time of Week: 2596.390000, Week Number: 0
Acceleration: X=0.311793, Y=0.102606, Z=9.824317 m/s^2 Time of Week: 2596.391000, Week Number: 0
Acceleration: X=0.308193, Y=0.100835, Z=9.819497 m/s^2 Time of Week: 2596.392000, Week Number: 0
Acceleration: X=0.311218, Y=0.110405, Z=9.817664 m/s^2 Time of Week: 2596.393000, Week Number: 0
Acceleration: X=0.312441, Y=0.118175, Z=9.816461 m/s^2 Time of Week: 2596.394000, Week Number: 0
Acceleration: X=0.313000, Y=0.116368, Z=9.824246 m/s^2 Time of Week: 2596.395000, Week Number: 0
Acceleration: X=0.309454, Y=0.119396, Z=9.823044 m/s^2 Time of Week: 2596.396000, Week Number: 0
Acceleration: X=0.309451, Y=0.118191, Z=9.823649 m/s^2 Time of Week: 2596.397000, Week Number: 0
Acceleration: X=0.299305, Y=0.115877, Z=9.820666 m/s^2 Time of Week: 2596.398000, Week Number: 0
Acceleration: X=0.300487, Y=0.114072, Z=9.816490 m/s^2 Time of Week: 2596.399000, Week Number: 0
Acceleration: X=0.297512, Y=0.117010, Z=9.809280 m/s^2 Time of Week: 2596.400000, Week Number: 0
Acceleration: X=0.287351, Y=0.111636, Z=9.821296 m/s^2 Time of Week: 2596.401000, Week Number: 0
Acceleration: X=0.284951, Y=0.107503, Z=9.824914 m/s^2 Time of Week: 2596.402000, Week Number: 0
Acceleration: X=0.296952, Y=0.114041, Z=9.818304 m/s^2 Time of Week: 2596.403000, Week Number: 0
Acceleration: X=0.301146, Y=0.114598, Z=9.812910 m/s^2 Time of Week: 2596.404000, Week Number: 0
Acceleration: X=0.295174, Y=0.119423, Z=9.815297 m/s^2 Time of Week: 2596.405000, Week Number: 0
Acceleration: X=0.289152, Y=0.115295, Z=9.815323 m/s^2 Time of Week: 2596.406000, Week Number: 0
Acceleration: X=0.289778, Y=0.120123, Z=9.809929 m/s^2 Time of Week: 2596.407000, Week Number: 0
Acceleration: X=0.286841, Y=0.124352, Z=9.805712 m/s^2 Time of Week: 2596.408000, Week Number: 0
Acceleration: X=0.289810, Y=0.122475, Z=9.798530 m/s^2 Time of Week: 2596.409000, Week Number: 0
Acceleration: X=0.289218, Y=0.124832, Z=9.793740 m/s^2 Time of Week: 2596.410000, Week Number: 0
Acceleration: X=0.290465, Y=0.130258, Z=9.786546 m/s^2 Time of Week: 2596.411000, Week Number: 0
