
#################################################################
Log started at 2025-06-12_16-20-22 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 4e3f, Got: e763
Checksum failed. Expected: 1c4f, Got: 26bd
Checksum failed. Expected: fb24, Got: 6ba2
Checksum failed. Expected: fd5b, Got: 7992
Checksum failed. Expected: 8b92, Got: fb6f
Checksum failed. Expected: 917f, Got: 4773
Checksum failed. Expected: 26d8, Got: 0e77
Checksum failed. Expected: 4cf5, Got: 8fb8
Checksum failed. Expected: ea16, Got: cc29
Checksum failed. Expected: 5f11, Got: c82f
Checksum failed. Expected: 2336, Got: 076e
Checksum failed. Expected: e4c0, Got: 031b
Checksum failed. Expected: 2881, Got: 3882
Checksum failed. Expected: 9d7c, Got: b187
Checksum failed. Expected: 41ac, Got: bbe3
Checksum failed. Expected: 4707, Got: b719
Checksum failed. Expected: c146, Got: 2cb1
Checksum failed. Expected: 11a7, Got: c7ce
Checksum failed. Expected: 6440, Got: 3c55
Checksum failed. Expected: f39d, Got: 2c2b
Checksum failed. Expected: 59d8, Got: 1e52
Checksum failed. Expected: 2bdb, Got: 9ad3
Checksum failed. Expected: 0064, Got: a056
Checksum failed. Expected: 5e33, Got: 97ec
Checksum failed. Expected: 1b82, Got: 0157
Checksum failed. Expected: 3ca7, Got: 000c
Checksum failed. Expected: 8d7e, Got: 7fc6
Checksum failed. Expected: 7a6d, Got: 7c96
Checksum failed. Expected: 3b40, Got: 7436
Checksum failed. Expected: 0003, Got: 7609
Checksum failed. Expected: 9a23, Got: e278
Checksum failed. Expected: 55b2, Got: 54fd
Checksum failed. Expected: 7076, Got: 5bac
Checksum failed. Expected: 176d, Got: 6318
Checksum failed. Expected: e5c1, Got: f1a3
Checksum failed. Expected: 065f, Got: ebf2
Checksum failed. Expected: cd78, Got: e96c
Checksum failed. Expected: d9cc, Got: 7925
Checksum failed. Expected: cf83, Got: 6e0d
Checksum failed. Expected: 1e2d, Got: ec73
Checksum failed. Expected: 4476, Got: 6991
Checksum failed. Expected: 4f42, Got: fa48
Checksum failed. Expected: be43, Got: 7e3f
Checksum failed. Expected: beb3, Got: 1329
Checksum failed. Expected: a12c, Got: 9efe
Checksum failed. Expected: cadb, Got: 26d0
Checksum failed. Expected: aa09, Got: 2106
Checksum failed. Expected: 73b7, Got: 5717
Checksum failed. Expected: 09da, Got: 9c1e
Checksum failed. Expected: 428c, Got: da7e
Checksum failed. Expected: 2421, Got: 1a01
Checksum failed. Expected: c641, Got: 1c98
Checksum failed. Expected: 5cfa, Got: 9aeb
Checksum failed. Expected: ea9e, Got: 97c1
Checksum failed. Expected: ca33, Got: 5a30
Checksum failed. Expected: 652a, Got: 1649
Checksum failed. Expected: 286d, Got: 9259
Checksum failed. Expected: 0f24, Got: 0bd0
Checksum failed. Expected: 9988, Got: 3e08
Checksum failed. Expected: f11b, Got: 33d9
Checksum failed. Expected: c7a3, Got: d946
Checksum failed. Expected: 0db8, Got: 968c
Checksum failed. Expected: f842, Got: 52c5
Checksum failed. Expected: c59a, Got: 51a8
Checksum failed. Expected: 5253, Got: 50a1
Checksum failed. Expected: 12cf, Got: 102f
Checksum failed. Expected: e0a8, Got: 51b5
Checksum failed. Expected: d444, Got: d1be
Checksum failed. Expected: 3f29, Got: 53c8
Checksum failed. Expected: 4268, Got: d94d
Checksum failed. Expected: 8a8a, Got: 1d99
Checksum failed. Expected: df73, Got: e5c2
Checksum failed. Expected: a73d, Got: 23f0
Checksum failed. Expected: 80d9, Got: 6f75
Checksum failed. Expected: c06d, Got: b654
Checksum failed. Expected: b942, Got: c10c
Checksum failed. Expected: 0fc6, Got: 86e2
Checksum failed. Expected: b339, Got: d252
Checksum failed. Expected: c521, Got: 1a21
Checksum failed. Expected: b0d9, Got: 9987
Checksum failed. Expected: 904a, Got: 1c83
Checksum failed. Expected: b547, Got: a613
Checksum failed. Expected: 599f, Got: 2b53
Checksum failed. Expected: aa13, Got: 2b7b
Checksum failed. Expected: 610c, Got: 2cd0
Checksum failed. Expected: 92ea, Got: 2df1
Checksum failed. Expected: 78ca, Got: 6a36
Checksum failed. Expected: 6a7e, Got: ec4f
Checksum failed. Expected: 8c1c, Got: acbc
Checksum failed. Expected: 5fa2, Got: 4124
Checksum failed. Expected: 8a21, Got: bad4
Checksum failed. Expected: bb97, Got: a28b
Checksum failed. Expected: ff7d, Got: 25e2
Checksum failed. Expected: f32e, Got: 9fad
Checksum failed. Expected: 512d, Got: 8ee6
