
#################################################################
Log started at 2025-06-12_16-21-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 82c8, Got: 935a
Checksum failed. Expected: d982, Got: 8672
Checksum failed. Expected: 5832, Got: 0cf6
Checksum failed. Expected: 08f5, Got: 8e46
Checksum failed. Expected: 5a7f, Got: 8ca3
Checksum failed. Expected: 8930, Got: 848b
Checksum failed. Expected: 03f7, Got: 81e1
Checksum failed. Expected: 01d7, Got: 0594
Checksum failed. Expected: a281, Got: 8802
Checksum failed. Expected: bc8a, Got: fc40
Checksum failed. Expected: 593f, Got: 7a40
Checksum failed. Expected: bbe9, Got: 817d
Checksum failed. Expected: 4fa9, Got: feda
Checksum failed. Expected: 9808, Got: 7b6f
Checksum failed. Expected: 1ac6, Got: 79d4
Checksum failed. Expected: da08, Got: 79b6
Checksum failed. Expected: 2feb, Got: 0820
Checksum failed. Expected: 552a, Got: 0015
Checksum failed. Expected: 2579, Got: 8809
Checksum failed. Expected: 249b, Got: 0db6
Checksum failed. Expected: 9523, Got: 13a1
Checksum failed. Expected: f932, Got: 9624
Checksum failed. Expected: 86fe, Got: 1ae0
Checksum failed. Expected: 72d5, Got: 8f03
Checksum failed. Expected: 462a, Got: 14d9
Checksum failed. Expected: fc43, Got: 09ac
Checksum failed. Expected: 568e, Got: 9054
Checksum failed. Expected: cb55, Got: a3ea
Checksum failed. Expected: a2fe, Got: a378
Checksum failed. Expected: a800, Got: 9a8f
Checksum failed. Expected: 163e, Got: 9be2
Checksum failed. Expected: b748, Got: 9302
Checksum failed. Expected: bc6d, Got: 9a74
Checksum failed. Expected: 05f9, Got: a568
Checksum failed. Expected: bb4e, Got: 27bb
Checksum failed. Expected: d104, Got: 9d33
Checksum failed. Expected: b740, Got: 967b
Checksum failed. Expected: 7640, Got: 9bd9
Checksum failed. Expected: 1fcd, Got: 1a72
Checksum failed. Expected: 488a, Got: 9fa2
Checksum failed. Expected: addf, Got: 99ae
Checksum failed. Expected: 4a83, Got: 0c65
Checksum failed. Expected: d2ca, Got: 0719
Checksum failed. Expected: ebd7, Got: 0ed8
Checksum failed. Expected: d4e4, Got: 0d98
Checksum failed. Expected: 75af, Got: 8947
Checksum failed. Expected: 71b0, Got: 8b4a
Checksum failed. Expected: 898e, Got: 0320
Checksum failed. Expected: 61a1, Got: 04c0
Checksum failed. Expected: a4f6, Got: fe82
Checksum failed. Expected: 2514, Got: 80ab
Checksum failed. Expected: ab3c, Got: 8573
Checksum failed. Expected: 9de1, Got: 8584
Checksum failed. Expected: f0ff, Got: 01c5
Checksum failed. Expected: 935f, Got: f663
Checksum failed. Expected: e51c, Got: ef76
Checksum failed. Expected: 8ee3, Got: fb38
Checksum failed. Expected: 88b2, Got: fc72
Checksum failed. Expected: 27e7, Got: 7248
Checksum failed. Expected: c8e6, Got: f4fa
Checksum failed. Expected: 8075, Got: 7e40
Checksum failed. Expected: 6df3, Got: 7f88
Checksum failed. Expected: 847a, Got: f9f7
Checksum failed. Expected: e781, Got: 7ba4
Checksum failed. Expected: 9584, Got: 7910
Checksum failed. Expected: edd4, Got: 0650
Checksum failed. Expected: f212, Got: 91f6
Checksum failed. Expected: 19f7, Got: 9453
Checksum failed. Expected: b2da, Got: 1618
Checksum failed. Expected: 4012, Got: 13bc
Checksum failed. Expected: 8305, Got: 1470
Checksum failed. Expected: 61b6, Got: 0a26
Checksum failed. Expected: 69dc, Got: 04b4
Checksum failed. Expected: 1306, Got: 4b4d
Checksum failed. Expected: af4c, Got: 1128
Checksum failed. Expected: e2cd, Got: 0dbd
Checksum failed. Expected: a667, Got: 466a
Checksum failed. Expected: 795d, Got: 196e
Checksum failed. Expected: 65f0, Got: 9b0f
Checksum failed. Expected: 2a10, Got: a4c4
Checksum failed. Expected: 07be, Got: 0a2b
Checksum failed. Expected: 4b46, Got: 085b
Checksum failed. Expected: a8e5, Got: 4958
Checksum failed. Expected: d8d0, Got: 0ebb
Checksum failed. Expected: 48a4, Got: 8e37
Checksum failed. Expected: 3fd6, Got: 03a3
Checksum failed. Expected: a022, Got: 00a4
Checksum failed. Expected: 6bf7, Got: 79c6
Checksum failed. Expected: 3d51, Got: 80c5
Checksum failed. Expected: fb0a, Got: ffb4
Checksum failed. Expected: f969, Got: fd6b
Checksum failed. Expected: da57, Got: 7f4f
Checksum failed. Expected: 9d8e, Got: 8c32
Checksum failed. Expected: 4ba6, Got: 9335
Checksum failed. Expected: 2b61, Got: 0ed7
Checksum failed. Expected: 56b0, Got: 009b
Checksum failed. Expected: fab3, Got: fa52
Checksum failed. Expected: d2dc, Got: 7e83
Checksum failed. Expected: 4012, Got: 016f
Checksum failed. Expected: b127, Got: 8573
Checksum failed. Expected: 9cee, Got: 0a27
Checksum failed. Expected: 78e0, Got: 8d7e
Checksum failed. Expected: ae02, Got: 8ab5
Checksum failed. Expected: 3880, Got: 109c
Checksum failed. Expected: f12a, Got: 9628
Checksum failed. Expected: 938e, Got: 0176
Checksum failed. Expected: 741e, Got: 0243
Checksum failed. Expected: 35a1, Got: 9d81
Checksum failed. Expected: b7bb, Got: a139
Checksum failed. Expected: f31c, Got: 9f0e
Checksum failed. Expected: d996, Got: 1550
Checksum failed. Expected: c399, Got: 9141
Checksum failed. Expected: 96bb, Got: 1018
Checksum failed. Expected: 67ac, Got: 174f
Checksum failed. Expected: b394, Got: 9b19
Checksum failed. Expected: de52, Got: 0fe3
Checksum failed. Expected: de3e, Got: 221c
Checksum failed. Expected: a43c, Got: 996d
Checksum failed. Expected: b45a, Got: 981e
Checksum failed. Expected: 66af, Got: 1a3e
Checksum failed. Expected: 93af, Got: 8fb8
Checksum failed. Expected: 6b11, Got: 1698
Checksum failed. Expected: 857c, Got: 1b36
Checksum failed. Expected: d629, Got: 8f0d
Checksum failed. Expected: 43e3, Got: 0867
Checksum failed. Expected: c31f, Got: 8072
Checksum failed. Expected: 5983, Got: 84ae
Checksum failed. Expected: 692c, Got: 8b78
Checksum failed. Expected: 8c1f, Got: 8bb1
Checksum failed. Expected: 17a0, Got: 846b
Checksum failed. Expected: 85cb, Got: 0473
Checksum failed. Expected: ee52, Got: 01df
Checksum failed. Expected: bac8, Got: ff4f
Checksum failed. Expected: 6e7d, Got: 8662
Checksum failed. Expected: 1d4c, Got: 8ac7
Checksum failed. Expected: d890, Got: 0035
Checksum failed. Expected: 44de, Got: 0d24
Checksum failed. Expected: 107d, Got: 135b
Checksum failed. Expected: f61d, Got: 18f1
Checksum failed. Expected: ebed, Got: 8d9f
Checksum failed. Expected: a65f, Got: 826c
Checksum failed. Expected: 6932, Got: 0bc1
Checksum failed. Expected: 7799, Got: 11fe
Checksum failed. Expected: 92f6, Got: 8f4c
Checksum failed. Expected: 221b, Got: 0bf1
Checksum failed. Expected: c9db, Got: 0970
Checksum failed. Expected: 0d63, Got: 9913
Checksum failed. Expected: b374, Got: 1f3f
Checksum failed. Expected: 068d, Got: 9583
Checksum failed. Expected: 511b, Got: 19b0
Checksum failed. Expected: ad1c, Got: 9f60
Checksum failed. Expected: a5cd, Got: 9e0f
Checksum failed. Expected: 72fa, Got: 1887
Checksum failed. Expected: 4490, Got: 1846
Checksum failed. Expected: b447, Got: 0bf1
Checksum failed. Expected: 25bd, Got: 1872
Checksum failed. Expected: ac98, Got: 4b2b
Checksum failed. Expected: 6fd1, Got: 1e43
Checksum failed. Expected: ed4a, Got: a351
Checksum failed. Expected: 09db, Got: 9652
Checksum failed. Expected: d678, Got: 8f87
Checksum failed. Expected: 26e4, Got: 8e2b
Checksum failed. Expected: 2f2f, Got: 8872
Checksum failed. Expected: 803b, Got: 023e
Checksum failed. Expected: b1ef, Got: fcf4
Checksum failed. Expected: 01b5, Got: 7c6e
Checksum failed. Expected: 9422, Got: 030d
Checksum failed. Expected: c3e3, Got: fb94
Checksum failed. Expected: f6b5, Got: 7a9d
Checksum failed. Expected: ce08, Got: 7e54
Checksum failed. Expected: 4215, Got: 80d6
Checksum failed. Expected: de69, Got: 7ab5
Checksum failed. Expected: d1c2, Got: fe67
Checksum failed. Expected: a97d, Got: 0782
Checksum failed. Expected: 64b7, Got: 0186
Checksum failed. Expected: 3c01, Got: 7e4d
Checksum failed. Expected: 69ec, Got: 83b7
Checksum failed. Expected: dd2e, Got: 7ea0
Checksum failed. Expected: 51dc, Got: 09bf
Checksum failed. Expected: b7b9, Got: 7e40
Checksum failed. Expected: 9311, Got: 7fc5
Checksum failed. Expected: 6714, Got: 089e
Checksum failed. Expected: 2399, Got: 866d
Checksum failed. Expected: 6131, Got: 4619
Checksum failed. Expected: 84c5, Got: 9572
Checksum failed. Expected: c028, Got: 8fcf
Checksum failed. Expected: 2d20, Got: 964a
Checksum failed. Expected: 0069, Got: 160e
Checksum failed. Expected: c302, Got: 9064
Checksum failed. Expected: a386, Got: 91f9
Checksum failed. Expected: 7fbc, Got: 9bdd
Checksum failed. Expected: 3d66, Got: 9d29
Checksum failed. Expected: 0fb1, Got: a26a
Checksum failed. Expected: 5c6a, Got: 2b3e
Checksum failed. Expected: c003, Got: a7db
