
#################################################################
Log started at 2025-06-12_16-22-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-5.757884, Y=0.114464, Z=7.965993 m/s^2 Time of Week: 2716.395000, Week Number: 0
Acceleration: X=-5.753120, Y=0.112700, Z=7.963610 m/s^2 Time of Week: 2716.396000, Week Number: 0
Acceleration: X=-5.747182, Y=0.113868, Z=7.962402 m/s^2 Time of Week: 2716.397000, Week Number: 0
Acceleration: X=-5.735213, Y=0.117966, Z=7.956406 m/s^2 Time of Week: 2716.398000, Week Number: 0
Acceleration: X=-5.730428, Y=0.117341, Z=7.952203 m/s^2 Time of Week: 2716.399000, Week Number: 0
Acceleration: X=-5.733969, Y=0.118579, Z=7.954596 m/s^2 Time of Week: 2716.400000, Week Number: 0
Acceleration: X=-5.733949, Y=0.122166, Z=7.953994 m/s^2 Time of Week: 2716.401000, Week Number: 0
Acceleration: X=-5.733953, Y=0.120305, Z=7.951037 m/s^2 Time of Week: 2716.402000, Week Number: 0
Acceleration: X=-5.734574, Y=0.117911, Z=7.940864 m/s^2 Time of Week: 2716.403000, Week Number: 0
Acceleration: X=-5.736951, Y=0.117353, Z=7.937298 m/s^2 Time of Week: 2716.404000, Week Number: 0
Acceleration: X=-5.734541, Y=0.117944, Z=7.940307 m/s^2 Time of Week: 2716.405000, Week Number: 0
Acceleration: X=-5.734562, Y=0.118540, Z=7.940867 m/s^2 Time of Week: 2716.406000, Week Number: 0
Acceleration: X=-5.735154, Y=0.117368, Z=7.936086 m/s^2 Time of Week: 2716.407000, Week Number: 0
Acceleration: X=-5.732135, Y=0.120359, Z=7.932494 m/s^2 Time of Week: 2716.408000, Week Number: 0
Acceleration: X=-5.733970, Y=0.125194, Z=7.927655 m/s^2 Time of Week: 2716.409000, Week Number: 0
Acceleration: X=-5.733374, Y=0.129961, Z=7.919233 m/s^2 Time of Week: 2716.410000, Week Number: 0
Acceleration: X=-5.729171, Y=0.128741, Z=7.923437 m/s^2 Time of Week: 2716.411000, Week Number: 0
Acceleration: X=-5.729765, Y=0.125717, Z=7.919260 m/s^2 Time of Week: 2716.412000, Week Number: 0
Acceleration: X=-5.739977, Y=0.119102, Z=7.913879 m/s^2 Time of Week: 2716.413000, Week Number: 0
Acceleration: X=-5.743554, Y=0.122744, Z=7.911482 m/s^2 Time of Week: 2716.414000, Week Number: 0
Acceleration: X=-5.747700, Y=0.128812, Z=7.914472 m/s^2 Time of Week: 2716.415000, Week Number: 0
Acceleration: X=-5.746503, Y=0.122190, Z=7.912099 m/s^2 Time of Week: 2716.416000, Week Number: 0
Acceleration: X=-5.750070, Y=0.128159, Z=7.916875 m/s^2 Time of Week: 2716.417000, Week Number: 0
Acceleration: X=-5.753692, Y=0.125189, Z=7.917466 m/s^2 Time of Week: 2716.418000, Week Number: 0
Acceleration: X=-5.754315, Y=0.119254, Z=7.915689 m/s^2 Time of Week: 2716.419000, Week Number: 0
Acceleration: X=-5.751840, Y=0.126444, Z=7.916276 m/s^2 Time of Week: 2716.420000, Week Number: 0
Acceleration: X=-5.755395, Y=0.137286, Z=7.918045 m/s^2 Time of Week: 2716.421000, Week Number: 0
Acceleration: X=-5.751282, Y=0.123403, Z=7.915680 m/s^2 Time of Week: 2716.422000, Week Number: 0
Acceleration: X=-5.752500, Y=0.114382, Z=7.917516 m/s^2 Time of Week: 2716.423000, Week Number: 0
Acceleration: X=-5.757283, Y=0.113858, Z=7.933698 m/s^2 Time of Week: 2716.424000, Week Number: 0
Acceleration: X=-5.759080, Y=0.113307, Z=7.939669 m/s^2 Time of Week: 2716.425000, Week Number: 0
Acceleration: X=-5.763240, Y=0.116923, Z=7.934873 m/s^2 Time of Week: 2716.426000, Week Number: 0
Acceleration: X=-5.765058, Y=0.116925, Z=7.928885 m/s^2 Time of Week: 2716.427000, Week Number: 0
Acceleration: X=-5.762089, Y=0.113303, Z=7.928272 m/s^2 Time of Week: 2716.428000, Week Number: 0
Acceleration: X=-5.759693, Y=0.114471, Z=7.928868 m/s^2 Time of Week: 2716.429000, Week Number: 0
Acceleration: X=-5.763261, Y=0.119306, Z=7.935450 m/s^2 Time of Week: 2716.430000, Week Number: 0
Acceleration: X=-5.760907, Y=0.111448, Z=7.934875 m/s^2 Time of Week: 2716.431000, Week Number: 0
Acceleration: X=-5.760933, Y=0.108445, Z=7.936098 m/s^2 Time of Week: 2716.432000, Week Number: 0
Acceleration: X=-5.759124, Y=0.109651, Z=7.939701 m/s^2 Time of Week: 2716.433000, Week Number: 0
Acceleration: X=-5.748980, Y=0.109003, Z=7.936693 m/s^2 Time of Week: 2716.434000, Week Number: 0
Acceleration: X=-5.756154, Y=0.109066, Z=7.937869 m/s^2 Time of Week: 2716.435000, Week Number: 0
Acceleration: X=-5.762123, Y=0.105466, Z=7.936698 m/s^2 Time of Week: 2716.436000, Week Number: 0
Acceleration: X=-5.755541, Y=0.109035, Z=7.931891 m/s^2 Time of Week: 2716.437000, Week Number: 0
Acceleration: X=-5.753752, Y=0.110216, Z=7.930665 m/s^2 Time of Week: 2716.438000, Week Number: 0
Acceleration: X=-5.754941, Y=0.104225, Z=7.934902 m/s^2 Time of Week: 2716.439000, Week Number: 0
Acceleration: X=-5.750719, Y=0.113164, Z=7.937291 m/s^2 Time of Week: 2716.440000, Week Number: 0
Acceleration: X=-5.746553, Y=0.112541, Z=7.933698 m/s^2 Time of Week: 2716.441000, Week Number: 0
Acceleration: X=-5.742425, Y=0.109536, Z=7.922296 m/s^2 Time of Week: 2716.442000, Week Number: 0
Acceleration: X=-5.744257, Y=0.105290, Z=7.918093 m/s^2 Time of Week: 2716.443000, Week Number: 0
Acceleration: X=-5.743597, Y=0.103500, Z=7.913930 m/s^2 Time of Week: 2716.444000, Week Number: 0
Acceleration: X=-5.742991, Y=0.108933, Z=7.910944 m/s^2 Time of Week: 2716.445000, Week Number: 0
Acceleration: X=-5.738835, Y=0.106522, Z=7.913932 m/s^2 Time of Week: 2716.446000, Week Number: 0
Acceleration: X=-5.740581, Y=0.105351, Z=7.917537 m/s^2 Time of Week: 2716.447000, Week Number: 0
Acceleration: X=-5.739344, Y=0.110121, Z=7.915129 m/s^2 Time of Week: 2716.448000, Week Number: 0
Acceleration: X=-5.740519, Y=0.113683, Z=7.904940 m/s^2 Time of Week: 2716.449000, Week Number: 0
Acceleration: X=-5.742327, Y=0.113680, Z=7.902543 m/s^2 Time of Week: 2716.450000, Week Number: 0
Acceleration: X=-5.742296, Y=0.119098, Z=7.907920 m/s^2 Time of Week: 2716.451000, Week Number: 0
Acceleration: X=-5.739285, Y=0.123896, Z=7.906104 m/s^2 Time of Week: 2716.452000, Week Number: 0
Acceleration: X=-5.738753, Y=0.118464, Z=7.903109 m/s^2 Time of Week: 2716.453000, Week Number: 0
Acceleration: X=-5.737541, Y=0.113688, Z=7.906748 m/s^2 Time of Week: 2716.454000, Week Number: 0
Acceleration: X=-5.742269, Y=0.121573, Z=7.900744 m/s^2 Time of Week: 2716.455000, Week Number: 0
Acceleration: X=-5.742306, Y=0.128154, Z=7.900085 m/s^2 Time of Week: 2716.456000, Week Number: 0
Acceleration: X=-5.745340, Y=0.128178, Z=7.906651 m/s^2 Time of Week: 2716.457000, Week Number: 0
Acceleration: X=-5.750715, Y=0.128245, Z=7.904869 m/s^2 Time of Week: 2716.458000, Week Number: 0
Acceleration: X=-5.751898, Y=0.125801, Z=7.907278 m/s^2 Time of Week: 2716.459000, Week Number: 0
Acceleration: X=-5.754915, Y=0.116169, Z=7.913291 m/s^2 Time of Week: 2716.460000, Week Number: 0
Acceleration: X=-5.744771, Y=0.112528, Z=7.920510 m/s^2 Time of Week: 2716.461000, Week Number: 0
Acceleration: X=-5.745964, Y=0.115570, Z=7.918707 m/s^2 Time of Week: 2716.462000, Week Number: 0
Acceleration: X=-5.753719, Y=0.115023, Z=7.921698 m/s^2 Time of Week: 2716.463000, Week Number: 0
Acceleration: X=-5.755487, Y=0.115007, Z=7.927085 m/s^2 Time of Week: 2716.464000, Week Number: 0
Acceleration: X=-5.754900, Y=0.113765, Z=7.928272 m/s^2 Time of Week: 2716.465000, Week Number: 0
Acceleration: X=-5.755514, Y=0.114396, Z=7.934862 m/s^2 Time of Week: 2716.466000, Week Number: 0
Acceleration: X=-5.760293, Y=0.119259, Z=7.939643 m/s^2 Time of Week: 2716.467000, Week Number: 0
Acceleration: X=-5.754888, Y=0.122216, Z=7.934244 m/s^2 Time of Week: 2716.468000, Week Number: 0
Acceleration: X=-5.747711, Y=0.121584, Z=7.932455 m/s^2 Time of Week: 2716.469000, Week Number: 0
Acceleration: X=-5.750738, Y=0.117391, Z=7.940853 m/s^2 Time of Week: 2716.470000, Week Number: 0
Acceleration: X=-5.758545, Y=0.114440, Z=7.949822 m/s^2 Time of Week: 2716.471000, Week Number: 0
Acceleration: X=-5.756116, Y=0.115037, Z=7.949226 m/s^2 Time of Week: 2716.472000, Week Number: 0
Acceleration: X=-5.753104, Y=0.118025, Z=7.948629 m/s^2 Time of Week: 2716.473000, Week Number: 0
Acceleration: X=-5.750709, Y=0.112020, Z=7.939084 m/s^2 Time of Week: 2716.474000, Week Number: 0
Acceleration: X=-5.754317, Y=0.110823, Z=7.938469 m/s^2 Time of Week: 2716.475000, Week Number: 0
Acceleration: X=-5.756117, Y=0.115644, Z=7.942029 m/s^2 Time of Week: 2716.476000, Week Number: 0
Acceleration: X=-5.754356, Y=0.116233, Z=7.944413 m/s^2 Time of Week: 2716.477000, Week Number: 0
Acceleration: X=-5.755612, Y=0.114398, Z=7.943807 m/s^2 Time of Week: 2716.478000, Week Number: 0
Acceleration: X=-5.747195, Y=0.116146, Z=7.945632 m/s^2 Time of Week: 2716.479000, Week Number: 0
Acceleration: X=-5.744183, Y=0.117958, Z=7.948637 m/s^2 Time of Week: 2716.480000, Week Number: 0
Acceleration: X=-5.741756, Y=0.120340, Z=7.944461 m/s^2 Time of Week: 2716.481000, Week Number: 0
Acceleration: X=-5.734585, Y=0.114911, Z=7.937903 m/s^2 Time of Week: 2716.482000, Week Number: 0
Acceleration: X=-5.736954, Y=0.110138, Z=7.937321 m/s^2 Time of Week: 2716.483000, Week Number: 0
Acceleration: X=-5.740519, Y=0.111366, Z=7.936112 m/s^2 Time of Week: 2716.484000, Week Number: 0
Acceleration: X=-5.742278, Y=0.114358, Z=7.935510 m/s^2 Time of Week: 2716.485000, Week Number: 0
Acceleration: X=-5.739886, Y=0.117972, Z=7.939105 m/s^2 Time of Week: 2716.486000, Week Number: 0
Acceleration: X=-5.739378, Y=0.116163, Z=7.940263 m/s^2 Time of Week: 2716.487000, Week Number: 0
Acceleration: X=-5.741771, Y=0.117393, Z=7.942639 m/s^2 Time of Week: 2716.488000, Week Number: 0
Acceleration: X=-5.743520, Y=0.117997, Z=7.937271 m/s^2 Time of Week: 2716.489000, Week Number: 0
Acceleration: X=-5.747061, Y=0.123395, Z=7.934281 m/s^2 Time of Week: 2716.490000, Week Number: 0
Acceleration: X=-5.750643, Y=0.127572, Z=7.934841 m/s^2 Time of Week: 2716.491000, Week Number: 0
Acceleration: X=-5.753038, Y=0.128787, Z=7.935412 m/s^2 Time of Week: 2716.492000, Week Number: 0
Acceleration: X=-5.748836, Y=0.132435, Z=7.941393 m/s^2 Time of Week: 2716.493000, Week Number: 0
Acceleration: X=-5.741085, Y=0.124595, Z=7.938437 m/s^2 Time of Week: 2716.494000, Week Number: 0
Acceleration: X=-5.739352, Y=0.117313, Z=7.933668 m/s^2 Time of Week: 2716.495000, Week Number: 0
Acceleration: X=-5.741161, Y=0.114296, Z=7.931283 m/s^2 Time of Week: 2716.496000, Week Number: 0
Acceleration: X=-5.745983, Y=0.113745, Z=7.937855 m/s^2 Time of Week: 2716.497000, Week Number: 0
Acceleration: X=-5.745331, Y=0.121584, Z=7.942036 m/s^2 Time of Week: 2716.498000, Week Number: 0
Acceleration: X=-5.745264, Y=0.122838, Z=7.942651 m/s^2 Time of Week: 2716.499000, Week Number: 0
Acceleration: X=-5.743516, Y=0.116817, Z=7.943275 m/s^2 Time of Week: 2716.500000, Week Number: 0
Acceleration: X=-5.747770, Y=0.111408, Z=7.939672 m/s^2 Time of Week: 2716.501000, Week Number: 0
Acceleration: X=-5.745936, Y=0.111968, Z=7.937281 m/s^2 Time of Week: 2716.502000, Week Number: 0
Acceleration: X=-5.748965, Y=0.109533, Z=7.934878 m/s^2 Time of Week: 2716.503000, Week Number: 0
Acceleration: X=-5.751363, Y=0.110773, Z=7.935458 m/s^2 Time of Week: 2716.504000, Week Number: 0
Acceleration: X=-5.748389, Y=0.114980, Z=7.930041 m/s^2 Time of Week: 2716.505000, Week Number: 0
Acceleration: X=-5.750773, Y=0.118598, Z=7.940791 m/s^2 Time of Week: 2716.506000, Week Number: 0
Acceleration: X=-5.759128, Y=0.116828, Z=7.943215 m/s^2 Time of Week: 2716.507000, Week Number: 0
Acceleration: X=-5.759690, Y=0.117423, Z=7.945614 m/s^2 Time of Week: 2716.508000, Week Number: 0
