
#################################################################
Log started at 2025-06-12_16-22-30 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 93f2, Got: f771
Checksum failed. Expected: 5cb6, Got: 0fae
Checksum failed. Expected: d411, Got: 4b97
Checksum failed. Expected: 7da1, Got: 2b68
Checksum failed. Expected: 201f, Got: 2b79
Checksum failed. Expected: 3277, Got: 277d
Checksum failed. Expected: a7c2, Got: 2774
Checksum failed. Expected: a2c4, Got: f394
Checksum failed. Expected: effe, Got: f799
Checksum failed. Expected: 42ba, Got: 079b
Checksum failed. Expected: 258a, Got: 2f60
Checksum failed. Expected: 3d89, Got: 5f81
Checksum failed. Expected: 3849, Got: 378e
Checksum failed. Expected: 4c93, Got: 1b4e
Checksum failed. Expected: ee4e, Got: 0b5b
Checksum failed. Expected: d10a, Got: 137a
Checksum failed. Expected: bf47, Got: 1758
Checksum failed. Expected: c302, Got: 3bce
Checksum failed. Expected: 5d23, Got: 403b
Checksum failed. Expected: f487, Got: 03f9
Checksum failed. Expected: bd3d, Got: 0761
Checksum failed. Expected: 445c, Got: 1f78
Checksum failed. Expected: 6064, Got: 0744
Checksum failed. Expected: 8ed8, Got: 0769
Checksum failed. Expected: 05ea, Got: 2351
Checksum failed. Expected: b33f, Got: 3f87
Checksum failed. Expected: 7a34, Got: 1f5f
Checksum failed. Expected: 55c0, Got: fbb7
Checksum failed. Expected: 4b5f, Got: 27c8
Checksum failed. Expected: 9f0b, Got: 1fa9
Checksum failed. Expected: 4f40, Got: 3b87
Checksum failed. Expected: 86d9, Got: 3fd3
Checksum failed. Expected: be7e, Got: 5f9f
Checksum failed. Expected: aba1, Got: 53c2
Checksum failed. Expected: 5ff7, Got: 47d4
Checksum failed. Expected: 8e80, Got: 3b84
Checksum failed. Expected: 2ff5, Got: 1f89
Checksum failed. Expected: 8206, Got: 1786
Checksum failed. Expected: f120, Got: 2fad
Checksum failed. Expected: 2612, Got: 1ba8
Checksum failed. Expected: e527, Got: 47b2
Checksum failed. Expected: ecf4, Got: 6fe0
Checksum failed. Expected: 867b, Got: 47a8
Checksum failed. Expected: 60be, Got: 378b
Checksum failed. Expected: 0645, Got: 638f
Checksum failed. Expected: befc, Got: 6b86
Checksum failed. Expected: d554, Got: 6b93
Checksum failed. Expected: 3644, Got: 33ae
Checksum failed. Expected: 275c, Got: 139b
Checksum failed. Expected: b399, Got: 178b
Checksum failed. Expected: 1ac7, Got: 3bbd
Checksum failed. Expected: a824, Got: 27c4
Checksum failed. Expected: 0032, Got: 239c
Checksum failed. Expected: 7972, Got: 2388
Checksum failed. Expected: b09b, Got: 3f64
Checksum failed. Expected: 8caa, Got: 2bad
Checksum failed. Expected: 9ed0, Got: 0fa5
Checksum failed. Expected: d24d, Got: 1382
Checksum failed. Expected: 0c14, Got: 2b6d
Checksum failed. Expected: aaea, Got: 4f86
Checksum failed. Expected: a8d5, Got: 4f4b
Checksum failed. Expected: a3b1, Got: 4364
Checksum failed. Expected: 3317, Got: 36f4
Checksum failed. Expected: 6448, Got: 0af8
Checksum failed. Expected: 0bb7, Got: 2347
Checksum failed. Expected: 3875, Got: 0b8a
