
#################################################################
Log started at 2025-06-12_16-32-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 77df, Got: 70a4
Checksum failed. Expected: 998a, Got: 9581
Checksum failed. Expected: b911, Got: ba5f
Checksum failed. Expected: ff99, Got: df3c
Checksum failed. Expected: 52dd, Got: 0419
Checksum failed. Expected: ba3f, Got: 28f6
Checksum failed. Expected: c28a, Got: 4dd3
Checksum failed. Expected: 5885, Got: 72b1
Checksum failed. Expected: dc71, Got: 978e
Checksum failed. Expected: bc78, Got: bc6b
Checksum failed. Expected: a4ef, Got: e148
Checksum failed. Expected: 7409, Got: 0625
Checksum failed. Expected: 027f, Got: 2b02
Checksum failed. Expected: c5f0, Got: 4fe0
Checksum failed. Expected: 3a1e, Got: 74bd
Checksum failed. Expected: 4f0b, Got: 999a
Checksum failed. Expected: c438, Got: be77
Checksum failed. Expected: db41, Got: e354
Checksum failed. Expected: 9d97, Got: 0832
Checksum failed. Expected: bdf6, Got: 2d0f
Checksum failed. Expected: ea33, Got: 51ec
Checksum failed. Expected: 4508, Got: 76c9
Checksum failed. Expected: ac71, Got: 9ba6
Checksum failed. Expected: 01de, Got: c083
Checksum failed. Expected: dc9f, Got: e561
Checksum failed. Expected: f8ce, Got: 0a3e
Checksum failed. Expected: 319e, Got: 2f1b
Checksum failed. Expected: 3e1b, Got: 53f8
Checksum failed. Expected: 237c, Got: 78d5
Checksum failed. Expected: a77b, Got: 9db3
Checksum failed. Expected: 615b, Got: c290
Checksum failed. Expected: c9d2, Got: e76d
Checksum failed. Expected: 7812, Got: 0c4a
Checksum failed. Expected: 9652, Got: 3127
Checksum failed. Expected: 57a7, Got: 5604
Checksum failed. Expected: f72e, Got: 7ae2
Checksum failed. Expected: 84ac, Got: 9fbf
Checksum failed. Expected: 1bb5, Got: c49c
Checksum failed. Expected: 930c, Got: e979
Checksum failed. Expected: f522, Got: 0e56
Checksum failed. Expected: 115c, Got: 3334
Checksum failed. Expected: 0dd8, Got: 5811
Checksum failed. Expected: 4177, Got: 7cee
Checksum failed. Expected: 1b3e, Got: a1cb
Checksum failed. Expected: c119, Got: c6a8
Checksum failed. Expected: 9ef6, Got: eb86
Checksum failed. Expected: ae7d, Got: 1063
Checksum failed. Expected: 4de1, Got: 3540
Checksum failed. Expected: 28a2, Got: 5a1d
Checksum failed. Expected: 1cc1, Got: 7efa
Checksum failed. Expected: 7e29, Got: 5c29
Checksum failed. Expected: 8c31, Got: 8107
Checksum failed. Expected: 08ad, Got: a5e4
Checksum failed. Expected: 855e, Got: cac1
Checksum failed. Expected: 895d, Got: ef9e
Checksum failed. Expected: 2383, Got: 147b
Checksum failed. Expected: a551, Got: 3958
Checksum failed. Expected: e598, Got: 5e36
Checksum failed. Expected: d56c, Got: 8313
Checksum failed. Expected: 6405, Got: a7f0
Checksum failed. Expected: 88d8, Got: cccd
Checksum failed. Expected: 998d, Got: f1aa
Checksum failed. Expected: 5e0d, Got: 1688
Checksum failed. Expected: c54e, Got: 3b65
Checksum failed. Expected: 67f1, Got: 6042
Checksum failed. Expected: 20d6, Got: 851f
Checksum failed. Expected: 47bf, Got: a9fc
Checksum failed. Expected: a078, Got: ced9
Checksum failed. Expected: a14d, Got: f3b7
Checksum failed. Expected: d3a4, Got: 1894
Checksum failed. Expected: 4360, Got: 3d71
Checksum failed. Expected: 214b, Got: 624e
Checksum failed. Expected: 1ab0, Got: 872b
Checksum failed. Expected: 1969, Got: ac09
Checksum failed. Expected: be23, Got: d0e6
Checksum failed. Expected: fc62, Got: f5c3
Checksum failed. Expected: afe6, Got: 1aa0
Checksum failed. Expected: 2c6e, Got: 3f7d
Checksum failed. Expected: 4f1f, Got: 645b
Checksum failed. Expected: 8f53, Got: 8938
Checksum failed. Expected: cb62, Got: ae15
Checksum failed. Expected: 67b1, Got: d2f2
Checksum failed. Expected: b198, Got: f7cf
Checksum failed. Expected: 5220, Got: 1cac
Checksum failed. Expected: aeda, Got: 418a
Checksum failed. Expected: 35f0, Got: 6667
Checksum failed. Expected: 8409, Got: 8b44
Checksum failed. Expected: 75fe, Got: b021
Checksum failed. Expected: cb79, Got: d4fe
Checksum failed. Expected: 8580, Got: f9dc
Checksum failed. Expected: 0419, Got: 1eb9
Checksum failed. Expected: 237d, Got: 4396
Checksum failed. Expected: 979c, Got: 6873
Checksum failed. Expected: 58f1, Got: 8d50
Checksum failed. Expected: 7440, Got: b22d
Checksum failed. Expected: 8a3b, Got: d70b
Checksum failed. Expected: df95, Got: fbe8
Checksum failed. Expected: a0f1, Got: 20c5
Checksum failed. Expected: 8fb5, Got: 45a2
Checksum failed. Expected: b482, Got: 6a7f
Checksum failed. Expected: 2577, Got: 8f5d
Checksum failed. Expected: 747d, Got: b43a
Checksum failed. Expected: 281c, Got: d917
Checksum failed. Expected: 228f, Got: fdf4
Checksum failed. Expected: 85c7, Got: 22d1
Checksum failed. Expected: 77b5, Got: 47ae
Checksum failed. Expected: 1412, Got: 6c8c
Checksum failed. Expected: a7d0, Got: 9169
Checksum failed. Expected: 4757, Got: b646
Checksum failed. Expected: b522, Got: db23
Checksum failed. Expected: 93f4, Got: 0000
Checksum failed. Expected: 97c8, Got: 24de
Checksum failed. Expected: 9bc8, Got: 49bb
Checksum failed. Expected: ce59, Got: 6e98
Checksum failed. Expected: 280c, Got: 9375
Checksum failed. Expected: 5a8f, Got: b852
Checksum failed. Expected: 4422, Got: dd30
Checksum failed. Expected: 0011, Got: 020d
Checksum failed. Expected: 0509, Got: 26ea
Checksum failed. Expected: 6ea2, Got: 4bc7
Checksum failed. Expected: 5943, Got: 70a4
Checksum failed. Expected: 4c54, Got: 9581
Checksum failed. Expected: 0da9, Got: ba5f
Checksum failed. Expected: 8d5d, Got: df3c
Checksum failed. Expected: 321d, Got: 0419
Checksum failed. Expected: 1863, Got: 28f6
Checksum failed. Expected: 49ec, Got: 4dd3
Checksum failed. Expected: 73ff, Got: 72b1
Checksum failed. Expected: 63d3, Got: 978e
Checksum failed. Expected: aeb4, Got: bc6b
Checksum failed. Expected: d7b9, Got: e148
Checksum failed. Expected: ec99, Got: 0625
Checksum failed. Expected: 2bbd, Got: 2b02
Checksum failed. Expected: 8de0, Got: 4fe0
Checksum failed. Expected: 9a5e, Got: 74bd
Checksum failed. Expected: 05ff, Got: 999a
Checksum failed. Expected: 5526, Got: be77
Checksum failed. Expected: a223, Got: e354
Checksum failed. Expected: 0db7, Got: 0832
Checksum failed. Expected: 434a, Got: 2d0f
Checksum failed. Expected: 9be1, Got: 51ec
Checksum failed. Expected: 5d58, Got: 76c9
Checksum failed. Expected: feed, Got: 9ba6
Checksum failed. Expected: 633a, Got: c083
Checksum failed. Expected: 6c7f, Got: e561
Checksum failed. Expected: f7c0, Got: 0a3e
Checksum failed. Expected: 613e, Got: 2f1b
Checksum failed. Expected: e759, Got: 53f8
Checksum failed. Expected: 95b8, Got: 78d5
Checksum failed. Expected: 473b, Got: 9db3
Checksum failed. Expected: 8a99, Got: c290
Checksum failed. Expected: 339e, Got: e76d
Checksum failed. Expected: 5b7c, Got: 0c4a
Checksum failed. Expected: 0348, Got: 3127
Checksum failed. Expected: bd3b, Got: 5604
Checksum failed. Expected: 190a, Got: 7ae2
Checksum failed. Expected: 5a60, Got: 9fbf
Checksum failed. Expected: c2d7, Got: c49c
Checksum failed. Expected: 33cc, Got: e979
Checksum failed. Expected: c474, Got: 0e56
Checksum failed. Expected: 2f00, Got: 3334
Checksum failed. Expected: ef34, Got: 5811
Checksum failed. Expected: 8ead, Got: 7cee
Checksum failed. Expected: c7a6, Got: a1cb
Checksum failed. Expected: ff7d, Got: c6a8
Checksum failed. Expected: 4d88, Got: eb86
Checksum failed. Expected: 9d8f, Got: 1063
Checksum failed. Expected: 4463, Got: 3540
Checksum failed. Expected: 322e, Got: 5a1d
Checksum failed. Expected: 177b, Got: 7efa
Checksum failed. Expected: 2d8a, Got: a3d7
Checksum failed. Expected: 601b, Got: c8b5
Checksum failed. Expected: 1afb, Got: ed92
Checksum failed. Expected: 472b, Got: 126f
Checksum failed. Expected: 6365, Got: 374c
Checksum failed. Expected: f636, Got: 5c29
Checksum failed. Expected: dead, Got: 8107
Checksum failed. Expected: db37, Got: a5e4
Checksum failed. Expected: b3e2, Got: cac1
Checksum failed. Expected: 0309, Got: ef9e
Checksum failed. Expected: 7c61, Got: 147b
Checksum failed. Expected: 3da1, Got: 3958
Checksum failed. Expected: e48a, Got: 5e36
Checksum failed. Expected: a7e8, Got: 8313
Checksum failed. Expected: 8e51, Got: a7f0
Checksum failed. Expected: d1d6, Got: cccd
Checksum failed. Expected: fd05, Got: f1aa
Checksum failed. Expected: c177, Got: 1688
Checksum failed. Expected: 6400, Got: 3b65
Checksum failed. Expected: fd25, Got: 6042
Checksum failed. Expected: fbd0, Got: 851f
Checksum failed. Expected: 58ad, Got: a9fc
Checksum failed. Expected: 5aa4, Got: ced9
Checksum failed. Expected: 03a9, Got: f3b7
Checksum failed. Expected: a520, Got: 1894
Checksum failed. Expected: 15dc, Got: 3d71
Checksum failed. Expected: bcc5, Got: 624e
Checksum failed. Expected: 9240, Got: 872b
Checksum failed. Expected: 6375, Got: ac09
Checksum failed. Expected: 7741, Got: d0e6
Checksum failed. Expected: ad10, Got: f5c3
Checksum failed. Expected: d1c2, Got: 1aa0
Checksum failed. Expected: 43b0, Got: 3f7d
Checksum failed. Expected: a19b, Got: 645b
Checksum failed. Expected: 19df, Got: 8938
Checksum failed. Expected: d0a8, Got: ae15
Checksum failed. Expected: 0fe1, Got: d2f2
Checksum failed. Expected: 9510, Got: f7cf
Checksum failed. Expected: da90, Got: 1cac
Checksum failed. Expected: d1c4, Got: 418a
Checksum failed. Expected: 7246, Got: 6667
Checksum failed. Expected: c9cf, Got: 8b44
