
#################################################################
Log started at 2025-06-12_16-32-43 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 9992, Got: 462c
Checksum failed. Expected: 462d, Got: 4948
Checksum failed. Expected: 3540, Got: 5516
Checksum failed. Expected: ed39, Got: 4ca4
Checksum failed. Expected: 0e33, Got: 4680
Checksum failed. Expected: b463, Got: 4b80
Checksum failed. Expected: 2820, Got: d1ae
Checksum failed. Expected: f71e, Got: d12d
Checksum failed. Expected: f6df, Got: cf28
Checksum failed. Expected: c976, Got: 50b0
Checksum failed. Expected: 97fc, Got: c8a9
Checksum failed. Expected: 5993, Got: 46cf
Checksum failed. Expected: 8deb, Got: 4f4f
Checksum failed. Expected: 0d91, Got: cfb3
Checksum failed. Expected: 9ca9, Got: c2a8
Checksum failed. Expected: 9f77, Got: 3fcc
Checksum failed. Expected: cc41, Got: 4799
Checksum failed. Expected: 7a08, Got: 441c
Checksum failed. Expected: cb07, Got: baca
Checksum failed. Expected: 05c1, Got: 3724
Checksum failed. Expected: 1fb3, Got: b22b
Checksum failed. Expected: f9ed, Got: 34fd
Checksum failed. Expected: c4c1, Got: 3d1e
Checksum failed. Expected: acd5, Got: c02a
Checksum failed. Expected: a34a, Got: b9b0
Checksum failed. Expected: 975d, Got: bc0e
Checksum failed. Expected: f0a5, Got: 3908
Checksum failed. Expected: 373a, Got: 46f9
Checksum failed. Expected: 5e3b, Got: 4155
Checksum failed. Expected: 23d2, Got: 39c5
Checksum failed. Expected: 8bde, Got: be8e
Checksum failed. Expected: 6059, Got: bf07
Checksum failed. Expected: 630d, Got: 3fe8
Checksum failed. Expected: efc2, Got: c008
Checksum failed. Expected: 7b6f, Got: 33f8
Checksum failed. Expected: d937, Got: b694
Checksum failed. Expected: 12fc, Got: 3e04
Checksum failed. Expected: cf08, Got: 43c8
Checksum failed. Expected: 72a2, Got: 4436
Checksum failed. Expected: 82fe, Got: c572
Checksum failed. Expected: e35e, Got: 44f9
Checksum failed. Expected: 927c, Got: 4259
Checksum failed. Expected: bf80, Got: baee
Checksum failed. Expected: 34de, Got: 3035
Checksum failed. Expected: 67bf, Got: aa4b
Checksum failed. Expected: fdbe, Got: b8a3
Checksum failed. Expected: d5a3, Got: 3b5c
Checksum failed. Expected: 5ee3, Got: b3fe
Checksum failed. Expected: 51c7, Got: b1d7
Checksum failed. Expected: 5de8, Got: 3cf3
Checksum failed. Expected: b8bb, Got: 3d7b
Checksum failed. Expected: aead, Got: c9fd
Checksum failed. Expected: 537a, Got: 4a9a
Checksum failed. Expected: b4bc, Got: 41c1
Checksum failed. Expected: 8929, Got: b73b
Checksum failed. Expected: 817a, Got: ba90
Checksum failed. Expected: 0ae5, Got: baca
Checksum failed. Expected: 9d59, Got: 379a
Checksum failed. Expected: a0d7, Got: b8eb
Checksum failed. Expected: 3ef3, Got: 3f14
Checksum failed. Expected: 3d1a, Got: bde2
Checksum failed. Expected: 0761, Got: 4507
Checksum failed. Expected: e12b, Got: ca90
Checksum failed. Expected: 421e, Got: c6e9
Checksum failed. Expected: 7df0, Got: 430d
Checksum failed. Expected: f6a3, Got: bdb9
Checksum failed. Expected: ee2f, Got: b864
Checksum failed. Expected: 008b, Got: c468
Checksum failed. Expected: fe80, Got: cbc5
Checksum failed. Expected: 064b, Got: 4ce1
Checksum failed. Expected: a6ba, Got: 4d00
Checksum failed. Expected: 1f89, Got: c85d
Checksum failed. Expected: e5d2, Got: 48fa
Checksum failed. Expected: 348b, Got: c3cb
Checksum failed. Expected: 8edf, Got: 41e3
Checksum failed. Expected: 00d1, Got: 4886
Checksum failed. Expected: 6fca, Got: 46c7
Checksum failed. Expected: 7c71, Got: c6ca
Checksum failed. Expected: 2493, Got: 4230
Checksum failed. Expected: 12a3, Got: 4541
Checksum failed. Expected: daa0, Got: c098
Checksum failed. Expected: c6c6, Got: 45e5
Checksum failed. Expected: a918, Got: 3ac6
Checksum failed. Expected: abbb, Got: 3035
Checksum failed. Expected: 55c6, Got: 36fa
Checksum failed. Expected: a5e4, Got: 3d93
Checksum failed. Expected: 60da, Got: c3ef
Checksum failed. Expected: 13af, Got: 469d
Checksum failed. Expected: a02b, Got: 4706
Checksum failed. Expected: 2a42, Got: 3ca9
Checksum failed. Expected: 44e1, Got: d125
Checksum failed. Expected: 8294, Got: 5213
Checksum failed. Expected: af07, Got: 4ed2
Checksum failed. Expected: eeec, Got: 47f3
Checksum failed. Expected: fa06, Got: cf78
Checksum failed. Expected: ad90, Got: cf6e
Checksum failed. Expected: c6e5, Got: 50cf
Checksum failed. Expected: 62c9, Got: 546f
Checksum failed. Expected: c158, Got: d69c
Checksum failed. Expected: ca18, Got: 529a
Checksum failed. Expected: 1548, Got: d2ee
Checksum failed. Expected: 1572, Got: cf03
Checksum failed. Expected: 37ce, Got: cb70
