
#################################################################
Log started at 2025-06-12_16-32-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 872b, Got: ca04
Checksum failed. Expected: 1a83, Got: 4eca
Checksum failed. Expected: 85ab, Got: 55f8
Checksum failed. Expected: 9948, Got: 5989
Checksum failed. Expected: c88e, Got: ce9a
Checksum failed. Expected: 70f7, Got: 4540
Checksum failed. Expected: fbe5, Got: 4c11
Checksum failed. Expected: b325, Got: c9f8
Checksum failed. Expected: 190e, Got: d0e8
Checksum failed. Expected: 0230, Got: 5350
Checksum failed. Expected: 7099, Got: d1be
Checksum failed. Expected: 84ec, Got: 5513
Checksum failed. Expected: f9f7, Got: e2da
Checksum failed. Expected: 04be, Got: 63ec
Checksum failed. Expected: 6b79, Got: de3b
Checksum failed. Expected: 609e, Got: 60f4
Checksum failed. Expected: 5aa1, Got: e440
Checksum failed. Expected: c4af, Got: db9c
Checksum failed. Expected: aed3, Got: d209
Checksum failed. Expected: 4b10, Got: ce44
Checksum failed. Expected: 6554, Got: cf29
Checksum failed. Expected: 50f2, Got: cdea
Checksum failed. Expected: 35fe, Got: cbef
Checksum failed. Expected: 667f, Got: 4744
Checksum failed. Expected: ff55, Got: d774
Checksum failed. Expected: d3f9, Got: 5324
Checksum failed. Expected: acb6, Got: d3a8
Checksum failed. Expected: 64bb, Got: d442
Checksum failed. Expected: 045e, Got: 4b56
Checksum failed. Expected: 5e26, Got: 4070
Checksum failed. Expected: 3676, Got: be05
Checksum failed. Expected: cbda, Got: 3b17
Checksum failed. Expected: 7363, Got: c95c
Checksum failed. Expected: fd45, Got: ce1a
Checksum failed. Expected: 84bf, Got: cea9
Checksum failed. Expected: 3556, Got: 421a
Checksum failed. Expected: 1d6b, Got: bba1
Checksum failed. Expected: 27a6, Got: 3f80
Checksum failed. Expected: b5fb, Got: c53a
Checksum failed. Expected: 80a6, Got: c911
Checksum failed. Expected: 452c, Got: 428f
Checksum failed. Expected: 03a1, Got: c42c
Checksum failed. Expected: a97c, Got: c194
Checksum failed. Expected: df21, Got: c140
Checksum failed. Expected: 97e8, Got: 463b
Checksum failed. Expected: e913, Got: 4b08
Checksum failed. Expected: ba1e, Got: c932
Checksum failed. Expected: 230d, Got: c460
Checksum failed. Expected: 47c2, Got: c588
Checksum failed. Expected: 8a00, Got: 41f5
Checksum failed. Expected: b956, Got: b95c
Checksum failed. Expected: 0d53, Got: 304a
Checksum failed. Expected: da80, Got: b243
Checksum failed. Expected: ac35, Got: 3c89
Checksum failed. Expected: 8eb4, Got: 3f50
Checksum failed. Expected: 8774, Got: bf35
Checksum failed. Expected: 169b, Got: c059
Checksum failed. Expected: 59fd, Got: b9be
Checksum failed. Expected: 6864, Got: b7af
Checksum failed. Expected: eae2, Got: 442b
Checksum failed. Expected: 93e8, Got: c450
Checksum failed. Expected: ecd6, Got: 42ec
Checksum failed. Expected: ed91, Got: 4a1a
Checksum failed. Expected: 15b5, Got: 4c96
Checksum failed. Expected: 6bec, Got: 52b7
Checksum failed. Expected: 5006, Got: c712
Checksum failed. Expected: 18c3, Got: 3a9b
Checksum failed. Expected: c01a, Got: 34fe
Checksum failed. Expected: 2694, Got: 3ef4
Checksum failed. Expected: 95ca, Got: 391a
Checksum failed. Expected: d536, Got: b27f
Checksum failed. Expected: 47b0, Got: 3219
Checksum failed. Expected: dcc1, Got: 38e5
Checksum failed. Expected: 004b, Got: 39c1
Checksum failed. Expected: c9dc, Got: c04c
Checksum failed. Expected: cb9b, Got: c4a6
Checksum failed. Expected: 93f6, Got: b705
Checksum failed. Expected: 857e, Got: c06f
Checksum failed. Expected: ce35, Got: d168
Checksum failed. Expected: 27f1, Got: ccc0
Checksum failed. Expected: 32c8, Got: 41da
Checksum failed. Expected: bead, Got: c075
Checksum failed. Expected: bbae, Got: 4e7a
Checksum failed. Expected: 0e2b, Got: 5540
Checksum failed. Expected: 318a, Got: d607
Checksum failed. Expected: dc41, Got: d16c
Checksum failed. Expected: 7476, Got: 574f
Checksum failed. Expected: a9e4, Got: d13f
Checksum failed. Expected: a1b3, Got: ca83
Checksum failed. Expected: 1521, Got: 3ada
Checksum failed. Expected: adcc, Got: be5d
Checksum failed. Expected: e041, Got: bd73
Checksum failed. Expected: 6564, Got: cd3d
Checksum failed. Expected: dbc6, Got: 56b3
Checksum failed. Expected: 2f17, Got: 5073
Checksum failed. Expected: 23bd, Got: d26c
Checksum failed. Expected: 3ae7, Got: 5117
Checksum failed. Expected: 2843, Got: ce0d
Checksum failed. Expected: 9fd4, Got: cc14
Checksum failed. Expected: b6c3, Got: cbb0
Checksum failed. Expected: 6eba, Got: db67
Checksum failed. Expected: e8bc, Got: dc73
Checksum failed. Expected: eae7, Got: e037
Checksum failed. Expected: 9e14, Got: 614e
Checksum failed. Expected: 2566, Got: d60f
Checksum failed. Expected: 00ea, Got: d2da
