
#################################################################
Log started at 2025-06-12_16-33-55 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: eec2, Got: e148
Checksum failed. Expected: a011, Got: 0625
Checksum failed. Expected: fff5, Got: 2b02
Checksum failed. Expected: f968, Got: 4fe0
Checksum failed. Expected: 6fa4, Got: 74bd
Checksum failed. Expected: 7c21, Got: 999a
Checksum failed. Expected: 616e, Got: be77
Checksum failed. Expected: a6fb, Got: e354
Checksum failed. Expected: 0e65, Got: 0832
Checksum failed. Expected: 9458, Got: 2d0f
Checksum failed. Expected: 7bc1, Got: 51ec
Checksum failed. Expected: 1a4e, Got: 76c9
Checksum failed. Expected: 18f9, Got: 9ba6
Checksum failed. Expected: 1f22, Got: c083
Checksum failed. Expected: ca43, Got: e561
Checksum failed. Expected: a1ac, Got: 0a3e
Checksum failed. Expected: 531a, Got: 2f1b
Checksum failed. Expected: 2cbf, Got: 53f8
Checksum failed. Expected: 77b4, Got: 78d5
Checksum failed. Expected: 6363, Got: 9db3
Checksum failed. Expected: 2e31, Got: c290
Checksum failed. Expected: 9270, Got: e76d
Checksum failed. Expected: 1b9c, Got: 0c4a
Checksum failed. Expected: 9d54, Got: 3127
Checksum failed. Expected: cdbb, Got: 5604
Checksum failed. Expected: f06c, Got: 7ae2
Checksum failed. Expected: 251a, Got: 9fbf
Checksum failed. Expected: c7bd, Got: c49c
Checksum failed. Expected: 929e, Got: e979
Checksum failed. Expected: d71e, Got: 0e56
Checksum failed. Expected: bf80, Got: 3334
Checksum failed. Expected: 8a4e, Got: 5811
Checksum failed. Expected: 4987, Got: 7cee
Checksum failed. Expected: f902, Got: a1cb
Checksum failed. Expected: 6f3d, Got: c6a8
Checksum failed. Expected: 7dc8, Got: eb86
Checksum failed. Expected: a6ad, Got: 1063
Checksum failed. Expected: d0ab, Got: 3540
Checksum failed. Expected: 8120, Got: 5a1d
Checksum failed. Expected: b8e9, Got: 7efa
Checksum failed. Expected: edaa, Got: a3d7
Checksum failed. Expected: 3dd1, Got: c8b5
Checksum failed. Expected: 8ef3, Got: ed92
Checksum failed. Expected: 0fbb, Got: 126f
Checksum failed. Expected: 7f8d, Got: 374c
Checksum failed. Expected: ba8e, Got: 5c29
Checksum failed. Expected: 2b83, Got: 8107
Checksum failed. Expected: 38ed, Got: a5e4
Checksum failed. Expected: 71e6, Got: cac1
Checksum failed. Expected: 3ff1, Got: ef9e
Checksum failed. Expected: 253f, Got: 147b
Checksum failed. Expected: d69f, Got: 3958
Checksum failed. Expected: 2afe, Got: 5e36
Checksum failed. Expected: 1be0, Got: 8313
Checksum failed. Expected: 3b67, Got: a7f0
Checksum failed. Expected: 3c50, Got: cccd
Checksum failed. Expected: a6e3, Got: f1aa
Checksum failed. Expected: f819, Got: 1688
Checksum failed. Expected: 8028, Got: 3b65
Checksum failed. Expected: 0643, Got: 6042
Checksum failed. Expected: 4cde, Got: 851f
Checksum failed. Expected: 86d1, Got: a9fc
Checksum failed. Expected: 4b72, Got: ced9
Checksum failed. Expected: 2fb1, Got: f3b7
Checksum failed. Expected: cefe, Got: 1894
Checksum failed. Expected: 53e0, Got: 3d71
Checksum failed. Expected: 1ec1, Got: 624e
Checksum failed. Expected: 2706, Got: 872b
Checksum failed. Expected: 26bf, Got: ac09
Checksum failed. Expected: 9bd9, Got: d0e6
Checksum failed. Expected: 78ca, Got: f5c3
Checksum failed. Expected: f33e, Got: 1aa0
Checksum failed. Expected: 1b20, Got: 3f7d
Checksum failed. Expected: d405, Got: 645b
Checksum failed. Expected: 8021, Got: 8938
Checksum failed. Expected: 5cf0, Got: ae15
Checksum failed. Expected: eeb3, Got: d2f2
Checksum failed. Expected: 204a, Got: f7cf
Checksum failed. Expected: 8044, Got: 1cac
Checksum failed. Expected: eefa, Got: 418a
Checksum failed. Expected: a6be, Got: 6667
Checksum failed. Expected: 9d07, Got: 8b44
Checksum failed. Expected: aa84, Got: b021
Checksum failed. Expected: 7673, Got: d4fe
Checksum failed. Expected: f75c, Got: f9dc
Checksum failed. Expected: 432b, Got: 1eb9
Checksum failed. Expected: bfa5, Got: 4396
Checksum failed. Expected: 6364, Got: 6873
Checksum failed. Expected: d891, Got: 8d50
Checksum failed. Expected: 0a14, Got: b22d
Checksum failed. Expected: b96d, Got: d70b
Checksum failed. Expected: 832d, Got: fbe8
Checksum failed. Expected: 01df, Got: 20c5
Checksum failed. Expected: 2acf, Got: 45a2
Checksum failed. Expected: 0e0e, Got: 6a7f
Checksum failed. Expected: 3e75, Got: 8f5d
Checksum failed. Expected: 92c1, Got: b43a
Checksum failed. Expected: 6620, Got: d917
Checksum failed. Expected: 9abf, Got: fdf4
Checksum failed. Expected: 8cc9, Got: 22d1
Checksum failed. Expected: e33d, Got: 47ae
Checksum failed. Expected: 5fcc, Got: 6c8c
Checksum failed. Expected: a554, Got: 9169
Checksum failed. Expected: 8993, Got: b646
Checksum failed. Expected: 895a, Got: db23
