IMU initialized succesfully
PPS initialized succesfully

#################################################################
Log started at 2025-06-13_14-35-15 
#################################################################
Acceleration: X=-0.141219, Y=-0.707806, Z=9.727701 m/s^2 Time of Week: 455734.258000, Week Number: 2370
Acceleration: X=-0.141998, Y=-0.711432, Z=9.721662 m/s^2 Time of Week: 455734.260000, Week Number: 2370
Acceleration: X=-0.141782, Y=-0.712294, Z=9.718368 m/s^2 Time of Week: 455734.261000, Week Number: 2370
Acceleration: X=-0.142328, Y=-0.712798, Z=9.715432 m/s^2 Time of Week: 455734.262000, Week Number: 2370
Acceleration: X=-0.142454, Y=-0.713180, Z=9.715490 m/s^2 Time of Week: 455734.263000, Week Number: 2370
Acceleration: X=-0.142981, Y=-0.714052, Z=9.715673 m/s^2 Time of Week: 455734.264000, Week Number: 2370
Acceleration: X=-0.143379, Y=-0.714281, Z=9.718101 m/s^2 Time of Week: 455734.265000, Week Number: 2370
Acceleration: X=-0.144678, Y=-0.713868, Z=9.721812 m/s^2 Time of Week: 455734.266000, Week Number: 2370
Acceleration: X=-0.145808, Y=-0.712687, Z=9.725919 m/s^2 Time of Week: 455734.267000, Week Number: 2370
Acceleration: X=-0.146232, Y=-0.711491, Z=9.730767 m/s^2 Time of Week: 455734.268000, Week Number: 2370
Acceleration: X=-0.146270, Y=-0.709725, Z=9.736029 m/s^2 Time of Week: 455734.269000, Week Number: 2370
Acceleration: X=-0.147731, Y=-0.708377, Z=9.742609 m/s^2 Time of Week: 455734.270000, Week Number: 2370
Acceleration: X=-0.149556, Y=-0.707640, Z=9.747904 m/s^2 Time of Week: 455734.271000, Week Number: 2370
Acceleration: X=-0.150812, Y=-0.708089, Z=9.753074 m/s^2 Time of Week: 455734.272000, Week Number: 2370
Acceleration: X=-0.152199, Y=-0.707279, Z=9.758008 m/s^2 Time of Week: 455734.273000, Week Number: 2370
Acceleration: X=-0.151674, Y=-0.705372, Z=9.761331 m/s^2 Time of Week: 455734.274000, Week Number: 2370
Acceleration: X=-0.150564, Y=-0.704784, Z=9.764725 m/s^2 Time of Week: 455734.275000, Week Number: 2370
Acceleration: X=-0.149295, Y=-0.703480, Z=9.770015 m/s^2 Time of Week: 455734.276000, Week Number: 2370
Acceleration: X=-0.150600, Y=-0.700903, Z=9.774178 m/s^2 Time of Week: 455734.277000, Week Number: 2370
Acceleration: X=-0.152876, Y=-0.699790, Z=9.777640 m/s^2 Time of Week: 455734.278000, Week Number: 2370
Acceleration: X=-0.154902, Y=-0.698223, Z=9.779982 m/s^2 Time of Week: 455734.279000, Week Number: 2370
Acceleration: X=-0.156453, Y=-0.696173, Z=9.783187 m/s^2 Time of Week: 455734.280000, Week Number: 2370
Acceleration: X=-0.156207, Y=-0.693901, Z=9.785335 m/s^2 Time of Week: 455734.281000, Week Number: 2370
Acceleration: X=-0.156148, Y=-0.691593, Z=9.789126 m/s^2 Time of Week: 455734.282000, Week Number: 2370
Acceleration: X=-0.157094, Y=-0.688824, Z=9.793734 m/s^2 Time of Week: 455734.283000, Week Number: 2370
Acceleration: X=-0.158245, Y=-0.686422, Z=9.796378 m/s^2 Time of Week: 455734.284000, Week Number: 2370
Acceleration: X=-0.157551, Y=-0.685761, Z=9.796807 m/s^2 Time of Week: 455734.285000, Week Number: 2370
Acceleration: X=-0.158737, Y=-0.684538, Z=9.797702 m/s^2 Time of Week: 455734.286000, Week Number: 2370
Acceleration: X=-0.159200, Y=-0.681882, Z=9.798380 m/s^2 Time of Week: 455734.287000, Week Number: 2370
Acceleration: X=-0.159986, Y=-0.679852, Z=9.800764 m/s^2 Time of Week: 455734.288000, Week Number: 2370
Acceleration: X=-0.160867, Y=-0.678439, Z=9.804444 m/s^2 Time of Week: 455734.289000, Week Number: 2370
Acceleration: X=-0.160960, Y=-0.676509, Z=9.804950 m/s^2 Time of Week: 455734.290000, Week Number: 2370
Acceleration: X=-0.160460, Y=-0.675621, Z=9.804338 m/s^2 Time of Week: 455734.291000, Week Number: 2370
Acceleration: X=-0.161088, Y=-0.672792, Z=9.805147 m/s^2 Time of Week: 455734.292000, Week Number: 2370
Acceleration: X=-0.162273, Y=-0.670781, Z=9.805189 m/s^2 Time of Week: 455734.293000, Week Number: 2370
Acceleration: X=-0.163027, Y=-0.669682, Z=9.805655 m/s^2 Time of Week: 455734.294000, Week Number: 2370
Acceleration: X=-0.162451, Y=-0.669706, Z=9.804587 m/s^2 Time of Week: 455734.295000, Week Number: 2370
Acceleration: X=-0.160149, Y=-0.669447, Z=9.802918 m/s^2 Time of Week: 455734.296000, Week Number: 2370
Acceleration: X=-0.159387, Y=-0.667668, Z=9.800360 m/s^2 Time of Week: 455734.297000, Week Number: 2370
Acceleration: X=-0.159667, Y=-0.664731, Z=9.797400 m/s^2 Time of Week: 455734.298000, Week Number: 2370
Acceleration: X=-0.159611, Y=-0.664079, Z=9.794573 m/s^2 Time of Week: 455734.299000, Week Number: 2370
Acceleration: X=-0.159132, Y=-0.662300, Z=9.792994 m/s^2 Time of Week: 455734.300000, Week Number: 2370
Acceleration: X=-0.159041, Y=-0.658783, Z=9.792073 m/s^2 Time of Week: 455734.301000, Week Number: 2370
Acceleration: X=-0.158265, Y=-0.657683, Z=9.792088 m/s^2 Time of Week: 455734.302000, Week Number: 2370
Acceleration: X=-0.158387, Y=-0.656269, Z=9.791955 m/s^2 Time of Week: 455734.303000, Week Number: 2370
Acceleration: X=-0.156627, Y=-0.655203, Z=9.790423 m/s^2 Time of Week: 455734.304000, Week Number: 2370
Acceleration: X=-0.156861, Y=-0.654381, Z=9.788544 m/s^2 Time of Week: 455734.305000, Week Number: 2370
Acceleration: X=-0.157322, Y=-0.654334, Z=9.788119 m/s^2 Time of Week: 455734.306000, Week Number: 2370
Acceleration: X=-0.159103, Y=-0.654018, Z=9.786645 m/s^2 Time of Week: 455734.307000, Week Number: 2370
Acceleration: X=-0.161474, Y=-0.654343, Z=9.785230 m/s^2 Time of Week: 455734.308000, Week Number: 2370
Acceleration: X=-0.162138, Y=-0.654735, Z=9.784153 m/s^2 Time of Week: 455734.309000, Week Number: 2370
Acceleration: X=-0.163075, Y=-0.656468, Z=9.782768 m/s^2 Time of Week: 455734.310000, Week Number: 2370
Acceleration: X=-0.163639, Y=-0.658357, Z=9.781719 m/s^2 Time of Week: 455734.311000, Week Number: 2370
Acceleration: X=-0.165498, Y=-0.659930, Z=9.781061 m/s^2 Time of Week: 455734.312000, Week Number: 2370
Acceleration: X=-0.166771, Y=-0.661273, Z=9.780991 m/s^2 Time of Week: 455734.313000, Week Number: 2370
Acceleration: X=-0.166308, Y=-0.662304, Z=9.781224 m/s^2 Time of Week: 455734.314000, Week Number: 2370
Acceleration: X=-0.167962, Y=-0.664379, Z=9.781834 m/s^2 Time of Week: 455734.315000, Week Number: 2370
Acceleration: X=-0.168797, Y=-0.666236, Z=9.784871 m/s^2 Time of Week: 455734.316000, Week Number: 2370
Acceleration: X=-0.168721, Y=-0.667516, Z=9.787035 m/s^2 Time of Week: 455734.317000, Week Number: 2370
Acceleration: X=-0.168235, Y=-0.667773, Z=9.789398 m/s^2 Time of Week: 455734.318000, Week Number: 2370
Acceleration: X=-0.167286, Y=-0.667964, Z=9.791201 m/s^2 Time of Week: 455734.319000, Week Number: 2370
Acceleration: X=-0.168274, Y=-0.668969, Z=9.790577 m/s^2 Time of Week: 455734.320000, Week Number: 2370
Acceleration: X=-0.169307, Y=-0.669734, Z=9.790680 m/s^2 Time of Week: 455734.321000, Week Number: 2370
Acceleration: X=-0.169540, Y=-0.672193, Z=9.791330 m/s^2 Time of Week: 455734.322000, Week Number: 2370
Acceleration: X=-0.168146, Y=-0.675070, Z=9.792537 m/s^2 Time of Week: 455734.323000, Week Number: 2370
Acceleration: X=-0.166943, Y=-0.677533, Z=9.795171 m/s^2 Time of Week: 455734.324000, Week Number: 2370
Acceleration: X=-0.167032, Y=-0.679404, Z=9.795461 m/s^2 Time of Week: 455734.325000, Week Number: 2370
Acceleration: X=-0.168685, Y=-0.682542, Z=9.794825 m/s^2 Time of Week: 455734.326000, Week Number: 2370
Acceleration: X=-0.169795, Y=-0.685215, Z=9.794056 m/s^2 Time of Week: 455734.327000, Week Number: 2370
Acceleration: X=-0.170773, Y=-0.684519, Z=9.791889 m/s^2 Time of Week: 455734.328000, Week Number: 2370
Acceleration: X=-0.171515, Y=-0.684145, Z=9.788242 m/s^2 Time of Week: 455734.329000, Week Number: 2370
Acceleration: X=-0.171370, Y=-0.685875, Z=9.785473 m/s^2 Time of Week: 455734.330000, Week Number: 2370
Acceleration: X=-0.172407, Y=-0.687477, Z=9.783939 m/s^2 Time of Week: 455734.331000, Week Number: 2370
Acceleration: X=-0.172040, Y=-0.688284, Z=9.783352 m/s^2 Time of Week: 455734.332000, Week Number: 2370
Acceleration: X=-0.172055, Y=-0.689028, Z=9.785193 m/s^2 Time of Week: 455734.333000, Week Number: 2370
Acceleration: X=-0.171222, Y=-0.690446, Z=9.786451 m/s^2 Time of Week: 455734.334000, Week Number: 2370
Acceleration: X=-0.169295, Y=-0.692828, Z=9.785269 m/s^2 Time of Week: 455734.335000, Week Number: 2370
Acceleration: X=-0.168405, Y=-0.695363, Z=9.782217 m/s^2 Time of Week: 455734.336000, Week Number: 2370
Acceleration: X=-0.169728, Y=-0.696709, Z=9.779459 m/s^2 Time of Week: 455734.337000, Week Number: 2370
Acceleration: X=-0.171741, Y=-0.698743, Z=9.776935 m/s^2 Time of Week: 455734.338000, Week Number: 2370
Acceleration: X=-0.175280, Y=-0.701561, Z=9.774157 m/s^2 Time of Week: 455734.339000, Week Number: 2370
Acceleration: X=-0.177834, Y=-0.703127, Z=9.770893 m/s^2 Time of Week: 455734.340000, Week Number: 2370
Acceleration: X=-0.177618, Y=-0.703041, Z=9.767982 m/s^2 Time of Week: 455734.341000, Week Number: 2370
Acceleration: X=-0.176018, Y=-0.703987, Z=9.766638 m/s^2 Time of Week: 455734.342000, Week Number: 2370
Acceleration: X=-0.175236, Y=-0.706139, Z=9.763760 m/s^2 Time of Week: 455734.343000, Week Number: 2370
Acceleration: X=-0.173927, Y=-0.706503, Z=9.758552 m/s^2 Time of Week: 455734.344000, Week Number: 2370
Acceleration: X=-0.172068, Y=-0.703919, Z=9.754009 m/s^2 Time of Week: 455734.345000, Week Number: 2370
Acceleration: X=-0.170515, Y=-0.703382, Z=9.750270 m/s^2 Time of Week: 455734.346000, Week Number: 2370
Acceleration: X=-0.170333, Y=-0.701116, Z=9.748268 m/s^2 Time of Week: 455734.347000, Week Number: 2370
Acceleration: X=-0.169185, Y=-0.698817, Z=9.749751 m/s^2 Time of Week: 455734.348000, Week Number: 2370
Acceleration: X=-0.166878, Y=-0.697208, Z=9.751030 m/s^2 Time of Week: 455734.349000, Week Number: 2370
Acceleration: X=-0.165559, Y=-0.696712, Z=9.751576 m/s^2 Time of Week: 455734.350000, Week Number: 2370
Acceleration: X=-0.164125, Y=-0.695904, Z=9.750560 m/s^2 Time of Week: 455734.351000, Week Number: 2370
Acceleration: X=-0.161023, Y=-0.692991, Z=9.749638 m/s^2 Time of Week: 455734.352000, Week Number: 2370
