
#################################################################
Log started at 2025-06-13_14-35-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.103949, Y=-0.717445, Z=9.336268 m/s^2 Time of Week: 455738.619000, Week Number: 2370
Acceleration: X=-0.046907, Y=-0.843429, Z=9.622957 m/s^2 Time of Week: 455738.629000, Week Number: 2370
Acceleration: X=-0.078930, Y=-0.800144, Z=10.737633 m/s^2 Time of Week: 455738.639000, Week Number: 2370
Acceleration: X=-0.322428, Y=-0.487624, Z=9.939892 m/s^2 Time of Week: 455738.649000, Week Number: 2370
Acceleration: X=-0.357448, Y=-0.344616, Z=9.431855 m/s^2 Time of Week: 455738.659000, Week Number: 2370
Acceleration: X=-0.232157, Y=-0.536047, Z=9.720870 m/s^2 Time of Week: 455738.669000, Week Number: 2370
Acceleration: X=-0.116006, Y=-0.813778, Z=9.928033 m/s^2 Time of Week: 455738.679000, Week Number: 2370
Acceleration: X=-0.067461, Y=-0.896797, Z=9.849596 m/s^2 Time of Week: 455738.689000, Week Number: 2370
Acceleration: X=-0.037794, Y=-0.795900, Z=9.516857 m/s^2 Time of Week: 455738.699000, Week Number: 2370
Acceleration: X=-0.041392, Y=-0.749127, Z=9.359372 m/s^2 Time of Week: 455738.709000, Week Number: 2370
Acceleration: X=-0.066373, Y=-0.761001, Z=9.798280 m/s^2 Time of Week: 455738.719000, Week Number: 2370
Acceleration: X=-0.145146, Y=-0.685634, Z=9.997602 m/s^2 Time of Week: 455738.729000, Week Number: 2370
Acceleration: X=-0.270397, Y=-0.551497, Z=9.837312 m/s^2 Time of Week: 455738.739000, Week Number: 2370
Acceleration: X=-0.314354, Y=-0.504230, Z=9.810253 m/s^2 Time of Week: 455738.749000, Week Number: 2370
Acceleration: X=-0.259283, Y=-0.606484, Z=9.976409 m/s^2 Time of Week: 455738.759000, Week Number: 2370
Acceleration: X=-0.169079, Y=-0.702572, Z=9.892139 m/s^2 Time of Week: 455738.769000, Week Number: 2370
Acceleration: X=-0.103848, Y=-0.716552, Z=9.639445 m/s^2 Time of Week: 455738.779000, Week Number: 2370
Acceleration: X=-0.059298, Y=-0.740957, Z=9.595356 m/s^2 Time of Week: 455738.789000, Week Number: 2370
Acceleration: X=-0.045136, Y=-0.793849, Z=9.731172 m/s^2 Time of Week: 455738.799000, Week Number: 2370
Acceleration: X=-0.094380, Y=-0.780130, Z=9.814015 m/s^2 Time of Week: 455738.809000, Week Number: 2370
Acceleration: X=-0.163469, Y=-0.678610, Z=9.747505 m/s^2 Time of Week: 455738.819000, Week Number: 2370
Acceleration: X=-0.238960, Y=-0.593823, Z=9.721155 m/s^2 Time of Week: 455738.829000, Week Number: 2370
Acceleration: X=-0.253426, Y=-0.587281, Z=9.863181 m/s^2 Time of Week: 455738.839000, Week Number: 2370
Acceleration: X=-0.217538, Y=-0.638463, Z=9.984567 m/s^2 Time of Week: 455738.849000, Week Number: 2370
Acceleration: X=-0.161222, Y=-0.673992, Z=9.877014 m/s^2 Time of Week: 455738.859000, Week Number: 2370
Acceleration: X=-0.127646, Y=-0.668428, Z=9.660408 m/s^2 Time of Week: 455738.869000, Week Number: 2370
Acceleration: X=-0.117725, Y=-0.695372, Z=9.630821 m/s^2 Time of Week: 455738.879000, Week Number: 2370
Acceleration: X=-0.091606, Y=-0.766031, Z=9.757334 m/s^2 Time of Week: 455738.889000, Week Number: 2370
Acceleration: X=-0.099322, Y=-0.795998, Z=9.792263 m/s^2 Time of Week: 455738.899000, Week Number: 2370
Acceleration: X=-0.147603, Y=-0.734647, Z=9.713011 m/s^2 Time of Week: 455738.909000, Week Number: 2370
Acceleration: X=-0.187386, Y=-0.641286, Z=9.709194 m/s^2 Time of Week: 455738.919000, Week Number: 2370
Acceleration: X=-0.202800, Y=-0.581139, Z=9.854850 m/s^2 Time of Week: 455738.929000, Week Number: 2370
Acceleration: X=-0.209156, Y=-0.585432, Z=9.954465 m/s^2 Time of Week: 455738.939000, Week Number: 2370
Acceleration: X=-0.204553, Y=-0.635742, Z=9.872481 m/s^2 Time of Week: 455738.949000, Week Number: 2370
Acceleration: X=-0.175846, Y=-0.702291, Z=9.735711 m/s^2 Time of Week: 455738.959000, Week Number: 2370
Acceleration: X=-0.130809, Y=-0.746120, Z=9.674958 m/s^2 Time of Week: 455738.969000, Week Number: 2370
Acceleration: X=-0.088798, Y=-0.756830, Z=9.702249 m/s^2 Time of Week: 455738.979000, Week Number: 2370
Acceleration: X=-0.080043, Y=-0.721623, Z=9.753416 m/s^2 Time of Week: 455738.989000, Week Number: 2370
Acceleration: X=-0.124943, Y=-0.687430, Z=9.769400 m/s^2 Time of Week: 455738.999000, Week Number: 2370
Acceleration: X=-0.187232, Y=-0.668398, Z=9.776949 m/s^2 Time of Week: 455739.009000, Week Number: 2370
Acceleration: X=-0.212735, Y=-0.656830, Z=9.808328 m/s^2 Time of Week: 455739.019000, Week Number: 2370
Acceleration: X=-0.209312, Y=-0.637071, Z=9.829956 m/s^2 Time of Week: 455739.029000, Week Number: 2370
Acceleration: X=-0.190449, Y=-0.641651, Z=9.829243 m/s^2 Time of Week: 455739.039000, Week Number: 2370
Acceleration: X=-0.152701, Y=-0.660013, Z=9.810631 m/s^2 Time of Week: 455739.049000, Week Number: 2370
Acceleration: X=-0.127863, Y=-0.687726, Z=9.772415 m/s^2 Time of Week: 455739.059000, Week Number: 2370
Acceleration: X=-0.121286, Y=-0.722170, Z=9.723327 m/s^2 Time of Week: 455739.069000, Week Number: 2370
Acceleration: X=-0.121948, Y=-0.736920, Z=9.710548 m/s^2 Time of Week: 455739.079000, Week Number: 2370
