
#################################################################
Log started at 2025-06-13_14-52-46 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: d6f6, Got: dac9
Checksum failed. Expected: f9e0, Got: c8e2
Checksum failed. Expected: 1349, Got: 4677
Checksum failed. Expected: c32a, Got: a7ea
Checksum failed. Expected: 5d21, Got: 69b2
Checksum failed. Expected: 9a9b, Got: d81f
Checksum failed. Expected: 11a1, Got: 1bd2
Checksum failed. Expected: 8860, Got: 4398
Checksum failed. Expected: 507e, Got: 924a
Checksum failed. Expected: 5c16, Got: f68a
Checksum failed. Expected: c3de, Got: fd20
Checksum failed. Expected: a874, Got: b35d
Checksum failed. Expected: be55, Got: 1cc9
Checksum failed. Expected: e81e, Got: c8b2
Checksum failed. Expected: c20a, Got: bc6e
Checksum failed. Expected: ce0c, Got: db31
Checksum failed. Expected: cbb5, Got: 9422
Checksum failed. Expected: 3180, Got: f3ed
Checksum failed. Expected: 9e78, Got: f405
Checksum failed. Expected: 71da, Got: f084
Checksum failed. Expected: 56d6, Got: 26be
Checksum failed. Expected: c680, Got: c4b6
Checksum failed. Expected: 81b1, Got: 511c
Checksum failed. Expected: 6d76, Got: 7ddd
Checksum failed. Expected: 17a2, Got: 8bef
Checksum failed. Expected: 4f9f, Got: ff1d
Checksum failed. Expected: 27ed, Got: 8914
Checksum failed. Expected: f8df, Got: 39b0
Checksum failed. Expected: f68e, Got: fa81
Checksum failed. Expected: 8083, Got: 2475
Checksum failed. Expected: dc2f, Got: 6327
Checksum failed. Expected: af47, Got: 8ce5
Checksum failed. Expected: 0670, Got: 2ac4
Checksum failed. Expected: 8773, Got: e9bc
Checksum failed. Expected: 658a, Got: fcb2
Checksum failed. Expected: 65b3, Got: aeb7
Checksum failed. Expected: 515b, Got: 1a81
Checksum failed. Expected: 98ab, Got: 231f
Checksum failed. Expected: 1e77, Got: 0ce0
Checksum failed. Expected: 0da6, Got: 5349
Checksum failed. Expected: a255, Got: 41d4
Checksum failed. Expected: 0e0e, Got: fcc1
Checksum failed. Expected: e85b, Got: 1d56
Checksum failed. Expected: 2fd0, Got: b210
Checksum failed. Expected: b018, Got: 5444
