
#################################################################
Log started at 2025-06-13_14-52-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: e387, Got: 000e
Checksum failed. Expected: 4d20, Got: 000e
Checksum failed. Expected: 6e61, Got: 000e
Checksum failed. Expected: 8f89, Got: 000e
Checksum failed. Expected: c308, Got: 000e
Checksum failed. Expected: 06c0, Got: 000e
Checksum failed. Expected: ae01, Got: 000e
Checksum failed. Expected: 8079, Got: 000e
Checksum failed. Expected: 2360, Got: 000e
Checksum failed. Expected: f910, Got: 000e
Checksum failed. Expected: 66d9, Got: 000e
Checksum failed. Expected: 40ad, Got: 000e
Checksum failed. Expected: 653a, Got: 000e
Checksum failed. Expected: a18a, Got: 000e
Checksum failed. Expected: d0e9, Got: 000e
Checksum failed. Expected: 13b0, Got: 000e
Checksum failed. Expected: af03, Got: 000e
Checksum failed. Expected: d8bc, Got: 000e
Checksum failed. Expected: 7ec7, Got: 000e
Checksum failed. Expected: 49a6, Got: 000e
Checksum failed. Expected: 229d, Got: 000e
Checksum failed. Expected: e5e9, Got: 000e
Checksum failed. Expected: 1980, Got: 000e
Checksum failed. Expected: 7635, Got: 000e
Checksum failed. Expected: 7084, Got: 000e
Checksum failed. Expected: be07, Got: 000e
Checksum failed. Expected: aea5, Got: 000e
Checksum failed. Expected: 3456, Got: 000e
Checksum failed. Expected: 1073, Got: 000e
Checksum failed. Expected: bb06, Got: 000e
Checksum failed. Expected: 6798, Got: 000e
Checksum failed. Expected: 2ad2, Got: 000e
Checksum failed. Expected: ded8, Got: 000e
Checksum failed. Expected: 4871, Got: 000e
Checksum failed. Expected: 7b08, Got: 000e
Checksum failed. Expected: 6f00, Got: 000e
Checksum failed. Expected: 824b, Got: 000e
Checksum failed. Expected: 1fc0, Got: 000e
Checksum failed. Expected: 58ad, Got: 000e
Checksum failed. Expected: 1df2, Got: 000e
Checksum failed. Expected: b3e2, Got: 000e
Checksum failed. Expected: 64d3, Got: 000e
Checksum failed. Expected: 1a31, Got: 000e
Checksum failed. Expected: 0688, Got: 000e
Checksum failed. Expected: 0530, Got: 000e
Checksum failed. Expected: 96a8, Got: 000e
Checksum failed. Expected: ce73, Got: 000e
Checksum failed. Expected: db38, Got: 000e
Checksum failed. Expected: bedf, Got: 000e
Checksum failed. Expected: 9f51, Got: 000e
Checksum failed. Expected: 4346, Got: 000e
Checksum failed. Expected: fce3, Got: 000e
Checksum failed. Expected: d6d2, Got: 000e
Checksum failed. Expected: 560b, Got: 000e
Checksum failed. Expected: fe42, Got: 000e
Checksum failed. Expected: d93e, Got: 000e
Checksum failed. Expected: 83aa, Got: 000e
Checksum failed. Expected: 305d, Got: 000e
Checksum failed. Expected: b2e5, Got: 000e
Checksum failed. Expected: 72d7, Got: 000e
Checksum failed. Expected: b463, Got: 000e
Checksum failed. Expected: 7d1c, Got: 000e
Checksum failed. Expected: 10d3, Got: 000e
Checksum failed. Expected: 6fae, Got: 000e
Checksum failed. Expected: 364f, Got: 000e
Checksum failed. Expected: e1d3, Got: 000e
Checksum failed. Expected: 0866, Got: 000e
Checksum failed. Expected: 5b48, Got: 000e
Checksum failed. Expected: a148, Got: 000e
Checksum failed. Expected: 281b, Got: 000e
Checksum failed. Expected: 1571, Got: 000e
Checksum failed. Expected: cee7, Got: 000e
Checksum failed. Expected: 8891, Got: 000e
Checksum failed. Expected: c939, Got: 000e
Checksum failed. Expected: 1b08, Got: 000e
Checksum failed. Expected: b0e5, Got: 000e
Checksum failed. Expected: dac2, Got: 000e
Checksum failed. Expected: 1d76, Got: 000e
Checksum failed. Expected: cd54, Got: 000e
Checksum failed. Expected: d914, Got: 000e
Checksum failed. Expected: 6327, Got: 000e
Checksum failed. Expected: 5b39, Got: 000e
Checksum failed. Expected: 0259, Got: 000e
Checksum failed. Expected: 8e8b, Got: 000e
Checksum failed. Expected: fa5d, Got: 000e
Checksum failed. Expected: 6a7b, Got: 000e
Checksum failed. Expected: c1a5, Got: 000e
Checksum failed. Expected: aede, Got: 000e
Checksum failed. Expected: a1b6, Got: 000e
Checksum failed. Expected: b0a1, Got: 000e
Checksum failed. Expected: ded9, Got: 000e
Checksum failed. Expected: 33f6, Got: 000e
Checksum failed. Expected: 703c, Got: 000e
Checksum failed. Expected: 915d, Got: 000e
Checksum failed. Expected: e44d, Got: 000e
Checksum failed. Expected: 20a3, Got: 000e
Checksum failed. Expected: a889, Got: 000e
Checksum failed. Expected: 28c8, Got: 000e
Checksum failed. Expected: 39c6, Got: 000e
Checksum failed. Expected: d0c9, Got: 000e
Checksum failed. Expected: abcb, Got: 000e
Checksum failed. Expected: b99c, Got: 000e
Checksum failed. Expected: 8c27, Got: 000e
Checksum failed. Expected: b4de, Got: 000e
Checksum failed. Expected: f792, Got: 000e
Checksum failed. Expected: a437, Got: 000e
Checksum failed. Expected: c019, Got: 000e
Checksum failed. Expected: f17d, Got: 000e
Checksum failed. Expected: a470, Got: 000e
Checksum failed. Expected: 5abb, Got: 000e
Checksum failed. Expected: 600f, Got: 000e
Checksum failed. Expected: 165f, Got: 000e
Checksum failed. Expected: 1853, Got: 000e
Checksum failed. Expected: 1934, Got: 000e
Checksum failed. Expected: ce55, Got: 000e
Checksum failed. Expected: b96c, Got: 000e
Checksum failed. Expected: d0fd, Got: 000e
Checksum failed. Expected: e235, Got: 000e
Checksum failed. Expected: b499, Got: 000e
Checksum failed. Expected: 657b, Got: 000e
Checksum failed. Expected: 4a35, Got: 000e
Checksum failed. Expected: 8bc9, Got: 000e
Checksum failed. Expected: e30a, Got: 000e
Checksum failed. Expected: 35fc, Got: 000e
Checksum failed. Expected: 1e29, Got: 000e
Checksum failed. Expected: 36b0, Got: 000e
Checksum failed. Expected: 5904, Got: 000e
Checksum failed. Expected: 8403, Got: 000e
Checksum failed. Expected: 85cb, Got: 000e
Checksum failed. Expected: d44b, Got: 000e
Checksum failed. Expected: e0ee, Got: 000e
Checksum failed. Expected: 3b78, Got: 000e
Checksum failed. Expected: cb0a, Got: 000e
Checksum failed. Expected: f097, Got: 000e
Checksum failed. Expected: 0d8c, Got: 000e
Checksum failed. Expected: 0047, Got: 000e
Checksum failed. Expected: 5762, Got: 000e
Checksum failed. Expected: f823, Got: 000e
Checksum failed. Expected: 6fd4, Got: 000e
Checksum failed. Expected: 8891, Got: 000e
Checksum failed. Expected: 478c, Got: 000e
Checksum failed. Expected: 1482, Got: 000e
Checksum failed. Expected: 9b35, Got: 000e
Checksum failed. Expected: 5e67, Got: 000e
Checksum failed. Expected: e986, Got: 000e
Checksum failed. Expected: 5ac5, Got: 000e
Checksum failed. Expected: f3f3, Got: 000e
Checksum failed. Expected: 7108, Got: 000e
