
#################################################################
Log started at 2025-06-13_14-53-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: bda4, Got: 8775
Checksum failed. Expected: abd1, Got: c675
Checksum failed. Expected: 9f98, Got: 9975
Checksum failed. Expected: d362, Got: 2f75
Checksum failed. Expected: b503, Got: ee75
Checksum failed. Expected: 1f57, Got: d875
Checksum failed. Expected: d91e, Got: e575
Checksum failed. Expected: c157, Got: 3675
Checksum failed. Expected: 5d31, Got: 7475
Checksum failed. Expected: d94b, Got: 1275
Checksum failed. Expected: fde9, Got: 8c75
Checksum failed. Expected: e551, Got: 0c75
Checksum failed. Expected: 9ffc, Got: fd75
Checksum failed. Expected: bd6f, Got: 5275
Checksum failed. Expected: ab9a, Got: 8f75
Checksum failed. Expected: f99e, Got: 4575
Checksum failed. Expected: 41bb, Got: 1a75
Checksum failed. Expected: 01e7, Got: 8675
Checksum failed. Expected: d5fe, Got: c975
Checksum failed. Expected: c97f, Got: 5675
Checksum failed. Expected: 5d20, Got: 6375
Checksum failed. Expected: 8995, Got: ac75
Checksum failed. Expected: a32f, Got: 2c75
Checksum failed. Expected: 87b8, Got: d175
Checksum failed. Expected: ab80, Got: 7575
Checksum failed. Expected: 37c4, Got: 2d75
Checksum failed. Expected: afb7, Got: a875
Checksum failed. Expected: 4973, Got: ca75
Checksum failed. Expected: 3917, Got: 7e75
Checksum failed. Expected: 4d8f, Got: e275
Checksum failed. Expected: f57e, Got: 2975
Checksum failed. Expected: e77c, Got: 3575
Checksum failed. Expected: 531c, Got: 6975
Checksum failed. Expected: f92c, Got: d375
Checksum failed. Expected: 61f3, Got: 3275
Checksum failed. Expected: f710, Got: b975
Checksum failed. Expected: ab8d, Got: 8275
Checksum failed. Expected: 0b15, Got: aa75
Checksum failed. Expected: 47d8, Got: 3175
Checksum failed. Expected: c7fd, Got: d675
Checksum failed. Expected: 11ec, Got: 7b75
Checksum failed. Expected: 7f37, Got: 5875
Checksum failed. Expected: 95ce, Got: d975
Checksum failed. Expected: 9dc2, Got: c575
Checksum failed. Expected: 5765, Got: ae75
Checksum failed. Expected: 130a, Got: 9775
Checksum failed. Expected: f999, Got: 4075
Checksum failed. Expected: a7c4, Got: bd75
Checksum failed. Expected: cb61, Got: 3675
Checksum failed. Expected: 518f, Got: de75
Checksum failed. Expected: 6371, Got: ae75
Checksum failed. Expected: 151f, Got: aa75
Checksum failed. Expected: c555, Got: 3075
Checksum failed. Expected: fdbc, Got: 5f75
Checksum failed. Expected: 61c6, Got: 0575
Checksum failed. Expected: ff92, Got: 3375
Checksum failed. Expected: 5160, Got: af75
Checksum failed. Expected: ef67, Got: 1875
Checksum failed. Expected: 671c, Got: 5575
Checksum failed. Expected: e1c9, Got: 8875
Checksum failed. Expected: 5bc8, Got: 0d75
