
#################################################################
Log started at 2025-06-13_14-53-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 1be6, Got: 6b75
Checksum failed. Expected: d925, Got: ec75
Checksum failed. Expected: a94f, Got: 4675
Checksum failed. Expected: 792b, Got: 5275
Checksum failed. Expected: 6fb2, Got: e375
Checksum failed. Expected: 85bd, Got: d875
Checksum failed. Expected: 7591, Got: bc75
Checksum failed. Expected: 99d4, Got: db75
Checksum failed. Expected: e96a, Got: 2175
Checksum failed. Expected: e313, Got: d075
Checksum failed. Expected: d97d, Got: 4475
Checksum failed. Expected: 6dc3, Got: f675
Checksum failed. Expected: 2101, Got: 8075
Checksum failed. Expected: 0b87, Got: 1c75
Checksum failed. Expected: d1d0, Got: 9f75
Checksum failed. Expected: 2d65, Got: d875
Checksum failed. Expected: 432b, Got: 8875
Checksum failed. Expected: f179, Got: 2875
Checksum failed. Expected: 0bf3, Got: 8875
Checksum failed. Expected: 8d41, Got: 5475
Checksum failed. Expected: 4f4a, Got: 9b75
Checksum failed. Expected: d316, Got: e375
Checksum failed. Expected: 15ad, Got: 3875
Checksum failed. Expected: 9f60, Got: 6175
Checksum failed. Expected: 8b47, Got: 5c75
Checksum failed. Expected: 5187, Got: d675
Checksum failed. Expected: 81e3, Got: 0275
Checksum failed. Expected: 6f2e, Got: 5f75
Checksum failed. Expected: 2383, Got: 0075
Checksum failed. Expected: 9b37, Got: 3c75
Checksum failed. Expected: 2964, Got: db75
Checksum failed. Expected: d1f5, Got: c475
Checksum failed. Expected: 310c, Got: 7b75
Checksum failed. Expected: e5f0, Got: ab75
Checksum failed. Expected: 35cb, Got: 3675
Checksum failed. Expected: 9b57, Got: 5c75
Checksum failed. Expected: 9359, Got: 6675
Checksum failed. Expected: 4dbc, Got: 0f75
Checksum failed. Expected: 27dd, Got: 5675
Checksum failed. Expected: 7985, Got: ac75
Checksum failed. Expected: afbc, Got: ad75
Checksum failed. Expected: 91aa, Got: b975
Checksum failed. Expected: 6bce, Got: 0375
Checksum failed. Expected: 35dd, Got: 4875
Checksum failed. Expected: f974, Got: 1b75
Checksum failed. Expected: d192, Got: 6175
Checksum failed. Expected: 41e6, Got: 4575
Checksum failed. Expected: 1dfc, Got: 7f75
Checksum failed. Expected: af65, Got: 5675
Checksum failed. Expected: a146, Got: 4575
Checksum failed. Expected: 7d01, Got: 2475
Checksum failed. Expected: 770a, Got: 3375
Checksum failed. Expected: 3162, Got: d175
Checksum failed. Expected: 238f, Got: 0c75
Checksum failed. Expected: 2725, Got: 9e75
Checksum failed. Expected: 55eb, Got: 3675
Checksum failed. Expected: 81f5, Got: 1475
Checksum failed. Expected: 23f8, Got: 7575
Checksum failed. Expected: e12a, Got: e975
Checksum failed. Expected: dd63, Got: 2675
Checksum failed. Expected: ef3b, Got: ec75
Checksum failed. Expected: f758, Got: 0175
Checksum failed. Expected: 4ffc, Got: 4d75
Checksum failed. Expected: 11c7, Got: 5675
Checksum failed. Expected: e103, Got: c275
Checksum failed. Expected: 71cc, Got: fb75
Checksum failed. Expected: 2926, Got: 9d75
Checksum failed. Expected: 2baa, Got: 1f75
Checksum failed. Expected: 098f, Got: 2675
Checksum failed. Expected: 65a2, Got: dd75
Checksum failed. Expected: 8bde, Got: f375
Checksum failed. Expected: d97c, Got: 4375
Checksum failed. Expected: 6f13, Got: 4475
Checksum failed. Expected: 4389, Got: e675
Checksum failed. Expected: 834c, Got: 6975
Checksum failed. Expected: 555e, Got: a975
Checksum failed. Expected: 4d86, Got: d975
Checksum failed. Expected: 3525, Got: 9075
Checksum failed. Expected: 91a7, Got: b675
Checksum failed. Expected: 8753, Got: 6c75
Checksum failed. Expected: cfae, Got: 7f75
Checksum failed. Expected: d7ed, Got: b675
Checksum failed. Expected: 5f88, Got: c975
Checksum failed. Expected: 3f47, Got: a875
Checksum failed. Expected: 6f1c, Got: 4d75
Checksum failed. Expected: 7b31, Got: 5675
Checksum failed. Expected: cd1d, Got: f075
Checksum failed. Expected: 514b, Got: 9a75
Checksum failed. Expected: 9ff8, Got: f975
Checksum failed. Expected: 5fe3, Got: 2475
Checksum failed. Expected: 0d7a, Got: 0d75
Checksum failed. Expected: df1f, Got: e075
Checksum failed. Expected: 093f, Got: d675
Checksum failed. Expected: cd9f, Got: 7275
Checksum failed. Expected: 1dfc, Got: 7f75
Checksum failed. Expected: 5fca, Got: 0b75
Checksum failed. Expected: 3df2, Got: 5575
Checksum failed. Expected: 7dd5, Got: f875
Checksum failed. Expected: 595d, Got: a475
Checksum failed. Expected: 3d84, Got: e775
Checksum failed. Expected: d559, Got: 2475
Checksum failed. Expected: 2b98, Got: 0d75
Checksum failed. Expected: 6d3d, Got: 7075
Checksum failed. Expected: 17a6, Got: 2f75
Checksum failed. Expected: 0702, Got: 9b75
Checksum failed. Expected: 8163, Got: 8275
Checksum failed. Expected: 9d20, Got: 2375
Checksum failed. Expected: 23ff, Got: 7c75
Checksum failed. Expected: 45b1, Got: 0c75
Checksum failed. Expected: 5508, Got: 5375
Checksum failed. Expected: 0700, Got: 9975
Checksum failed. Expected: 09c5, Got: 5c75
Checksum failed. Expected: 0b81, Got: 1675
Checksum failed. Expected: 5b89, Got: ce75
Checksum failed. Expected: 495e, Got: b575
Checksum failed. Expected: 7b4f, Got: 7475
Checksum failed. Expected: 3f68, Got: c975
Checksum failed. Expected: d1ea, Got: b975
Checksum failed. Expected: edc1, Got: 7475
Checksum failed. Expected: 755b, Got: 8675
Checksum failed. Expected: 9504, Got: 0f75
Checksum failed. Expected: 5b00, Got: 4575
Checksum failed. Expected: 1143, Got: d275
Checksum failed. Expected: 1fb7, Got: 3875
Checksum failed. Expected: cbdb, Got: b075
Checksum failed. Expected: 2f21, Got: 9275
Checksum failed. Expected: 6515, Got: 5075
Checksum failed. Expected: 1b9e, Got: 2375
Checksum failed. Expected: 3f6f, Got: d075
Checksum failed. Expected: bf11, Got: f275
Checksum failed. Expected: d7d1, Got: 9a75
Checksum failed. Expected: 39a0, Got: 0775
Checksum failed. Expected: f518, Got: c375
Checksum failed. Expected: 95e3, Got: ee75
Checksum failed. Expected: 3552, Got: bd75
Checksum failed. Expected: cd01, Got: d475
Checksum failed. Expected: 2596, Got: 1175
Checksum failed. Expected: 73c4, Got: f175
Checksum failed. Expected: 81b1, Got: d075
Checksum failed. Expected: ede9, Got: 9c75
Checksum failed. Expected: 2b37, Got: ac75
Checksum failed. Expected: ff3f, Got: e075
Checksum failed. Expected: b57f, Got: 6a75
Checksum failed. Expected: 0141, Got: e075
Checksum failed. Expected: 258e, Got: 0975
Checksum failed. Expected: c9e7, Got: be75
Checksum failed. Expected: 8dba, Got: cd75
Checksum failed. Expected: 9b88, Got: 8d75
Checksum failed. Expected: 21f0, Got: 6f75
Checksum failed. Expected: 1b4a, Got: cf75
Checksum failed. Expected: 07da, Got: 7375
Checksum failed. Expected: 9356, Got: 6375
Checksum failed. Expected: 99e3, Got: ea75
Checksum failed. Expected: 8190, Got: af75
Checksum failed. Expected: fb95, Got: 3a75
Checksum failed. Expected: 9766, Got: 6f75
Checksum failed. Expected: 3d32, Got: 9575
Checksum failed. Expected: 112e, Got: bd75
Checksum failed. Expected: f34b, Got: f875
Checksum failed. Expected: d7c6, Got: 8f75
Checksum failed. Expected: 3db3, Got: 1675
Checksum failed. Expected: bf6e, Got: 4f75
Checksum failed. Expected: 85a7, Got: c275
Checksum failed. Expected: c5a0, Got: 7b75
Checksum failed. Expected: b15e, Got: 4d75
Checksum failed. Expected: 3f59, Got: ba75
Checksum failed. Expected: 750e, Got: 3975
Checksum failed. Expected: 5115, Got: 6475
Checksum failed. Expected: fba8, Got: 4d75
Checksum failed. Expected: 91a5, Got: b475
Checksum failed. Expected: 37a0, Got: 0975
Checksum failed. Expected: a932, Got: 2975
Checksum failed. Expected: 7d42, Got: 6575
Checksum failed. Expected: ef94, Got: 4575
Checksum failed. Expected: 21cf, Got: 4e75
Checksum failed. Expected: a105, Got: 0475
Checksum failed. Expected: 8719, Got: 3275
Checksum failed. Expected: d707, Got: d075
Checksum failed. Expected: 43fe, Got: 5b75
Checksum failed. Expected: e512, Got: cd75
Checksum failed. Expected: d573, Got: 3e75
