
#################################################################
Log started at 2025-06-13_14-53-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 1da1, Got: 2475
Checksum failed. Expected: d1d7, Got: a675
Checksum failed. Expected: 6120, Got: 5f75
Checksum failed. Expected: 252a, Got: a575
Checksum failed. Expected: 13d0, Got: 5d75
Checksum failed. Expected: 5139, Got: 8875
Checksum failed. Expected: 6b0a, Got: 3f75
Checksum failed. Expected: 3b64, Got: c975
Checksum failed. Expected: 9d87, Got: 8a75
Checksum failed. Expected: 491e, Got: 7575
Checksum failed. Expected: 0b7c, Got: 1175
Checksum failed. Expected: a70e, Got: 0775
Checksum failed. Expected: c1b0, Got: 8f75
Checksum failed. Expected: dd92, Got: 5575
Checksum failed. Expected: 99df, Got: e675
Checksum failed. Expected: 11a7, Got: 3675
Checksum failed. Expected: 67f0, Got: 2975
Checksum failed. Expected: 7db3, Got: d675
Checksum failed. Expected: bd4c, Got: 2f75
Checksum failed. Expected: 915a, Got: 6975
Checksum failed. Expected: 5341, Got: 8e75
Checksum failed. Expected: 0169, Got: 0875
Checksum failed. Expected: 218e, Got: 0d75
Checksum failed. Expected: cf6c, Got: 3d75
Checksum failed. Expected: 5720, Got: 6975
Checksum failed. Expected: 630a, Got: 4775
Checksum failed. Expected: 6fa4, Got: d575
Checksum failed. Expected: 2f8c, Got: fd75
Checksum failed. Expected: 25aa, Got: 2575
Checksum failed. Expected: 5746, Got: 8f75
Checksum failed. Expected: d32a, Got: f775
Checksum failed. Expected: ff52, Got: f375
Checksum failed. Expected: 5b28, Got: 6d75
Checksum failed. Expected: 1dc0, Got: 4375
Checksum failed. Expected: d38c, Got: 5975
Checksum failed. Expected: 639a, Got: d775
Checksum failed. Expected: 37fc, Got: 6575
Checksum failed. Expected: cdb4, Got: 8775
Checksum failed. Expected: b373, Got: 6075
Checksum failed. Expected: 2974, Got: eb75
Checksum failed. Expected: e71b, Got: d475
Checksum failed. Expected: 5971, Got: b875
Checksum failed. Expected: 45f1, Got: 4c75
Checksum failed. Expected: 39e2, Got: 4975
Checksum failed. Expected: e17c, Got: 3b75
Checksum failed. Expected: 4f31, Got: 8275
Checksum failed. Expected: 8173, Got: 9275
Checksum failed. Expected: 6569, Got: a475
Checksum failed. Expected: bd37, Got: 1a75
Checksum failed. Expected: 85a5, Got: c075
Checksum failed. Expected: 1f9b, Got: 1c75
Checksum failed. Expected: c75a, Got: 3375
Checksum failed. Expected: 95d1, Got: dc75
Checksum failed. Expected: 6737, Got: 7075
Checksum failed. Expected: 19c2, Got: 4975
Checksum failed. Expected: 1546, Got: d175
Checksum failed. Expected: 41f3, Got: 5275
Checksum failed. Expected: 6948, Got: 7f75
Checksum failed. Expected: 7ddd, Got: 0075
Checksum failed. Expected: 7f82, Got: a375
Checksum failed. Expected: 7790, Got: b975
Checksum failed. Expected: c915, Got: ec75
Checksum failed. Expected: f1d7, Got: 8675
Checksum failed. Expected: d7d0, Got: 9975
Checksum failed. Expected: a3b5, Got: b275
Checksum failed. Expected: 694b, Got: 8275
Checksum failed. Expected: 2135, Got: b475
Checksum failed. Expected: 9bb8, Got: bd75
Checksum failed. Expected: c502, Got: dd75
Checksum failed. Expected: 0fbd, Got: 4e75
Checksum failed. Expected: b5d1, Got: bc75
Checksum failed. Expected: 6366, Got: a375
Checksum failed. Expected: 0512, Got: ad75
Checksum failed. Expected: 3feb, Got: 4c75
Checksum failed. Expected: d7e3, Got: ac75
Checksum failed. Expected: a74c, Got: 4575
Checksum failed. Expected: 97df, Got: e875
Checksum failed. Expected: a33c, Got: 3975
Checksum failed. Expected: 5b22, Got: 6775
Checksum failed. Expected: 634e, Got: 8b75
Checksum failed. Expected: d991, Got: 5875
Checksum failed. Expected: 2978, Got: ef75
Checksum failed. Expected: c753, Got: 2c75
Checksum failed. Expected: bffd, Got: de75
Checksum failed. Expected: 7f12, Got: 3375
Checksum failed. Expected: 5b23, Got: 6875
Checksum failed. Expected: 9b67, Got: 6c75
Checksum failed. Expected: 6b4d, Got: 8275
Checksum failed. Expected: 8978, Got: 8f75
Checksum failed. Expected: 0755, Got: ee75
Checksum failed. Expected: df4a, Got: 0b75
Checksum failed. Expected: 152d, Got: b875
Checksum failed. Expected: 45d0, Got: 2b75
Checksum failed. Expected: 6532, Got: 6d75
Checksum failed. Expected: 01c3, Got: 6275
Checksum failed. Expected: c569, Got: 4475
Checksum failed. Expected: 372c, Got: 9575
Checksum failed. Expected: f770, Got: 1975
Checksum failed. Expected: f10f, Got: be75
Checksum failed. Expected: 5f54, Got: 9575
Checksum failed. Expected: 33cf, Got: 3c75
Checksum failed. Expected: 1bb1, Got: 3675
Checksum failed. Expected: c91b, Got: f275
Checksum failed. Expected: 6165, Got: a475
Checksum failed. Expected: 1540, Got: cb75
Checksum failed. Expected: ab0a, Got: ff75
Checksum failed. Expected: c5ac, Got: 8775
Checksum failed. Expected: e10f, Got: ce75
Checksum failed. Expected: 7d9c, Got: bf75
Checksum failed. Expected: d397, Got: 6475
Checksum failed. Expected: 1196, Got: 2575
Checksum failed. Expected: 1f29, Got: aa75
Checksum failed. Expected: cb48, Got: 1d75
Checksum failed. Expected: 1fa4, Got: 2575
Checksum failed. Expected: ebe7, Got: 9c75
Checksum failed. Expected: 1f02, Got: 8375
Checksum failed. Expected: 1f2d, Got: ae75
Checksum failed. Expected: a166, Got: 6575
Checksum failed. Expected: 61cf, Got: 0e75
Checksum failed. Expected: 6169, Got: a875
Checksum failed. Expected: c9ea, Got: c175
Checksum failed. Expected: 591c, Got: 6375
Checksum failed. Expected: 73ac, Got: d975
Checksum failed. Expected: 9f63, Got: 6475
Checksum failed. Expected: 3f3e, Got: 9f75
Checksum failed. Expected: 3156, Got: c575
Checksum failed. Expected: 2309, Got: 8675
Checksum failed. Expected: 471d, Got: 7675
Checksum failed. Expected: f7c7, Got: 7075
Checksum failed. Expected: 8fdf, Got: f075
