
#################################################################
Log started at 2025-06-13_14-54-01 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: ffb8, Got: 5975
Checksum failed. Expected: 9dce, Got: d175
Checksum failed. Expected: c59b, Got: 7675
Checksum failed. Expected: 9b65, Got: 6a75
Checksum failed. Expected: cfca, Got: 9b75
Checksum failed. Expected: 277f, Got: f875
Checksum failed. Expected: 6f8b, Got: bc75
Checksum failed. Expected: b15c, Got: 4b75
Checksum failed. Expected: 1b31, Got: b675
Checksum failed. Expected: e166, Got: 2575
Checksum failed. Expected: 8b18, Got: 2d75
Checksum failed. Expected: 9d14, Got: 1775
Checksum failed. Expected: cf52, Got: 2375
Checksum failed. Expected: 6971, Got: a875
Checksum failed. Expected: 0f98, Got: 2975
Checksum failed. Expected: c921, Got: f875
Checksum failed. Expected: 5d60, Got: a375
Checksum failed. Expected: 23cd, Got: 4a75
Checksum failed. Expected: 8360, Got: 7d75
Checksum failed. Expected: 410a, Got: 6975
Checksum failed. Expected: e7d6, Got: 8f75
Checksum failed. Expected: 9fce, Got: cf75
Checksum failed. Expected: cd1a, Got: ed75
Checksum failed. Expected: b9ad, Got: 9475
Checksum failed. Expected: 0503, Got: 9e75
Checksum failed. Expected: 49ae, Got: 0575
Checksum failed. Expected: 59e8, Got: 2f75
Checksum failed. Expected: 65ec, Got: 2775
Checksum failed. Expected: a9fb, Got: f275
Checksum failed. Expected: 0dd9, Got: 6c75
Checksum failed. Expected: 2d8c, Got: ff75
Checksum failed. Expected: fb3d, Got: e275
Checksum failed. Expected: 9d64, Got: 6775
Checksum failed. Expected: 0396, Got: 3375
Checksum failed. Expected: af94, Got: 8575
Checksum failed. Expected: d125, Got: f475
Checksum failed. Expected: b354, Got: 4175
Checksum failed. Expected: 3d43, Got: a675
Checksum failed. Expected: 6954, Got: 8b75
Checksum failed. Expected: 612b, Got: 6a75
Checksum failed. Expected: a1c2, Got: c175
Checksum failed. Expected: 1dce, Got: 5175
Checksum failed. Expected: 2b4c, Got: c175
Checksum failed. Expected: 491e, Got: 7575
Checksum failed. Expected: b9c3, Got: aa75
Checksum failed. Expected: 7b1f, Got: 4475
Checksum failed. Expected: af10, Got: 0175
Checksum failed. Expected: 0d35, Got: c875
Checksum failed. Expected: 1fbe, Got: 3f75
Checksum failed. Expected: d782, Got: 4b75
Checksum failed. Expected: 7d88, Got: ab75
Checksum failed. Expected: e15b, Got: 1a75
Checksum failed. Expected: f36c, Got: 1975
Checksum failed. Expected: ed70, Got: 2375
Checksum failed. Expected: 5105, Got: 5475
Checksum failed. Expected: ef6f, Got: 2075
Checksum failed. Expected: afd6, Got: c775
Checksum failed. Expected: a7f2, Got: eb75
Checksum failed. Expected: 65f0, Got: 2b75
Checksum failed. Expected: 47fd, Got: 5675
Checksum failed. Expected: 7dd1, Got: f475
Checksum failed. Expected: d9b1, Got: 7875
Checksum failed. Expected: 51da, Got: 2975
Checksum failed. Expected: 998e, Got: 9575
Checksum failed. Expected: 7d2f, Got: 5275
Checksum failed. Expected: fdd1, Got: 7475
Checksum failed. Expected: 4918, Got: 6f75
Checksum failed. Expected: 1f6c, Got: ed75
Checksum failed. Expected: 8bfc, Got: 1175
Checksum failed. Expected: 19f7, Got: 7e75
Checksum failed. Expected: e7b9, Got: 7275
Checksum failed. Expected: 9798, Got: a175
Checksum failed. Expected: 77af, Got: d875
Checksum failed. Expected: 177e, Got: 0775
Checksum failed. Expected: 9752, Got: 5b75
Checksum failed. Expected: 5559, Got: a475
Checksum failed. Expected: 81db, Got: fa75
Checksum failed. Expected: 591e, Got: 6575
Checksum failed. Expected: 6353, Got: 9075
Checksum failed. Expected: d3c1, Got: 8e75
Checksum failed. Expected: d10d, Got: dc75
Checksum failed. Expected: f74e, Got: f775
Checksum failed. Expected: cf78, Got: 4975
Checksum failed. Expected: 6396, Got: d375
Checksum failed. Expected: e503, Got: be75
Checksum failed. Expected: d30e, Got: db75
Checksum failed. Expected: d50e, Got: d975
Checksum failed. Expected: 738f, Got: bc75
Checksum failed. Expected: d926, Got: ed75
Checksum failed. Expected: 259a, Got: 1575
Checksum failed. Expected: 05d2, Got: 6d75
Checksum failed. Expected: 6d52, Got: 8575
Checksum failed. Expected: 8b0f, Got: 2475
Checksum failed. Expected: 27b9, Got: 3275
Checksum failed. Expected: 4dc7, Got: 1a75
Checksum failed. Expected: 5da3, Got: e675
Checksum failed. Expected: 7fea, Got: 0b75
Checksum failed. Expected: c1a9, Got: 8875
Checksum failed. Expected: f5a2, Got: 4d75
Checksum failed. Expected: 57dc, Got: 2575
Checksum failed. Expected: fb81, Got: 2675
Checksum failed. Expected: 1131, Got: c075
Checksum failed. Expected: 0925, Got: bc75
Checksum failed. Expected: 737d, Got: aa75
Checksum failed. Expected: 1d75, Got: f875
Checksum failed. Expected: 256c, Got: e775
Checksum failed. Expected: 216e, Got: ed75
Checksum failed. Expected: 3f29, Got: 8a75
