
#################################################################
Log started at 2025-06-13_14-54-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 4777, Got: d075
Checksum failed. Expected: 1119, Got: a875
Checksum failed. Expected: 2144, Got: c375
Checksum failed. Expected: 19a9, Got: 3075
Checksum failed. Expected: 61ab, Got: ea75
Checksum failed. Expected: 23ea, Got: 6775
Checksum failed. Expected: 5729, Got: 7275
Checksum failed. Expected: 03c3, Got: 6075
Checksum failed. Expected: 8fc7, Got: d875
Checksum failed. Expected: 61fb, Got: 3a75
Checksum failed. Expected: f312, Got: bf75
Checksum failed. Expected: 3704, Got: 6d75
Checksum failed. Expected: fbc3, Got: 6875
Checksum failed. Expected: 9f4d, Got: 4e75
Checksum failed. Expected: ef61, Got: 1275
Checksum failed. Expected: 0d7a, Got: 0d75
Checksum failed. Expected: 8bd7, Got: ec75
Checksum failed. Expected: e984, Got: 3b75
Checksum failed. Expected: fdca, Got: 6d75
Checksum failed. Expected: 77fc, Got: 2575
Checksum failed. Expected: a561, Got: 5c75
Checksum failed. Expected: 3125, Got: 9475
Checksum failed. Expected: 517d, Got: cc75
Checksum failed. Expected: 9fb4, Got: b575
Checksum failed. Expected: a11d, Got: 1c75
Checksum failed. Expected: c971, Got: 4875
Checksum failed. Expected: 356b, Got: d675
Checksum failed. Expected: 797f, Got: a675
Checksum failed. Expected: 9397, Got: a475
Checksum failed. Expected: 834c, Got: 6975
Checksum failed. Expected: 43b9, Got: 1675
Checksum failed. Expected: 472a, Got: 8375
Checksum failed. Expected: af9d, Got: 8e75
Checksum failed. Expected: 25d3, Got: 4e75
Checksum failed. Expected: 3729, Got: 9275
Checksum failed. Expected: 739c, Got: c975
Checksum failed. Expected: 99e4, Got: eb75
Checksum failed. Expected: b196, Got: 8575
Checksum failed. Expected: 472d, Got: 8675
Checksum failed. Expected: d5b6, Got: 8175
Checksum failed. Expected: 93f1, Got: fe75
Checksum failed. Expected: 23d7, Got: 5475
Checksum failed. Expected: 1f13, Got: 9475
Checksum failed. Expected: e757, Got: 1075
Checksum failed. Expected: 4502, Got: 5d75
Checksum failed. Expected: 8d13, Got: 2675
Checksum failed. Expected: dfc9, Got: 8a75
Checksum failed. Expected: 01f0, Got: 8f75
Checksum failed. Expected: 09a3, Got: 3a75
Checksum failed. Expected: e716, Got: cf75
Checksum failed. Expected: 3388, Got: f575
Checksum failed. Expected: e938, Got: ef75
Checksum failed. Expected: df09, Got: ca75
Checksum failed. Expected: 2798, Got: 1175
Checksum failed. Expected: a582, Got: 7d75
Checksum failed. Expected: a97f, Got: 7675
Checksum failed. Expected: d93b, Got: 0275
Checksum failed. Expected: 0327, Got: c475
Checksum failed. Expected: 5d32, Got: 7575
Checksum failed. Expected: 7d9a, Got: bd75
Checksum failed. Expected: 691f, Got: 5675
Checksum failed. Expected: bdd0, Got: b375
Checksum failed. Expected: c946, Got: 1d75
Checksum failed. Expected: 37b4, Got: 1d75
Checksum failed. Expected: 73b7, Got: e475
Checksum failed. Expected: 958d, Got: 9875
Checksum failed. Expected: 27ae, Got: 2775
Checksum failed. Expected: 69dc, Got: 1375
Checksum failed. Expected: a5ca, Got: c575
Checksum failed. Expected: 5305, Got: 5275
Checksum failed. Expected: 05a1, Got: 3c75
Checksum failed. Expected: 13e4, Got: 7175
Checksum failed. Expected: 55dc, Got: 2775
Checksum failed. Expected: e374, Got: 3175
Checksum failed. Expected: 25ca, Got: 4575
Checksum failed. Expected: 251f, Got: 9a75
Checksum failed. Expected: 31aa, Got: 1975
Checksum failed. Expected: 9138, Got: 4775
Checksum failed. Expected: a92c, Got: 2375
Checksum failed. Expected: 2304, Got: 8175
Checksum failed. Expected: 7d4a, Got: 6d75
Checksum failed. Expected: afc4, Got: b575
Checksum failed. Expected: 91cc, Got: db75
Checksum failed. Expected: df1f, Got: e075
Checksum failed. Expected: fb8a, Got: 2f75
Checksum failed. Expected: 1521, Got: ac75
Checksum failed. Expected: d91c, Got: e375
Checksum failed. Expected: 0751, Got: ea75
Checksum failed. Expected: 2d5a, Got: cd75
Checksum failed. Expected: 9bba, Got: bf75
Checksum failed. Expected: 43f9, Got: 5675
Checksum failed. Expected: 29a4, Got: 1b75
Checksum failed. Expected: fff5, Got: 9675
Checksum failed. Expected: 635c, Got: 9975
Checksum failed. Expected: 73d5, Got: 0275
Checksum failed. Expected: ebff, Got: b475
Checksum failed. Expected: 5761, Got: aa75
Checksum failed. Expected: 93ca, Got: d775
Checksum failed. Expected: bb6a, Got: 4f75
Checksum failed. Expected: 2537, Got: b275
