
#################################################################
Log started at 2025-06-13_14-54-28 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 6927, Got: bd97
Checksum failed. Expected: 5def, Got: bd97
Checksum failed. Expected: 9939, Got: bd96
Checksum failed. Expected: 8bc7, Got: bd95
Checksum failed. Expected: fa59, Got: bd94
Checksum failed. Expected: 65f1, Got: bd93
Checksum failed. Expected: b995, Got: bd91
Checksum failed. Expected: a50f, Got: bd90
Checksum failed. Expected: bf27, Got: bd90
Checksum failed. Expected: b112, Got: bd90
Checksum failed. Expected: da99, Got: bd90
Checksum failed. Expected: 412b, Got: bd90
Checksum failed. Expected: 176d, Got: bd8d
Checksum failed. Expected: 126e, Got: bd8c
Checksum failed. Expected: df52, Got: bd8c
Checksum failed. Expected: 8425, Got: bd8c
Checksum failed. Expected: 5311, Got: bd8b
Checksum failed. Expected: 00f5, Got: bd8a
Checksum failed. Expected: 2463, Got: bd8a
Checksum failed. Expected: eb7b, Got: bd8a
Checksum failed. Expected: 9b2c, Got: bd89
Checksum failed. Expected: 29a9, Got: bd89
Checksum failed. Expected: eaa6, Got: bd88
Checksum failed. Expected: 4ba0, Got: bd89
Checksum failed. Expected: 3c1d, Got: bd89
Checksum failed. Expected: 95b5, Got: bd8a
Checksum failed. Expected: 6731, Got: bd8a
Checksum failed. Expected: f8a5, Got: bd8b
Checksum failed. Expected: 199e, Got: bd8d
Checksum failed. Expected: 5638, Got: bd8d
Checksum failed. Expected: ab31, Got: bd8d
Checksum failed. Expected: 527a, Got: bd8d
Checksum failed. Expected: f375, Got: bd8e
Checksum failed. Expected: 48a0, Got: bd8e
Checksum failed. Expected: c2f9, Got: bd8e
Checksum failed. Expected: 2095, Got: bd8f
Checksum failed. Expected: a31f, Got: bd8e
Checksum failed. Expected: c945, Got: bd8f
Checksum failed. Expected: 5d5b, Got: bd8f
Checksum failed. Expected: 0211, Got: bd91
Checksum failed. Expected: 48d7, Got: bd90
Checksum failed. Expected: 8d38, Got: bd8f
Checksum failed. Expected: 077b, Got: bd8f
Checksum failed. Expected: a907, Got: bd8f
Checksum failed. Expected: e235, Got: bd8d
Checksum failed. Expected: e5f0, Got: bd8c
Checksum failed. Expected: e19b, Got: bd8d
Checksum failed. Expected: 3f07, Got: bd8c
Checksum failed. Expected: b0c4, Got: bd8c
Checksum failed. Expected: d23c, Got: bd8c
Checksum failed. Expected: 0b1b, Got: bd8b
Checksum failed. Expected: f33f, Got: bd8b
Checksum failed. Expected: 6dd8, Got: bd8b
Checksum failed. Expected: 4bd0, Got: bd8b
Checksum failed. Expected: 4607, Got: bd8b
Checksum failed. Expected: 5bf9, Got: bd8b
Checksum failed. Expected: daa9, Got: bd8b
Checksum failed. Expected: 2185, Got: bd8c
Checksum failed. Expected: c390, Got: bd8c
Checksum failed. Expected: f11c, Got: bd8d
Checksum failed. Expected: a1d0, Got: bd8c
Checksum failed. Expected: ff4c, Got: bd8e
Checksum failed. Expected: 8829, Got: bd90
Checksum failed. Expected: 78ae, Got: bd8f
Checksum failed. Expected: a98b, Got: bd8f
Checksum failed. Expected: 1ce7, Got: bd8f
Checksum failed. Expected: b2e0, Got: bd91
Checksum failed. Expected: b188, Got: bd92
Checksum failed. Expected: d8ac, Got: bd92
Checksum failed. Expected: 251e, Got: bd93
Checksum failed. Expected: d378, Got: bd94
Checksum failed. Expected: ba8a, Got: bd96
Checksum failed. Expected: 1961, Got: bd97
Checksum failed. Expected: 30f3, Got: bd97
Checksum failed. Expected: c130, Got: bd98
Checksum failed. Expected: 2156, Got: bd98
Checksum failed. Expected: cab9, Got: bd98
Checksum failed. Expected: e04b, Got: bd99
Checksum failed. Expected: 36c3, Got: bd9a
Checksum failed. Expected: 257b, Got: bd99
Checksum failed. Expected: 5687, Got: bd99
Checksum failed. Expected: 15db, Got: bd99
Checksum failed. Expected: c603, Got: bd99
Checksum failed. Expected: 1cee, Got: bd99
Checksum failed. Expected: 3e4b, Got: bd99
Checksum failed. Expected: b1e9, Got: bd99
Checksum failed. Expected: e9b2, Got: bd98
Checksum failed. Expected: ce1a, Got: bd97
Checksum failed. Expected: b46d, Got: bd95
Checksum failed. Expected: bb4f, Got: bd95
Checksum failed. Expected: 00a8, Got: bd96
Checksum failed. Expected: 5b87, Got: bd96
Checksum failed. Expected: 8de2, Got: bd95
Checksum failed. Expected: ff16, Got: bd94
Checksum failed. Expected: 89c5, Got: bd94
Checksum failed. Expected: 54b3, Got: bd94
Checksum failed. Expected: 2c00, Got: bd94
Checksum failed. Expected: e7fe, Got: bd94
Checksum failed. Expected: 6485, Got: bd93
Checksum failed. Expected: cbc6, Got: bd92
Checksum failed. Expected: 3402, Got: bd92
Checksum failed. Expected: 90c9, Got: bd92
Checksum failed. Expected: 6516, Got: bd92
Checksum failed. Expected: 3d7f, Got: bd91
Checksum failed. Expected: 093b, Got: bd90
Checksum failed. Expected: abcf, Got: bd8f
Checksum failed. Expected: 2e9f, Got: bd90
Checksum failed. Expected: 2842, Got: bd91
Checksum failed. Expected: 805a, Got: bd90
Checksum failed. Expected: e653, Got: bd8f
Checksum failed. Expected: bbe6, Got: bd8f
Checksum failed. Expected: 91ee, Got: bd8f
Checksum failed. Expected: 8a33, Got: bd8f
Checksum failed. Expected: 5b29, Got: bd8f
Checksum failed. Expected: 9bc7, Got: bd8f
Checksum failed. Expected: a0c2, Got: bd8f
Checksum failed. Expected: e89a, Got: bd8e
Checksum failed. Expected: b3db, Got: bd8e
Checksum failed. Expected: 840c, Got: bd8d
Checksum failed. Expected: f6ff, Got: bd8d
Checksum failed. Expected: 2d36, Got: bd8c
Checksum failed. Expected: f059, Got: bd8c
Checksum failed. Expected: 3543, Got: bd8c
Checksum failed. Expected: d116, Got: bd8b
Checksum failed. Expected: 8bb8, Got: bd8b
Checksum failed. Expected: 4d51, Got: bd8b
Checksum failed. Expected: e7de, Got: bd8a
Checksum failed. Expected: f29e, Got: bd89
Checksum failed. Expected: 8ade, Got: bd89
Checksum failed. Expected: 69a5, Got: bd88
Checksum failed. Expected: 02c6, Got: bd88
Checksum failed. Expected: e2cb, Got: bd88
Checksum failed. Expected: 7db3, Got: bd89
Checksum failed. Expected: d57b, Got: bd8a
Checksum failed. Expected: b5ad, Got: bd88
Checksum failed. Expected: 1aef, Got: bd88
Checksum failed. Expected: 5820, Got: bd87
Checksum failed. Expected: 8623, Got: bd88
Checksum failed. Expected: 2ac1, Got: bd88
Checksum failed. Expected: 7f9d, Got: bd88
Checksum failed. Expected: 1096, Got: bd89
Checksum failed. Expected: 2cce, Got: bd8b
Checksum failed. Expected: 97c2, Got: bd8b
Checksum failed. Expected: 867b, Got: bd8c
Checksum failed. Expected: 4277, Got: bd8d
Checksum failed. Expected: 6994, Got: bd8e
Checksum failed. Expected: 96b5, Got: bd8e
Checksum failed. Expected: 9396, Got: bd8e
Checksum failed. Expected: 8b17, Got: bd8e
Checksum failed. Expected: 023e, Got: bd8f
Checksum failed. Expected: 1814, Got: bd90
Checksum failed. Expected: ec8b, Got: bd91
Checksum failed. Expected: fc55, Got: bd92
Checksum failed. Expected: 5abe, Got: bd94
Checksum failed. Expected: c861, Got: bd95
Checksum failed. Expected: 88f0, Got: bd95
Checksum failed. Expected: 439c, Got: bd95
Checksum failed. Expected: d113, Got: bd96
Checksum failed. Expected: 1784, Got: bd98
Checksum failed. Expected: 9bca, Got: bd98
Checksum failed. Expected: 7667, Got: bd99
Checksum failed. Expected: 9c87, Got: bd99
Checksum failed. Expected: f740, Got: bd99
Checksum failed. Expected: 8904, Got: bd99
Checksum failed. Expected: 045c, Got: bd9a
Checksum failed. Expected: 02c4, Got: bd99
