
#################################################################
Log started at 2025-06-13_14-54-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 89a1, Got: addf
Checksum failed. Expected: 8ace, Got: 1ad3
Checksum failed. Expected: adae, Got: 71b3
Checksum failed. Expected: f229, Got: eaea
Checksum failed. Expected: 645b, Got: 6f55
Checksum failed. Expected: e993, Got: 014a
Checksum failed. Expected: 43a6, Got: 4fcd
Checksum failed. Expected: 89d8, Got: a587
Checksum failed. Expected: 5501, Got: e7d7
Checksum failed. Expected: c250, Got: 057f
Checksum failed. Expected: 45e3, Got: 2506
Checksum failed. Expected: 569c, Got: 4e0b
Checksum failed. Expected: 5ca6, Got: 86d9
Checksum failed. Expected: e382, Got: bd77
Checksum failed. Expected: 41e4, Got: e614
Checksum failed. Expected: 7e38, Got: 0fcc
Checksum failed. Expected: 790e, Got: 3537
Checksum failed. Expected: 3a20, Got: 3b50
Checksum failed. Expected: a4d3, Got: 45d8
Checksum failed. Expected: b2b8, Got: 5909
Checksum failed. Expected: a19d, Got: 549d
Checksum failed. Expected: dca0, Got: 4483
Checksum failed. Expected: d614, Got: 2ce3
Checksum failed. Expected: 0809, Got: 05a4
Checksum failed. Expected: 372d, Got: f198
Checksum failed. Expected: 0bd9, Got: d91e
Checksum failed. Expected: cc4c, Got: 9998
Checksum failed. Expected: 9419, Got: 5820
Checksum failed. Expected: 9e7e, Got: 0ea6
Checksum failed. Expected: 5f4c, Got: bd18
Checksum failed. Expected: 75d5, Got: 621f
Checksum failed. Expected: 6105, Got: 189d
Checksum failed. Expected: 91c7, Got: dd06
Checksum failed. Expected: 6f5a, Got: 70bc
Checksum failed. Expected: 5418, Got: f25d
Checksum failed. Expected: 707a, Got: 69cb
Checksum failed. Expected: 0569, Got: 060a
Checksum failed. Expected: 44a0, Got: ae4d
Checksum failed. Expected: 6405, Got: 7ad4
Checksum failed. Expected: 3a89, Got: 531b
Checksum failed. Expected: 24f8, Got: 15fa
Checksum failed. Expected: dc4e, Got: f1f3
Checksum failed. Expected: 45b7, Got: b2b8
Checksum failed. Expected: e76e, Got: 9451
Checksum failed. Expected: bf11, Got: a546
Checksum failed. Expected: 6617, Got: c7eb
Checksum failed. Expected: ddf1, Got: f4fc
Checksum failed. Expected: e5ef, Got: 1535
Checksum failed. Expected: b715, Got: 1a22
Checksum failed. Expected: ff25, Got: 3c9c
Checksum failed. Expected: 9b5f, Got: 6349
Checksum failed. Expected: c76c, Got: 941c
Checksum failed. Expected: 5e65, Got: ca94
Checksum failed. Expected: 9fd0, Got: ed27
Checksum failed. Expected: b7ed, Got: 170a
Checksum failed. Expected: 9aba, Got: 3966
Checksum failed. Expected: d98b, Got: 47bd
Checksum failed. Expected: 7d1d, Got: 3f2a
Checksum failed. Expected: 0fc5, Got: 3d4b
Checksum failed. Expected: 7e46, Got: 6114
Checksum failed. Expected: 04dd, Got: 7f1c
Checksum failed. Expected: 3d16, Got: 98b3
Checksum failed. Expected: 55ff, Got: 777e
Checksum failed. Expected: 6f94, Got: 6382
Checksum failed. Expected: 34c7, Got: 7d23
Checksum failed. Expected: 38e6, Got: 8f60
Checksum failed. Expected: 0d5f, Got: 8783
Checksum failed. Expected: 4dc0, Got: 5b08
Checksum failed. Expected: e545, Got: 566c
Checksum failed. Expected: 651f, Got: 4640
Checksum failed. Expected: e7e1, Got: 3635
Checksum failed. Expected: de1a, Got: 5088
Checksum failed. Expected: 1ccc, Got: 53b4
Checksum failed. Expected: 0c2f, Got: 72a2
Checksum failed. Expected: 4b26, Got: 6ab9
Checksum failed. Expected: 58fb, Got: 7807
Checksum failed. Expected: cfd5, Got: 7e63
Checksum failed. Expected: 6592, Got: 6d9d
Checksum failed. Expected: 6553, Got: 81b8
Checksum failed. Expected: 32de, Got: ba0c
Checksum failed. Expected: 75c8, Got: b242
Checksum failed. Expected: fecf, Got: a420
Checksum failed. Expected: 9333, Got: 8e6f
Checksum failed. Expected: 9316, Got: 9b4f
Checksum failed. Expected: 3b43, Got: b359
Checksum failed. Expected: 4039, Got: 919b
Checksum failed. Expected: d4c0, Got: 7d57
Checksum failed. Expected: 9613, Got: a2b4
Checksum failed. Expected: 7a40, Got: d5e9
Checksum failed. Expected: 121f, Got: 038b
Checksum failed. Expected: 984e, Got: 2fc1
Checksum failed. Expected: f480, Got: 52b3
Checksum failed. Expected: f0e2, Got: 7fc1
Checksum failed. Expected: b71d, Got: cd3a
Checksum failed. Expected: 2207, Got: 09b6
Checksum failed. Expected: ee5f, Got: 2c03
Checksum failed. Expected: 4e04, Got: 3137
Checksum failed. Expected: 2db8, Got: 39f9
Checksum failed. Expected: c877, Got: 4833
Checksum failed. Expected: 66ce, Got: 6b90
Checksum failed. Expected: 8516, Got: 9285
Checksum failed. Expected: f5ed, Got: 9d6a
Checksum failed. Expected: 411c, Got: b528
Checksum failed. Expected: dc0c, Got: ee7f
Checksum failed. Expected: 168f, Got: 1ab0
Checksum failed. Expected: 1275, Got: 2cf8
Checksum failed. Expected: 8aec, Got: 38fb
Checksum failed. Expected: c1a1, Got: 2cb1
Checksum failed. Expected: 24a4, Got: 191d
Checksum failed. Expected: 7c82, Got: 177c
Checksum failed. Expected: 1933, Got: 21c3
Checksum failed. Expected: 8da2, Got: 19a7
Checksum failed. Expected: 2d73, Got: 1337
Checksum failed. Expected: bb5e, Got: 0282
Checksum failed. Expected: b803, Got: f26a
Checksum failed. Expected: def1, Got: d7c8
Checksum failed. Expected: 0da5, Got: bc11
Checksum failed. Expected: 8f01, Got: aab8
Checksum failed. Expected: 6540, Got: 8fd6
Checksum failed. Expected: 8463, Got: 7bca
Checksum failed. Expected: 7cb6, Got: 4e09
Checksum failed. Expected: 4975, Got: 27a1
Checksum failed. Expected: c13b, Got: 10cf
Checksum failed. Expected: df17, Got: dd16
Checksum failed. Expected: 1208, Got: a81d
Checksum failed. Expected: 9534, Got: 67e0
Checksum failed. Expected: ce0f, Got: 0fa0
Checksum failed. Expected: 3e6c, Got: e4fe
