
#################################################################
Log started at 2025-06-13_14-56-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: a76a, Got: 6375
Checksum failed. Expected: c3c7, Got: a475
Checksum failed. Expected: 9917, Got: 1e75
Checksum failed. Expected: 7b2b, Got: 5075
Checksum failed. Expected: b33f, Got: 2c75
Checksum failed. Expected: 37fb, Got: 6475
Checksum failed. Expected: f7d9, Got: 8275
Checksum failed. Expected: d315, Got: e275
Checksum failed. Expected: 41e1, Got: 4075
Checksum failed. Expected: 2f01, Got: 7275
Checksum failed. Expected: b713, Got: fc75
Checksum failed. Expected: 2b69, Got: de75
Checksum failed. Expected: 1949, Got: d075
Checksum failed. Expected: e92c, Got: e375
Checksum failed. Expected: 5f71, Got: b275
Checksum failed. Expected: b59e, Got: 8975
Checksum failed. Expected: 9f5e, Got: 5f75
Checksum failed. Expected: 1f47, Got: c875
Checksum failed. Expected: d75e, Got: 2775
Checksum failed. Expected: 299a, Got: 1175
Checksum failed. Expected: 91d7, Got: e675
Checksum failed. Expected: 35ff, Got: 6a75
Checksum failed. Expected: bf0d, Got: ee75
Checksum failed. Expected: b3dc, Got: c975
Checksum failed. Expected: 01c7, Got: 6675
Checksum failed. Expected: 99bc, Got: c375
Checksum failed. Expected: 5907, Got: 4e75
Checksum failed. Expected: 27e3, Got: 5c75
Checksum failed. Expected: b95f, Got: 4675
Checksum failed. Expected: 9d6e, Got: 7175
Checksum failed. Expected: fdd4, Got: 7775
Checksum failed. Expected: cba7, Got: 7c75
Checksum failed. Expected: 6f5f, Got: 9075
Checksum failed. Expected: 47b5, Got: 0e75
Checksum failed. Expected: 554c, Got: 9775
Checksum failed. Expected: 6142, Got: 8175
Checksum failed. Expected: 37cd, Got: 3675
Checksum failed. Expected: a30e, Got: 0b75
Checksum failed. Expected: 778e, Got: b775
Checksum failed. Expected: ab28, Got: 1d75
Checksum failed. Expected: cd24, Got: f775
Checksum failed. Expected: 2334, Got: b175
Checksum failed. Expected: f919, Got: c075
Checksum failed. Expected: 7142, Got: 7175
Checksum failed. Expected: 33d4, Got: 4175
Checksum failed. Expected: 8fb3, Got: c475
Checksum failed. Expected: 3bc7, Got: 2c75
Checksum failed. Expected: ff72, Got: 1375
Checksum failed. Expected: 9b4b, Got: 5075
Checksum failed. Expected: 8fa5, Got: b675
Checksum failed. Expected: bfca, Got: ab75
Checksum failed. Expected: 5b56, Got: 9b75
Checksum failed. Expected: abcf, Got: c475
Checksum failed. Expected: a9d3, Got: ca75
Checksum failed. Expected: 91e2, Got: f175
Checksum failed. Expected: 0fcd, Got: 5e75
Checksum failed. Expected: 2b06, Got: 7b75
Checksum failed. Expected: b52f, Got: 1a75
Checksum failed. Expected: a110, Got: 0f75
Checksum failed. Expected: 8b00, Got: 1575
Checksum failed. Expected: a722, Got: 1b75
Checksum failed. Expected: c184, Got: 6375
Checksum failed. Expected: 3321, Got: 8e75
Checksum failed. Expected: 4110, Got: 6f75
Checksum failed. Expected: 438f, Got: ec75
Checksum failed. Expected: ed87, Got: 3a75
Checksum failed. Expected: db9a, Got: 5f75
Checksum failed. Expected: 799f, Got: c675
Checksum failed. Expected: 1b5e, Got: e375
Checksum failed. Expected: fdf6, Got: 9975
Checksum failed. Expected: 0968, Got: ff75
Checksum failed. Expected: 250a, Got: 8575
Checksum failed. Expected: dfca, Got: 8b75
Checksum failed. Expected: a1c3, Got: c275
Checksum failed. Expected: 0501, Got: 9c75
Checksum failed. Expected: 2b55, Got: ca75
Checksum failed. Expected: 0d37, Got: ca75
Checksum failed. Expected: a32e, Got: 2b75
Checksum failed. Expected: 6f35, Got: 6675
Checksum failed. Expected: 2346, Got: c375
Checksum failed. Expected: 6361, Got: 9e75
Checksum failed. Expected: d554, Got: 1f75
Checksum failed. Expected: e953, Got: 0a75
Checksum failed. Expected: 1bf1, Got: 7675
Checksum failed. Expected: 912c, Got: 3b75
Checksum failed. Expected: 2b8f, Got: 0475
Checksum failed. Expected: f138, Got: e775
Checksum failed. Expected: 8b2a, Got: 3f75
Checksum failed. Expected: 9b04, Got: 0975
Checksum failed. Expected: 1330, Got: bd75
Checksum failed. Expected: 5ff8, Got: 3975
Checksum failed. Expected: fb94, Got: 3975
Checksum failed. Expected: 3b88, Got: ed75
Checksum failed. Expected: 3da4, Got: 0775
Checksum failed. Expected: df42, Got: 0375
Checksum failed. Expected: 9507, Got: 1275
Checksum failed. Expected: 4bcd, Got: 2275
Checksum failed. Expected: 0b48, Got: dd75
Checksum failed. Expected: 53b0, Got: fd75
Checksum failed. Expected: f74b, Got: f475
Checksum failed. Expected: 6102, Got: 4175
