
#################################################################
Log started at 2025-06-13_14-56-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 3b71, Got: d675
Checksum failed. Expected: 492b, Got: 8275
Checksum failed. Expected: 097f, Got: 1675
Checksum failed. Expected: 03c8, Got: 6575
Checksum failed. Expected: 1f8d, Got: 0e75
Checksum failed. Expected: 81e6, Got: 0575
Checksum failed. Expected: a51c, Got: 1775
Checksum failed. Expected: 7dae, Got: d175
Checksum failed. Expected: cb4c, Got: 2175
Checksum failed. Expected: dfe2, Got: a375
Checksum failed. Expected: ad93, Got: 8675
Checksum failed. Expected: 65f5, Got: 3075
Checksum failed. Expected: c7a0, Got: 7975
Checksum failed. Expected: 3109, Got: 7875
Checksum failed. Expected: 3d64, Got: c775
Checksum failed. Expected: 31be, Got: 2d75
Checksum failed. Expected: 5743, Got: 8c75
Checksum failed. Expected: 0b38, Got: cd75
Checksum failed. Expected: e5ff, Got: ba75
Checksum failed. Expected: 257a, Got: f575
Checksum failed. Expected: 978b, Got: 9475
Checksum failed. Expected: afd5, Got: c675
Checksum failed. Expected: 6107, Got: 4675
Checksum failed. Expected: 57d0, Got: 1975
Checksum failed. Expected: d989, Got: 5075
Checksum failed. Expected: 6fd1, Got: 0275
Checksum failed. Expected: 45a8, Got: 0375
Checksum failed. Expected: c5a8, Got: 8375
Checksum failed. Expected: e574, Got: 2f75
Checksum failed. Expected: 078e, Got: 2775
Checksum failed. Expected: 23ee, Got: 6b75
Checksum failed. Expected: ad3f, Got: 3275
Checksum failed. Expected: 7b0e, Got: 3375
Checksum failed. Expected: 71e0, Got: 0f75
Checksum failed. Expected: fba1, Got: 4675
Checksum failed. Expected: 1fff, Got: 8075
Checksum failed. Expected: b7ab, Got: 9475
Checksum failed. Expected: d168, Got: 3775
Checksum failed. Expected: 2d74, Got: e775
Checksum failed. Expected: 0985, Got: 1c75
Checksum failed. Expected: f9c9, Got: 7075
Checksum failed. Expected: dfab, Got: 6c75
Checksum failed. Expected: f194, Got: 4375
Checksum failed. Expected: 2935, Got: ac75
Checksum failed. Expected: 9154, Got: 6375
Checksum failed. Expected: 79c0, Got: e775
Checksum failed. Expected: f705, Got: ae75
Checksum failed. Expected: 51e4, Got: 3375
Checksum failed. Expected: ed73, Got: 2675
Checksum failed. Expected: df55, Got: 1675
Checksum failed. Expected: 1766, Got: ef75
Checksum failed. Expected: 69f5, Got: 2c75
