
#################################################################
Log started at 2025-06-13_14-56-41 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 37a7, Got: 92d3
Checksum failed. Expected: 70e5, Got: 9178
Checksum failed. Expected: ea2b, Got: 90da
Checksum failed. Expected: 72b3, Got: 90e5
Checksum failed. Expected: b4c6, Got: 926d
Checksum failed. Expected: 7821, Got: 9239
Checksum failed. Expected: d236, Got: 9150
Checksum failed. Expected: 123c, Got: 9149
Checksum failed. Expected: 704f, Got: 9255
Checksum failed. Expected: f8f1, Got: 924c
Checksum failed. Expected: f62f, Got: 90dd
Checksum failed. Expected: 655d, Got: 900a
Checksum failed. Expected: 052c, Got: 9038
Checksum failed. Expected: cf41, Got: 9012
Checksum failed. Expected: 57ab, Got: 9117
Checksum failed. Expected: 024f, Got: 91e7
Checksum failed. Expected: a8c1, Got: 91b6
Checksum failed. Expected: 9be4, Got: 923c
Checksum failed. Expected: c3e5, Got: 931e
Checksum failed. Expected: 4991, Got: 930b
Checksum failed. Expected: e59b, Got: 928f
Checksum failed. Expected: 02df, Got: 91df
Checksum failed. Expected: a98a, Got: 919a
Checksum failed. Expected: 181b, Got: 9111
Checksum failed. Expected: ff84, Got: 90d7
Checksum failed. Expected: 34b3, Got: 90fa
Checksum failed. Expected: fc44, Got: 9270
Checksum failed. Expected: cdf8, Got: 9375
Checksum failed. Expected: 324f, Got: 939c
Checksum failed. Expected: 7abd, Got: 92f9
Checksum failed. Expected: 9114, Got: 9259
Checksum failed. Expected: e016, Got: 9204
Checksum failed. Expected: 7c17, Got: 91c0
Checksum failed. Expected: 3028, Got: 91ae
Checksum failed. Expected: 09ed, Got: 9023
Checksum failed. Expected: 875f, Got: 8f61
Checksum failed. Expected: b7a9, Got: 900f
Checksum failed. Expected: b764, Got: 90b5
Checksum failed. Expected: be1b, Got: 8fa2
Checksum failed. Expected: 9c05, Got: 8f2e
Checksum failed. Expected: 7055, Got: 8efb
Checksum failed. Expected: d26f, Got: 8ea2
Checksum failed. Expected: ca5e, Got: 8fb4
Checksum failed. Expected: fa2e, Got: 90a1
Checksum failed. Expected: f67a, Got: 9076
Checksum failed. Expected: fc3a, Got: 8f8f
Checksum failed. Expected: 9a43, Got: 8e7c
Checksum failed. Expected: 187c, Got: 8eb5
Checksum failed. Expected: 7bb9, Got: 8ead
Checksum failed. Expected: d299, Got: 8ec0
Checksum failed. Expected: 1344, Got: 8f0d
Checksum failed. Expected: 65e2, Got: 8fb0
Checksum failed. Expected: 7e36, Got: 8fa9
Checksum failed. Expected: 6a89, Got: 8ecf
Checksum failed. Expected: c848, Got: 8f2d
Checksum failed. Expected: 47d4, Got: 8fee
Checksum failed. Expected: 2894, Got: 90c5
Checksum failed. Expected: 4703, Got: 9234
Checksum failed. Expected: daa1, Got: 911e
Checksum failed. Expected: 14de, Got: 9124
Checksum failed. Expected: 043c, Got: 90f5
Checksum failed. Expected: e919, Got: 9196
Checksum failed. Expected: 6f56, Got: 92e1
Checksum failed. Expected: 930f, Got: 937a
Checksum failed. Expected: 62d3, Got: 930c
Checksum failed. Expected: 2ce7, Got: 925f
Checksum failed. Expected: 7650, Got: 92f7
Checksum failed. Expected: c6e6, Got: 9489
Checksum failed. Expected: a3af, Got: 946f
Checksum failed. Expected: ffac, Got: 94cc
Checksum failed. Expected: 6acc, Got: 946a
Checksum failed. Expected: 0936, Got: 9454
Checksum failed. Expected: efc1, Got: 9497
Checksum failed. Expected: e162, Got: 94be
Checksum failed. Expected: 86cc, Got: 93bd
Checksum failed. Expected: 3382, Got: 92d3
Checksum failed. Expected: f044, Got: 91ef
Checksum failed. Expected: 4c44, Got: 9264
Checksum failed. Expected: 65de, Got: 93ed
