
#################################################################
Log started at 2025-06-13_14-56-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 0bb9, Got: 04bc
Checksum failed. Expected: a848, Got: 04bc
Checksum failed. Expected: ba7b, Got: 04bc
Checksum failed. Expected: b077, Got: 04bc
Checksum failed. Expected: 4015, Got: 04bc
Checksum failed. Expected: 3717, Got: 04bc
Checksum failed. Expected: 6f6a, Got: 04bc
Checksum failed. Expected: 1a4d, Got: 04bc
Checksum failed. Expected: 1d61, Got: 04bc
Checksum failed. Expected: 58f1, Got: 04bc
Checksum failed. Expected: e1fc, Got: 04bc
Checksum failed. Expected: 314b, Got: 04bc
Checksum failed. Expected: bb58, Got: 04bc
Checksum failed. Expected: 92c9, Got: 04bc
Checksum failed. Expected: f4af, Got: 04bc
Checksum failed. Expected: 2135, Got: 04bc
Checksum failed. Expected: 0d3b, Got: 04bc
Checksum failed. Expected: d334, Got: 04bc
Checksum failed. Expected: dee9, Got: 04bc
Checksum failed. Expected: c8e9, Got: 04bc
Checksum failed. Expected: 5772, Got: 04bc
Checksum failed. Expected: 022e, Got: 04bc
Checksum failed. Expected: 548a, Got: 04bc
Checksum failed. Expected: 71ba, Got: 04bc
Checksum failed. Expected: 0b2a, Got: 04bc
Checksum failed. Expected: 8a63, Got: 04bc
Checksum failed. Expected: 0cdb, Got: 04bc
Checksum failed. Expected: 906e, Got: 04bc
Checksum failed. Expected: 531b, Got: 04bc
Checksum failed. Expected: 81a8, Got: 04bc
Checksum failed. Expected: a354, Got: 04bc
Checksum failed. Expected: cb6a, Got: 04bc
Checksum failed. Expected: c381, Got: 04bc
Checksum failed. Expected: b1c2, Got: 04bc
Checksum failed. Expected: 8d9c, Got: 04bc
Checksum failed. Expected: eb13, Got: 04bc
Checksum failed. Expected: c27d, Got: 04bc
Checksum failed. Expected: 7ecb, Got: 04bc
Checksum failed. Expected: 623e, Got: 04bc
Checksum failed. Expected: eb36, Got: 04bc
Checksum failed. Expected: a770, Got: 04bc
Checksum failed. Expected: cd5c, Got: 04bc
Checksum failed. Expected: 5ded, Got: 04bc
Checksum failed. Expected: 2614, Got: 04bc
Checksum failed. Expected: 8269, Got: 04bc
Checksum failed. Expected: 9fac, Got: 04bc
Checksum failed. Expected: fd30, Got: 04bc
Checksum failed. Expected: d4a1, Got: 04bc
Checksum failed. Expected: 6dfc, Got: 04bc
Checksum failed. Expected: cc79, Got: 04bc
Checksum failed. Expected: e980, Got: 04bc
Checksum failed. Expected: 69dc, Got: 04bc
Checksum failed. Expected: 16ef, Got: 04bc
Checksum failed. Expected: 0104, Got: 04bc
Checksum failed. Expected: 7771, Got: 04bc
Checksum failed. Expected: f019, Got: 04bc
Checksum failed. Expected: d14f, Got: 04bc
Checksum failed. Expected: b168, Got: 04bc
Checksum failed. Expected: 01d4, Got: 04bc
Checksum failed. Expected: bae3, Got: 04bc
Checksum failed. Expected: bf0b, Got: 04bc
Checksum failed. Expected: 6564, Got: 04bc
Checksum failed. Expected: ef84, Got: 04bc
Checksum failed. Expected: b7a1, Got: 04bc
