
#################################################################
Log started at 2025-06-13_14-58-00 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: cfc3, Got: 7565
Checksum failed. Expected: 52c9, Got: 7565
Checksum failed. Expected: 7f23, Got: 7565
Checksum failed. Expected: d6d1, Got: 7565
Checksum failed. Expected: 5ee1, Got: 7565
Checksum failed. Expected: 8127, Got: 7565
Checksum failed. Expected: b38b, Got: 7565
Checksum failed. Expected: cec1, Got: 7565
Checksum failed. Expected: b58f, Got: 7565
Checksum failed. Expected: 43ab, Got: 7565
Checksum failed. Expected: f611, Got: 7565
Checksum failed. Expected: a977, Got: 7565
Checksum failed. Expected: a56f, Got: 7565
Checksum failed. Expected: 8e41, Got: 7565
Checksum failed. Expected: dbdb, Got: 7565
Checksum failed. Expected: 042d, Got: 7565
Checksum failed. Expected: 1f63, Got: 7565
Checksum failed. Expected: 852f, Got: 7565
Checksum failed. Expected: 1249, Got: 7565
Checksum failed. Expected: 8c3d, Got: 7565
Checksum failed. Expected: 2f83, Got: 7565
Checksum failed. Expected: 0127, Got: 7565
Checksum failed. Expected: f209, Got: 7565
Checksum failed. Expected: 3ea1, Got: 7565
Checksum failed. Expected: 256f, Got: 7565
Checksum failed. Expected: 42a9, Got: 7565
Checksum failed. Expected: b289, Got: 7565
Checksum failed. Expected: dee1, Got: 7565
Checksum failed. Expected: 9c5d, Got: 7565
Checksum failed. Expected: 6af9, Got: 7565
Checksum failed. Expected: 1d5f, Got: 7565
Checksum failed. Expected: 852f, Got: 7565
Checksum failed. Expected: fa19, Got: 7565
Checksum failed. Expected: a065, Got: 7565
Checksum failed. Expected: 3793, Got: 7565
Checksum failed. Expected: 6f03, Got: 7565
Checksum failed. Expected: ba99, Got: 7565
Checksum failed. Expected: c0a5, Got: 7565
Checksum failed. Expected: 65ef, Got: 7565
Checksum failed. Expected: 2f83, Got: 7565
Checksum failed. Expected: b895, Got: 7565
Checksum failed. Expected: 1f63, Got: 7565
Checksum failed. Expected: 7005, Got: 7565
Checksum failed. Expected: e3eb, Got: 7565
Checksum failed. Expected: 2c7d, Got: 7565
Checksum failed. Expected: 3895, Got: 7565
Checksum failed. Expected: 3793, Got: 7565
Checksum failed. Expected: d2c9, Got: 7565
