
#################################################################
Log started at 2025-06-13_15-59-00 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 52c9, Got: 7565
Checksum failed. Expected: 53cb, Got: 7565
Checksum failed. Expected: 5028, Got: 04f1
Checksum failed. Expected: eaa8, Got: 1f58
Checksum failed. Expected: ec80, Got: 1f58
Checksum failed. Expected: 972e, Got: 1f58
Checksum failed. Expected: 3664, Got: 1f58
Checksum failed. Expected: 23a6, Got: 1f58
Checksum failed. Expected: eb76, Got: 1f58
Checksum failed. Expected: 9c60, Got: 1f58
Checksum failed. Expected: 5ef4, Got: 1f58
Checksum failed. Expected: 7c20, Got: 1f58
Checksum failed. Expected: c2dc, Got: 1f58
Checksum failed. Expected: 8152, Got: 1f58
Checksum failed. Expected: 58b8, Got: 1f58
Checksum failed. Expected: f4d0, Got: 1f58
Checksum failed. Expected: 2c00, Got: 1f58
Checksum failed. Expected: aaec, Got: 1f58
Checksum failed. Expected: e962, Got: 1f58
Checksum failed. Expected: 6644, Got: 1f58
Checksum failed. Expected: 8dca, Got: 1f58
Checksum failed. Expected: 1306, Got: 1f58
Checksum failed. Expected: 40c8, Got: 1f58
Checksum failed. Expected: d27c, Got: 1f58
Checksum failed. Expected: 8898, Got: 1f58
Checksum failed. Expected: 323c, Got: 1f58
Checksum failed. Expected: 857a, Got: 1f58
Checksum failed. Expected: 878e, Got: 1f58
Checksum failed. Expected: 70a8, Got: 1f58
Checksum failed. Expected: 75da, Got: 1f58
Checksum failed. Expected: 3132, Got: 1f58
Checksum failed. Expected: 9a4c, Got: 1f58
Checksum failed. Expected: 11f2, Got: 1f58
Checksum failed. Expected: b028, Got: 1f58
Checksum failed. Expected: dbd6, Got: 1f58
Checksum failed. Expected: 8048, Got: 1f58
Checksum failed. Expected: 0bb6, Got: 1f58
Checksum failed. Expected: a9e2, Got: 1f58
Checksum failed. Expected: 8fde, Got: 1f58
Checksum failed. Expected: dce0, Got: 1f58
Checksum failed. Expected: a4b0, Got: 1f58
Checksum failed. Expected: fd2a, Got: 1f58
Checksum failed. Expected: f7ee, Got: 1f58
Checksum failed. Expected: a5ba, Got: 1f58
Checksum failed. Expected: 12fc, Got: 1f58
Checksum failed. Expected: ff3e, Got: 1f58
Checksum failed. Expected: 1410, Got: 1f58
Checksum failed. Expected: 41d2, Got: 1f58
Checksum failed. Expected: 8bb6, Got: 1f58
Checksum failed. Expected: 7d2a, Got: 1f58
Checksum failed. Expected: 8dca, Got: 1f58
Checksum failed. Expected: 6f9e, Got: 1f58
Checksum failed. Expected: 8152, Got: 1f58
Checksum failed. Expected: abf6, Got: 1f58
Checksum failed. Expected: 57ae, Got: 1f58
Checksum failed. Expected: 3450, Got: 1f58
Checksum failed. Expected: 4d4a, Got: 1f58
Checksum failed. Expected: ad0a, Got: 1f58
Checksum failed. Expected: a9e2, Got: 1f58
Checksum failed. Expected: 1b56, Got: 1f58
Checksum failed. Expected: 56a4, Got: 1f58
Checksum failed. Expected: 355a, Got: 1f58
Checksum failed. Expected: e962, Got: 1f58
Checksum failed. Expected: 470e, Got: 1f58
Checksum failed. Expected: 376e, Got: 1f58
Checksum failed. Expected: 8ed4, Got: 1f58
Checksum failed. Expected: beb4, Got: 1f58
Checksum failed. Expected: c604, Got: 1f58
Checksum failed. Expected: 1e74, Got: 1f58
Checksum failed. Expected: 6008, Got: 1f58
Checksum failed. Expected: 89a2, Got: 1f58
Checksum failed. Expected: 8bb6, Got: 1f58
Checksum failed. Expected: e858, Got: 1f58
Checksum failed. Expected: 2d0a, Got: 1f58
Checksum failed. Expected: 57ae, Got: 1f58
Checksum failed. Expected: e112, Got: 1f58
Checksum failed. Expected: 72bc, Got: 1f58
Checksum failed. Expected: c604, Got: 1f58
Checksum failed. Expected: 9a4c, Got: 1f58
Checksum failed. Expected: 2bf6, Got: 1f58
Checksum failed. Expected: fa0c, Got: 1f58
Checksum failed. Expected: 4922, Got: 1f58
Checksum failed. Expected: a4b0, Got: 1f58
Checksum failed. Expected: 2d0a, Got: 1f58
Checksum failed. Expected: 5ffe, Got: 1f58
Checksum failed. Expected: 8ed4, Got: 1f58
Checksum failed. Expected: 4d4a, Got: 1f58
Checksum failed. Expected: 8ed4, Got: 1f59
Checksum failed. Expected: b011, Got: 1f59
Checksum failed. Expected: a17b, Got: 1f59
Checksum failed. Expected: 9b3f, Got: 1f59
Checksum failed. Expected: 6b5f, Got: 1f59
Checksum failed. Expected: 2ad5, Got: 1f59
Checksum failed. Expected: f3af, Got: 1f59
Checksum failed. Expected: e62d, Got: 1f59
Checksum failed. Expected: dcc9, Got: 1f59
Checksum failed. Expected: aefd, Got: 1f59
Checksum failed. Expected: c2c5, Got: 1f59
Checksum failed. Expected: f091, Got: 1f59
Checksum failed. Expected: dedd, Got: 1f59
Checksum failed. Expected: 6737, Got: 1f59
Checksum failed. Expected: 8563, Got: 1f59
Checksum failed. Expected: a5a3, Got: 1f59
Checksum failed. Expected: 0ca9, Got: 1f59
Checksum failed. Expected: 2285, Got: 1f59
Checksum failed. Expected: e30f, Got: 1f59
Checksum failed. Expected: 6419, Got: 1f59
Checksum failed. Expected: 9b3f, Got: 1f59
Checksum failed. Expected: 1f67, Got: 1f59
Checksum failed. Expected: b011, Got: 1f59
Checksum failed. Expected: d797, Got: 1f59
Checksum failed. Expected: 960d, Got: 1f59
Checksum failed. Expected: 5051, Got: 1f59
Checksum failed. Expected: 9a35, Got: 1f59
Checksum failed. Expected: f9eb, Got: 1f59
Checksum failed. Expected: bd93, Got: 1f59
Checksum failed. Expected: e30f, Got: 1f59
Checksum failed. Expected: d051, Got: 1f59
Checksum failed. Expected: 8459, Got: 1f59
Checksum failed. Expected: e419, Got: 1f59
Checksum failed. Expected: 1f67, Got: 1f59
Checksum failed. Expected: 2ce9, Got: 1f59
Checksum failed. Expected: af07, Got: 1f59
Checksum failed. Expected: c801, Got: 1f59
Checksum failed. Expected: 3c89, Got: 1f59
Checksum failed. Expected: 6c69, Got: 1f59
Checksum failed. Expected: 25a3, Got: 1f59
Checksum failed. Expected: 25a3, Got: 1f59
Checksum failed. Expected: cd33, Got: 1f59
Checksum failed. Expected: a7b7, Got: 1f59
Checksum failed. Expected: 5051, Got: 1f59
Checksum failed. Expected: 5fe7, Got: 1f59
Checksum failed. Expected: 9503, Got: 1f59
Checksum failed. Expected: d68d, Got: 1f59
Checksum failed. Expected: 536f, Got: 1f59
Checksum failed. Expected: bb7f, Got: 1f59
Checksum failed. Expected: 26ad, Got: 1f59
Checksum failed. Expected: a7b7, Got: 1f59
Checksum failed. Expected: 813b, Got: 1f59
Checksum failed. Expected: 5797, Got: 1f59
Checksum failed. Expected: 0ca9, Got: 1f59
Checksum failed. Expected: 662d, Got: 1f59
Checksum failed. Expected: bfa7, Got: 1f59
Checksum failed. Expected: 4a15, Got: 1f59
Checksum failed. Expected: 92e5, Got: 1f59
Checksum failed. Expected: fe1d, Got: 1f59
Checksum failed. Expected: a17b, Got: 1f59
Checksum failed. Expected: 29cb, Got: 1f59
Checksum failed. Expected: 91db, Got: 1f59
Checksum failed. Expected: a285, Got: 1f59
Checksum failed. Expected: 9821, Got: 1f59
Checksum failed. Expected: ff27, Got: 1f59
Checksum failed. Expected: cc29, Got: 1f59
Checksum failed. Expected: cd33, Got: 1f59
Checksum failed. Expected: 61fb, Got: 1f59
Checksum failed. Expected: eb5f, Got: 1f59
Checksum failed. Expected: a6ad, Got: 1f59
Checksum failed. Expected: 9b3f, Got: 1f59
Checksum failed. Expected: 3861, Got: 1f59
Checksum failed. Expected: cf47, Got: 1f59
