
#################################################################
Log started at 2025-06-13_15-59-12 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: b16a, Got: 0ed3
Checksum failed. Expected: 0297, Got: 0ed3
Checksum failed. Expected: f131, Got: 0ed3
Checksum failed. Expected: bdf9, Got: 0ed3
Checksum failed. Expected: 0ac7, Got: 0ed3
Checksum failed. Expected: 38db, Got: 0ed3
Checksum failed. Expected: 86af, Got: 0ed3
Checksum failed. Expected: 5cb3, Got: 0ed3
Checksum failed. Expected: 4217, Got: 0ed3
Checksum failed. Expected: f02b, Got: 0ed3
Checksum failed. Expected: a569, Got: 0ed3
Checksum failed. Expected: c217, Got: 0ed3
Checksum failed. Expected: 1e3f, Got: 0ed3
Checksum failed. Expected: bcf3, Got: 0ed3
Checksum failed. Expected: 4529, Got: 0ed3
Checksum failed. Expected: 8297, Got: 0ed3
Checksum failed. Expected: 89c1, Got: 0ed3
Checksum failed. Expected: dbad, Got: 0ed3
Checksum failed. Expected: bbed, Got: 0ed3
Checksum failed. Expected: e6ef, Got: 0ed3
Checksum failed. Expected: bbed, Got: 0ed3
Checksum failed. Expected: fe7f, Got: 0ed3
Checksum failed. Expected: e901, Got: 0ed3
Checksum failed. Expected: 8fe5, Got: 0ed3
Checksum failed. Expected: b7d5, Got: 0ed3
Checksum failed. Expected: 2fa5, Got: 0ed3
Checksum failed. Expected: 2463, Got: 0ed3
Checksum failed. Expected: c217, Got: 0ed3
Checksum failed. Expected: d171, Got: 0ed3
Checksum failed. Expected: e8fb, Got: 0ed3
Checksum failed. Expected: 589b, Got: 0ed3
Checksum failed. Expected: 0191, Got: 0ed3
Checksum failed. Expected: b1b1, Got: 0ed3
Checksum failed. Expected: 1403, Got: 0ed3
Checksum failed. Expected: 7b6d, Got: 0ed3
Checksum failed. Expected: 06af, Got: 0ed3
Checksum failed. Expected: b8db, Got: 0ed3
Checksum failed. Expected: a257, Got: 0ed3
Checksum failed. Expected: f237, Got: 0ed3
Checksum failed. Expected: dbad, Got: 0ed3
Checksum failed. Expected: 1715, Got: 0ed3
Checksum failed. Expected: eb0d, Got: 0ed3
Checksum failed. Expected: 2463, Got: 0ed3
Checksum failed. Expected: 1e3f, Got: 0ed3
Checksum failed. Expected: ab8d, Got: 0ed3
Checksum failed. Expected: 266f, Got: 0ed3
Checksum failed. Expected: 2151, Got: 0ed3
Checksum failed. Expected: 2b8d, Got: 0ed3
Checksum failed. Expected: c735, Got: 0ed3
Checksum failed. Expected: 5483, Got: 0ed3
Checksum failed. Expected: afa5, Got: 0ed3
Checksum failed. Expected: f131, Got: 0ed3
Checksum failed. Expected: 7755, Got: 0ed3
Checksum failed. Expected: 2c93, Got: 0ed3
Checksum failed. Expected: 9a27, Got: 0ed3
Checksum failed. Expected: 13fd, Got: 0ed3
Checksum failed. Expected: 0bcd, Got: 0ed3
Checksum failed. Expected: 4c53, Got: 0ed3
Checksum failed. Expected: 9b2d, Got: 0ed3
Checksum failed. Expected: 235d, Got: 0ed3
Checksum failed. Expected: 1f45, Got: 0ed3
Checksum failed. Expected: cf65, Got: 0ed3
Checksum failed. Expected: 4529, Got: 0ed3
Checksum failed. Expected: debf, Got: 0ed3
Checksum failed. Expected: 4111, Got: 0ed3
Checksum failed. Expected: 8bcd, Got: 0ed3
Checksum failed. Expected: 2c93, Got: 0ed3
Checksum failed. Expected: 589b, Got: 0ed3
Checksum failed. Expected: 7f85, Got: 0ed3
Checksum failed. Expected: fc73, Got: 0ed3
Checksum failed. Expected: d589, Got: 0ed3
Checksum failed. Expected: a463, Got: 0ed3
Checksum failed. Expected: 3cf3, Got: 0ed3
Checksum failed. Expected: dbad, Got: 0ed3
Checksum failed. Expected: 4941, Got: 0ed3
Checksum failed. Expected: 33bd, Got: 0ed3
Checksum failed. Expected: 6c13, Got: 0ed3
Checksum failed. Expected: b8db, Got: 0ed3
Checksum failed. Expected: 4d59, Got: 0ed3
Checksum failed. Expected: 63dd, Got: 0ed3
Checksum failed. Expected: 35c9, Got: 0ed3
Checksum failed. Expected: afa5, Got: 0ed3
Checksum failed. Expected: 7f85, Got: 0ed3
Checksum failed. Expected: 5fc5, Got: 0ed3
Checksum failed. Expected: 5cb3, Got: 0ed3
Checksum failed. Expected: 733d, Got: 0ed3
Checksum failed. Expected: e2d7, Got: 0ed3
Checksum failed. Expected: c423, Got: 0ed3
Checksum failed. Expected: 32b7, Got: 0ed3
Checksum failed. Expected: 160f, Got: 0ed3
Checksum failed. Expected: fc73, Got: 0ed3
Checksum failed. Expected: 39e1, Got: 0ed3
Checksum failed. Expected: 93fd, Got: 0ed3
Checksum failed. Expected: 4941, Got: 0ed3
Checksum failed. Expected: e4e3, Got: 0ed3
Checksum failed. Expected: 3eff, Got: 0ed3
Checksum failed. Expected: ef25, Got: 0ed3
Checksum failed. Expected: 4529, Got: 0ed3
Checksum failed. Expected: a66f, Got: 0ed3
Checksum failed. Expected: ee1f, Got: 0ed3
Checksum failed. Expected: 9921, Got: 0ed3
Checksum failed. Expected: c423, Got: 0ed3
Checksum failed. Expected: 0edf, Got: 0ed3
Checksum failed. Expected: bdf9, Got: 0ed3
Checksum failed. Expected: 6c13, Got: 0ed3
Checksum failed. Expected: 5171, Got: 0ed3
Checksum failed. Expected: 483b, Got: 0ed3
Checksum failed. Expected: 7961, Got: 0ed3
Checksum failed. Expected: 462f, Got: 0ed3
Checksum failed. Expected: fd79, Got: 0ed3
Checksum failed. Expected: f549, Got: 0ed3
Checksum failed. Expected: c62f, Got: 0ed3
Checksum failed. Expected: 0dd9, Got: 0ed3
Checksum failed. Expected: 008b, Got: 0ed3
Checksum failed. Expected: 266f, Got: 0ed3
Checksum failed. Expected: 38db, Got: 0ed3
Checksum failed. Expected: 6f25, Got: 0ed3
Checksum failed. Expected: 5795, Got: 0ed3
Checksum failed. Expected: 7e7f, Got: 0ed3
Checksum failed. Expected: a151, Got: 0ed3
Checksum failed. Expected: 30ab, Got: 0ed3
Checksum failed. Expected: beff, Got: 0ed3
Checksum failed. Expected: b1b1, Got: 0ed3
Checksum failed. Expected: 9c33, Got: 0ed3
Checksum failed. Expected: 5483, Got: 0ed3
Checksum failed. Expected: 89c1, Got: 0ed3
Checksum failed. Expected: 462f, Got: 0ed3
Checksum failed. Expected: 86af, Got: 0ed3
Checksum failed. Expected: f02b, Got: 0ed3
Checksum failed. Expected: 039d, Got: 0ed3
Checksum failed. Expected: ee1f, Got: 0ed3
Checksum failed. Expected: 8dd9, Got: 0ed3
Checksum failed. Expected: 7549, Got: 0ed3
Checksum failed. Expected: 65e9, Got: 0ed3
Checksum failed. Expected: 2463, Got: 0ed3
Checksum failed. Expected: d589, Got: 0ed3
Checksum failed. Expected: b0ab, Got: 0ed3
Checksum failed. Expected: 733d, Got: 0ed3
Checksum failed. Expected: 568f, Got: 0ed3
Checksum failed. Expected: d37d, Got: 0ed3
Checksum failed. Expected: 4f65, Got: 0ed3
Checksum failed. Expected: e5e9, Got: 0ed3
Checksum failed. Expected: 86af, Got: 0ed3
Checksum failed. Expected: 2981, Got: 0ed3
Checksum failed. Expected: 30ab, Got: 0ed3
Checksum failed. Expected: e2d7, Got: 0ed3
Checksum failed. Expected: e8fb, Got: 0ed3
Checksum failed. Expected: 7961, Got: 0ed3
Checksum failed. Expected: f33d, Got: 0ed3
Checksum failed. Expected: 0cd3, Got: 0ed3
Checksum failed. Expected: 6901, Got: 0ed3
Checksum failed. Expected: 68fb, Got: 0ed3
Checksum failed. Expected: 5fc5, Got: 0ed3
Checksum failed. Expected: ae9f, Got: 0ed3
Checksum failed. Expected: 9921, Got: 0ed3
Checksum failed. Expected: 5277, Got: 0ed3
Checksum failed. Expected: b9e1, Got: 0ed3
Checksum failed. Expected: 30ab, Got: 0ed3
Checksum failed. Expected: 181b, Got: 0ed3
Checksum failed. Expected: bdf9, Got: 0ed3
Checksum failed. Expected: 5aa7, Got: 0ed3
Checksum failed. Expected: 7549, Got: 0ed3
Checksum failed. Expected: 4423, Got: 0ed3
Checksum failed. Expected: fb6d, Got: 0ed3
