
#################################################################
Log started at 2025-06-13_16-01-34 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 1a51, Got: 0942
Checksum failed. Expected: fdf1, Got: 0942
Checksum failed. Expected: 8cac, Got: 0942
Checksum failed. Expected: 0607, Got: 0942
Checksum failed. Expected: 7a15, Got: 0942
Checksum failed. Expected: 8381, Got: 0942
Checksum failed. Expected: 1363, Got: 0942
Checksum failed. Expected: 4755, Got: 0942
Checksum failed. Expected: fe6b, Got: 0942
Checksum failed. Expected: 08d9, Got: 0942
Checksum failed. Expected: b797, Got: 0942
Checksum failed. Expected: 4545, Got: 0942
Checksum failed. Expected: f851, Got: 0942
Checksum failed. Expected: 50a4, Got: 0942
Checksum failed. Expected: c272, Got: 0942
Checksum failed. Expected: 544b, Got: 0942
Checksum failed. Expected: f0d9, Got: 0942
Checksum failed. Expected: 42c7, Got: 0942
Checksum failed. Expected: 1c26, Got: 0942
Checksum failed. Expected: f461, Got: 0942
Checksum failed. Expected: bfed, Got: 0942
Checksum failed. Expected: 81e2, Got: 0942
Checksum failed. Expected: 04cb, Got: 0942
Checksum failed. Expected: 16b9, Got: 0942
Checksum failed. Expected: 19a8, Got: 0942
Checksum failed. Expected: ab83, Got: 0942
Checksum failed. Expected: 0601, Got: 0942
Checksum failed. Expected: 83ad, Got: 0942
Checksum failed. Expected: 3162, Got: 0942
Checksum failed. Expected: 4a9c, Got: 0942
Checksum failed. Expected: efa7, Got: 0942
Checksum failed. Expected: 67f5, Got: 0942
Checksum failed. Expected: 95a3, Got: 0942
Checksum failed. Expected: de01, Got: 0942
Checksum failed. Expected: 440b, Got: 0942
Checksum failed. Expected: e166, Got: 0942
Checksum failed. Expected: a025, Got: 0942
Checksum failed. Expected: 7cb3, Got: 0942
Checksum failed. Expected: 5951, Got: 0942
Checksum failed. Expected: 57ff, Got: 0942
Checksum failed. Expected: a8ce, Got: 0942
Checksum failed. Expected: 087c, Got: 0942
Checksum failed. Expected: bd93, Got: 0942
Checksum failed. Expected: 9b55, Got: 0942
Checksum failed. Expected: b3a3, Got: 0942
Checksum failed. Expected: 3be2, Got: 0942
Checksum failed. Expected: f31d, Got: 0942
Checksum failed. Expected: 50bb, Got: 0942
Checksum failed. Expected: 6a1c, Got: 0942
Checksum failed. Expected: 6483, Got: 0942
Checksum failed. Expected: b795, Got: 0942
Checksum failed. Expected: 3204, Got: 0942
Checksum failed. Expected: 24df, Got: 0942
Checksum failed. Expected: 1a0d, Got: 0942
Checksum failed. Expected: 5adb, Got: 0942
Checksum failed. Expected: 676c, Got: 0942
Checksum failed. Expected: b716, Got: 0942
Checksum failed. Expected: 67df, Got: 0942
Checksum failed. Expected: 1af1, Got: 0942
Checksum failed. Expected: d45f, Got: 0942
Checksum failed. Expected: 775d, Got: 0942
Checksum failed. Expected: 53eb, Got: 0942
Checksum failed. Expected: f06d, Got: 0942
Checksum failed. Expected: 6343, Got: 0942
Checksum failed. Expected: 542f, Got: 0942
Checksum failed. Expected: 7851, Got: 0942
Checksum failed. Expected: af8f, Got: 0942
Checksum failed. Expected: 48de, Got: 0942
Checksum failed. Expected: cab9, Got: 0942
Checksum failed. Expected: 1b8a, Got: 0942
Checksum failed. Expected: 7f83, Got: 0942
Checksum failed. Expected: e9ff, Got: 0942
Checksum failed. Expected: ab01, Got: 0942
Checksum failed. Expected: c340, Got: 0942
Checksum failed. Expected: 995b, Got: 0942
Checksum failed. Expected: a819, Got: 0942
Checksum failed. Expected: 9c0e, Got: 0942
Checksum failed. Expected: d211, Got: 0942
Checksum failed. Expected: 04f0, Got: 0942
Checksum failed. Expected: 3909, Got: 0942
Checksum failed. Expected: 47cb, Got: 0942
Checksum failed. Expected: a8a9, Got: 0942
Checksum failed. Expected: cdc7, Got: 0942
Checksum failed. Expected: 1f99, Got: 0942
Checksum failed. Expected: 815f, Got: 0942
Checksum failed. Expected: cf0d, Got: 0942
Checksum failed. Expected: 2dc9, Got: 0942
Checksum failed. Expected: b96b, Got: 0942
Checksum failed. Expected: 2c69, Got: 0942
Checksum failed. Expected: c178, Got: 0942
Checksum failed. Expected: 39a6, Got: 0942
Checksum failed. Expected: f1df, Got: 0942
Checksum failed. Expected: 709d, Got: 0942
Checksum failed. Expected: 96d9, Got: 0942
Checksum failed. Expected: 58cc, Got: 0942
Checksum failed. Expected: 2447, Got: 0942
Checksum failed. Expected: c525, Got: 0942
Checksum failed. Expected: f5e6, Got: 0942
Checksum failed. Expected: d9df, Got: 0942
Checksum failed. Expected: 734d, Got: 0942
Checksum failed. Expected: 196c, Got: 0942
Checksum failed. Expected: 95f5, Got: 0942
Checksum failed. Expected: 0197, Got: 0942
Checksum failed. Expected: dc15, Got: 0942
Checksum failed. Expected: 2676, Got: 0942
Checksum failed. Expected: 7fb0, Got: 0942
Checksum failed. Expected: 9a1b, Got: 0942
Checksum failed. Expected: f489, Got: 0942
Checksum failed. Expected: 18a5, Got: 0942
Checksum failed. Expected: 8dd7, Got: 0942
Checksum failed. Expected: 11e5, Got: 0942
Checksum failed. Expected: 2807, Got: 0942
Checksum failed. Expected: 779d, Got: 0942
Checksum failed. Expected: e43b, Got: 0942
Checksum failed. Expected: ec89, Got: 0942
Checksum failed. Expected: 03d5, Got: 0942
Checksum failed. Expected: 0298, Got: 0942
Checksum failed. Expected: 68b3, Got: 0942
Checksum failed. Expected: 7538, Got: 0942
Checksum failed. Expected: ad5b, Got: 0942
Checksum failed. Expected: be39, Got: 0942
Checksum failed. Expected: 6de8, Got: 0942
Checksum failed. Expected: b523, Got: 0942
Checksum failed. Expected: a82f, Got: 0942
Checksum failed. Expected: 3a31, Got: 0942
Checksum failed. Expected: 0f42, Got: 0942
Checksum failed. Expected: 3ccb, Got: 0942
Checksum failed. Expected: 184a, Got: 0942
Checksum failed. Expected: dc45, Got: 0942
Checksum failed. Expected: 9e33, Got: 0942
Checksum failed. Expected: 49bf, Got: 0942
Checksum failed. Expected: e781, Got: 0942
Checksum failed. Expected: 2b73, Got: 0942
Checksum failed. Expected: eb19, Got: 0942
Checksum failed. Expected: 4257, Got: 0942
Checksum failed. Expected: 1aa5, Got: 0942
Checksum failed. Expected: 1fc3, Got: 0942
Checksum failed. Expected: 9d7f, Got: 0942
Checksum failed. Expected: a082, Got: 0942
Checksum failed. Expected: fcf0, Got: 0942
Checksum failed. Expected: a209, Got: 0942
Checksum failed. Expected: e2d7, Got: 0942
Checksum failed. Expected: d6e5, Got: 0942
Checksum failed. Expected: 1e24, Got: 0942
Checksum failed. Expected: 676f, Got: 0942
Checksum failed. Expected: 8b8b, Got: 0942
Checksum failed. Expected: 2e90, Got: 0942
Checksum failed. Expected: 05b9, Got: 0942
Checksum failed. Expected: 7e17, Got: 0942
Checksum failed. Expected: b326, Got: 0942
Checksum failed. Expected: a0b1, Got: 0942
Checksum failed. Expected: be5f, Got: 0942
Checksum failed. Expected: e27b, Got: 0942
Checksum failed. Expected: 29c0, Got: 0942
Checksum failed. Expected: 7a7a, Got: 0942
Checksum failed. Expected: e2b5, Got: 0942
Checksum failed. Expected: 1b13, Got: 0942
Checksum failed. Expected: 3251, Got: 0942
Checksum failed. Expected: adcf, Got: 0942
Checksum failed. Expected: 2504, Got: 0942
Checksum failed. Expected: 2e36, Got: 0942
Checksum failed. Expected: 0465, Got: 0942
Checksum failed. Expected: 2543, Got: 0942
Checksum failed. Expected: 92e1, Got: 0942
Checksum failed. Expected: 3b3f, Got: 0942
Checksum failed. Expected: 559e, Got: 0942
Checksum failed. Expected: 3edc, Got: 0942
Checksum failed. Expected: 2c83, Got: 0942
Checksum failed. Expected: 23d5, Got: 0942
Checksum failed. Expected: 2e53, Got: 0942
Checksum failed. Expected: e362, Got: 0942
Checksum failed. Expected: ddbd, Got: 0942
Checksum failed. Expected: ab6b, Got: 0942
Checksum failed. Expected: 3a1c, Got: 0942
Checksum failed. Expected: 09d3, Got: 0942
Checksum failed. Expected: 88a5, Got: 0942
Checksum failed. Expected: e1f4, Got: 0942
Checksum failed. Expected: 470f, Got: 0942
Checksum failed. Expected: 48ed, Got: 0942
Checksum failed. Expected: de1b, Got: 0942
Checksum failed. Expected: 698c, Got: 0942
Checksum failed. Expected: 91b6, Got: 0942
Checksum failed. Expected: 58ef, Got: 0942
Checksum failed. Expected: 1e31, Got: 0942
