
#################################################################
Log started at 2025-06-13_16-01-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 22d7, Got: bd81
Checksum failed. Expected: 954b, Got: bd82
Checksum failed. Expected: fe67, Got: bd81
Checksum failed. Expected: 364b, Got: bd82
Checksum failed. Expected: 8d73, Got: bd83
Checksum failed. Expected: 3c69, Got: bd82
Checksum failed. Expected: e0c6, Got: bd80
Checksum failed. Expected: ee8c, Got: bd81
Checksum failed. Expected: 9802, Got: bd81
Checksum failed. Expected: 69fa, Got: bd7f
Checksum failed. Expected: 7c37, Got: bd7d
Checksum failed. Expected: 1868, Got: bd7e
Checksum failed. Expected: 9b35, Got: bd80
Checksum failed. Expected: b5f9, Got: bd81
Checksum failed. Expected: 5214, Got: bd7f
Checksum failed. Expected: e396, Got: bd7f
Checksum failed. Expected: 5d46, Got: bd81
Checksum failed. Expected: 0c66, Got: bd80
Checksum failed. Expected: 4ae2, Got: bd7e
Checksum failed. Expected: 0775, Got: bd7e
Checksum failed. Expected: 02d8, Got: bd82
Checksum failed. Expected: f15e, Got: bd82
Checksum failed. Expected: a2b6, Got: bd80
Checksum failed. Expected: efea, Got: bd7f
Checksum failed. Expected: 9e23, Got: bd7d
Checksum failed. Expected: 65cd, Got: bd7e
Checksum failed. Expected: ae3f, Got: bd7f
Checksum failed. Expected: ceb3, Got: bd7f
Checksum failed. Expected: 33c2, Got: bd81
Checksum failed. Expected: 087a, Got: bd81
Checksum failed. Expected: 739d, Got: bd80
Checksum failed. Expected: 5a22, Got: bd81
Checksum failed. Expected: 0c45, Got: bd81
Checksum failed. Expected: 8b92, Got: bd80
Checksum failed. Expected: 9fc4, Got: bd80
Checksum failed. Expected: 1c33, Got: bd80
Checksum failed. Expected: 593d, Got: bd7f
Checksum failed. Expected: 35bd, Got: bd7e
Checksum failed. Expected: d0f1, Got: bd7c
Checksum failed. Expected: 1e9e, Got: bd7c
Checksum failed. Expected: 9fcf, Got: bd7d
Checksum failed. Expected: 3bbd, Got: bd80
Checksum failed. Expected: 9fda, Got: bd7f
Checksum failed. Expected: fab6, Got: bd7e
Checksum failed. Expected: 2e65, Got: bd7d
Checksum failed. Expected: 1933, Got: bd7b
Checksum failed. Expected: 02d9, Got: bd7f
Checksum failed. Expected: 6244, Got: bd7e
Checksum failed. Expected: 5a7c, Got: bd7b
