
#################################################################
Log started at 2025-06-13_16-01-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 464b, Got: 0942
Checksum failed. Expected: 96fa, Got: 0942
Checksum failed. Expected: 0055, Got: 0942
Checksum failed. Expected: 6ce3, Got: 0942
Checksum failed. Expected: 687f, Got: 0942
Checksum failed. Expected: 5201, Got: 0942
Checksum failed. Expected: 3b43, Got: 0942
Checksum failed. Expected: 5369, Got: 0942
Checksum failed. Expected: 2aa7, Got: 0942
Checksum failed. Expected: 1855, Got: 0942
Checksum failed. Expected: 11b3, Got: 0942
Checksum failed. Expected: 990f, Got: 0942
Checksum failed. Expected: c9e2, Got: 0942
Checksum failed. Expected: 2ff0, Got: 0942
Checksum failed. Expected: 4e99, Got: 0942
Checksum failed. Expected: 9087, Got: 0942
Checksum failed. Expected: 17c5, Got: 0942
Checksum failed. Expected: e124, Got: 0942
Checksum failed. Expected: a51f, Got: 0942
Checksum failed. Expected: 5f9b, Got: 0942
Checksum failed. Expected: f6e0, Got: 0942
Checksum failed. Expected: 18b9, Got: 0942
Checksum failed. Expected: 1aa7, Got: 0942
Checksum failed. Expected: f406, Got: 0942
Checksum failed. Expected: 34c1, Got: 0942
Checksum failed. Expected: 059f, Got: 0942
Checksum failed. Expected: 1e0b, Got: 0942
Checksum failed. Expected: 8770, Got: 0942
Checksum failed. Expected: 593a, Got: 0942
Checksum failed. Expected: db15, Got: 0942
Checksum failed. Expected: 6ad3, Got: 0942
Checksum failed. Expected: eee1, Got: 0942
Checksum failed. Expected: 4d9f, Got: 0942
Checksum failed. Expected: 53a9, Got: 0942
Checksum failed. Expected: abb4, Got: 0942
Checksum failed. Expected: b743, Got: 0942
Checksum failed. Expected: d931, Got: 0942
Checksum failed. Expected: b4af, Got: 0942
Checksum failed. Expected: f25d, Got: 0942
Checksum failed. Expected: 065c, Got: 0942
Checksum failed. Expected: 30aa, Got: 0942
Checksum failed. Expected: 98f1, Got: 0942
Checksum failed. Expected: 3af3, Got: 0942
Checksum failed. Expected: 1ac1, Got: 0942
Checksum failed. Expected: c860, Got: 0942
Checksum failed. Expected: 71ab, Got: 0942
Checksum failed. Expected: f179, Got: 0942
Checksum failed. Expected: 068a, Got: 0942
Checksum failed. Expected: 2431, Got: 0942
Checksum failed. Expected: 1eb3, Got: 0942
Checksum failed. Expected: 5092, Got: 0942
Checksum failed. Expected: 648d, Got: 0942
Checksum failed. Expected: 367b, Got: 0942
Checksum failed. Expected: 5979, Got: 0942
Checksum failed. Expected: dc6a, Got: 0942
Checksum failed. Expected: f8d4, Got: 0942
Checksum failed. Expected: ebcd, Got: 0942
Checksum failed. Expected: 598f, Got: 0942
Checksum failed. Expected: 762d, Got: 0942
Checksum failed. Expected: 76fb, Got: 0942
Checksum failed. Expected: c9f9, Got: 0942
Checksum failed. Expected: cf0b, Got: 0942
Checksum failed. Expected: 5621, Got: 0942
Checksum failed. Expected: fc5d, Got: 0942
Checksum failed. Expected: ed4f, Got: 0942
Checksum failed. Expected: d6ad, Got: 0942
Checksum failed. Expected: 788c, Got: 0942
Checksum failed. Expected: 5517, Got: 0942
Checksum failed. Expected: 6b38, Got: 0942
Checksum failed. Expected: e9d1, Got: 0942
Checksum failed. Expected: fded, Got: 0942
Checksum failed. Expected: 2dcf, Got: 0942
Checksum failed. Expected: 394e, Got: 0942
Checksum failed. Expected: ff69, Got: 0942
Checksum failed. Expected: 2597, Got: 0942
Checksum failed. Expected: 7cbc, Got: 0942
Checksum failed. Expected: 35ef, Got: 0942
Checksum failed. Expected: f7ce, Got: 0942
Checksum failed. Expected: 8ce7, Got: 0942
Checksum failed. Expected: 2449, Got: 0942
Checksum failed. Expected: 0b87, Got: 0942
Checksum failed. Expected: 10a5, Got: 0942
Checksum failed. Expected: e8d7, Got: 0942
Checksum failed. Expected: 1edd, Got: 0942
Checksum failed. Expected: f3fb, Got: 0942
Checksum failed. Expected: 1607, Got: 0942
Checksum failed. Expected: b3b9, Got: 0942
Checksum failed. Expected: ab07, Got: 0942
Checksum failed. Expected: c566, Got: 0942
Checksum failed. Expected: c404, Got: 0942
Checksum failed. Expected: 1a1d, Got: 0942
Checksum failed. Expected: caeb, Got: 0942
Checksum failed. Expected: 1247, Got: 0942
Checksum failed. Expected: 798a, Got: 0942
Checksum failed. Expected: 5a55, Got: 0942
Checksum failed. Expected: 5f73, Got: 0942
Checksum failed. Expected: 5044, Got: 0942
Checksum failed. Expected: 3cbd, Got: 0942
Checksum failed. Expected: 5eab, Got: 0942
Checksum failed. Expected: e5da, Got: 0942
Checksum failed. Expected: cb03, Got: 0942
Checksum failed. Expected: f8b5, Got: 0942
Checksum failed. Expected: b553, Got: 0942
Checksum failed. Expected: d3f4, Got: 0942
Checksum failed. Expected: 4b1e, Got: 0942
Checksum failed. Expected: 7df9, Got: 0942
Checksum failed. Expected: 7217, Got: 0942
Checksum failed. Expected: 0523, Got: 0942
Checksum failed. Expected: e945, Got: 0942
Checksum failed. Expected: 4b33, Got: 0942
Checksum failed. Expected: 8be5, Got: 0942
Checksum failed. Expected: 2c9b, Got: 0942
Checksum failed. Expected: 1609, Got: 0942
Checksum failed. Expected: 3297, Got: 0942
Checksum failed. Expected: 8383, Got: 0942
Checksum failed. Expected: 2f16, Got: 0942
Checksum failed. Expected: 71f1, Got: 0942
Checksum failed. Expected: 2c56, Got: 0942
Checksum failed. Expected: a7a9, Got: 0942
Checksum failed. Expected: e337, Got: 0942
Checksum failed. Expected: 1b76, Got: 0942
Checksum failed. Expected: 7801, Got: 0942
Checksum failed. Expected: 17cd, Got: 0942
Checksum failed. Expected: 3cff, Got: 0942
Checksum failed. Expected: 0cc0, Got: 0942
Checksum failed. Expected: e619, Got: 0942
Checksum failed. Expected: 07e8, Got: 0942
Checksum failed. Expected: 5033, Got: 0942
Checksum failed. Expected: c111, Got: 0942
Checksum failed. Expected: 9a7d, Got: 0942
Checksum failed. Expected: 3faf, Got: 0942
Checksum failed. Expected: f291, Got: 0942
Checksum failed. Expected: 5457, Got: 0942
Checksum failed. Expected: 9db5, Got: 0942
Checksum failed. Expected: 5fa3, Got: 0942
Checksum failed. Expected: 4801, Got: 0942
Checksum failed. Expected: 5d2d, Got: 0942
Checksum failed. Expected: 38b0, Got: 0942
Checksum failed. Expected: 030e, Got: 0942
Checksum failed. Expected: c1a7, Got: 0942
Checksum failed. Expected: 7d35, Got: 0942
Checksum failed. Expected: 0f23, Got: 0942
Checksum failed. Expected: 3432, Got: 0942
Checksum failed. Expected: faa0, Got: 0942
Checksum failed. Expected: c9ef, Got: 0942
Checksum failed. Expected: adfd, Got: 0942
Checksum failed. Expected: e889, Got: 0942
Checksum failed. Expected: 30de, Got: 0942
Checksum failed. Expected: 9c48, Got: 0942
Checksum failed. Expected: 2e23, Got: 0942
Checksum failed. Expected: 6891, Got: 0942
Checksum failed. Expected: a74f, Got: 0942
Checksum failed. Expected: 693d, Got: 0942
Checksum failed. Expected: bb12, Got: 0942
Checksum failed. Expected: 0ee4, Got: 0942
Checksum failed. Expected: bb83, Got: 0942
Checksum failed. Expected: 8d71, Got: 0942
Checksum failed. Expected: ee4f, Got: 0942
