
#################################################################
Log started at 2025-06-13_16-08-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: fd77, Got: 0942
Checksum failed. Expected: 99f9, Got: 0942
Checksum failed. Expected: ad0e, Got: 0942
Checksum failed. Expected: d767, Got: 0942
Checksum failed. Expected: 3d95, Got: 0942
Checksum failed. Expected: ac44, Got: 0942
Checksum failed. Expected: 1e1f, Got: 0942
Checksum failed. Expected: 4ffd, Got: 0942
Checksum failed. Expected: 5209, Got: 0942
Checksum failed. Expected: aa5e, Got: 0942
Checksum failed. Expected: 16c8, Got: 0942
Checksum failed. Expected: a683, Got: 0942
Checksum failed. Expected: 1871, Got: 0942
Checksum failed. Expected: 13ef, Got: 0942
Checksum failed. Expected: 23bd, Got: 0942
Checksum failed. Expected: 9c02, Got: 0942
Checksum failed. Expected: 71f4, Got: 0942
Checksum failed. Expected: 0e93, Got: 0942
Checksum failed. Expected: 74c1, Got: 0942
Checksum failed. Expected: 6bff, Got: 0942
Checksum failed. Expected: 4abd, Got: 0942
Checksum failed. Expected: 796c, Got: 0942
Checksum failed. Expected: e6ea, Got: 0942
Checksum failed. Expected: 7b01, Got: 0942
Checksum failed. Expected: c583, Got: 0942
Checksum failed. Expected: cdd1, Got: 0942
Checksum failed. Expected: 1ea0, Got: 0942
Checksum failed. Expected: a4bb, Got: 0942
Checksum failed. Expected: e9d9, Got: 0942
Checksum failed. Expected: acca, Got: 0942
Checksum failed. Expected: ba71, Got: 0942
Checksum failed. Expected: 81c3, Got: 0942
Checksum failed. Expected: cb22, Got: 0942
Checksum failed. Expected: 58ad, Got: 0942
Checksum failed. Expected: f87b, Got: 0942
Checksum failed. Expected: 2a69, Got: 0942
Checksum failed. Expected: a3ba, Got: 0942
Checksum failed. Expected: ecf4, Got: 0942
Checksum failed. Expected: dedd, Got: 0942
Checksum failed. Expected: 552f, Got: 0942
Checksum failed. Expected: a5fd, Got: 0942
Checksum failed. Expected: 35cb, Got: 0942
Checksum failed. Expected: 8c09, Got: 0942
Checksum failed. Expected: 40fb, Got: 0942
Checksum failed. Expected: aa41, Got: 0942
Checksum failed. Expected: d4bd, Got: 0942
Checksum failed. Expected: 316f, Got: 0942
Checksum failed. Expected: bacd, Got: 0942
Checksum failed. Expected: aa8c, Got: 0942
Checksum failed. Expected: eb57, Got: 0942
Checksum failed. Expected: 9b18, Got: 0942
Checksum failed. Expected: de01, Got: 0942
Checksum failed. Expected: 498d, Got: 0942
Checksum failed. Expected: e2ff, Got: 0942
Checksum failed. Expected: da3e, Got: 0942
Checksum failed. Expected: 69e9, Got: 0942
Checksum failed. Expected: 6357, Got: 0942
Checksum failed. Expected: f30c, Got: 0942
Checksum failed. Expected: 07ef, Got: 0942
Checksum failed. Expected: d7ae, Got: 0942
Checksum failed. Expected: e337, Got: 0942
Checksum failed. Expected: 4209, Got: 0942
Checksum failed. Expected: f4f7, Got: 0942
Checksum failed. Expected: a6e5, Got: 0942
Checksum failed. Expected: 9f27, Got: 0942
Checksum failed. Expected: 041d, Got: 0942
Checksum failed. Expected: ed7b, Got: 0942
Checksum failed. Expected: 0e67, Got: 0942
Checksum failed. Expected: 7b19, Got: 0942
Checksum failed. Expected: 5257, Got: 0942
Checksum failed. Expected: ba96, Got: 0942
Checksum failed. Expected: 9824, Got: 0942
Checksum failed. Expected: 3c1d, Got: 0942
Checksum failed. Expected: 9ceb, Got: 0942
Checksum failed. Expected: 7ee7, Got: 0942
Checksum failed. Expected: 441a, Got: 0942
Checksum failed. Expected: ad65, Got: 0942
Checksum failed. Expected: 74a3, Got: 0942
Checksum failed. Expected: b574, Got: 0942
Checksum failed. Expected: e2fd, Got: 0942
Checksum failed. Expected: 54eb, Got: 0942
Checksum failed. Expected: 228a, Got: 0942
Checksum failed. Expected: aad3, Got: 0942
Checksum failed. Expected: 7565, Got: 0942
Checksum failed. Expected: e1f3, Got: 0942
Checksum failed. Expected: 1c64, Got: 0942
Checksum failed. Expected: de2e, Got: 0942
Checksum failed. Expected: 2dd9, Got: 0942
Checksum failed. Expected: 8637, Got: 0942
Checksum failed. Expected: 11c3, Got: 0942
Checksum failed. Expected: c925, Got: 0942
Checksum failed. Expected: 29f3, Got: 0942
Checksum failed. Expected: 4125, Got: 0942
Checksum failed. Expected: fa5b, Got: 0942
Checksum failed. Expected: 76e9, Got: 0942
Checksum failed. Expected: 5387, Got: 0942
Checksum failed. Expected: a583, Got: 0942
Checksum failed. Expected: 4776, Got: 0942
Checksum failed. Expected: 4d91, Got: 0942
Checksum failed. Expected: 7e56, Got: 0942
Checksum failed. Expected: d679, Got: 0942
Checksum failed. Expected: b757, Got: 0942
Checksum failed. Expected: 64e6, Got: 0942
Checksum failed. Expected: 2a01, Got: 0942
Checksum failed. Expected: fe1d, Got: 0942
Checksum failed. Expected: f45f, Got: 0942
Checksum failed. Expected: 9ca0, Got: 0942
Checksum failed. Expected: d929, Got: 0942
Checksum failed. Expected: 5b08, Got: 0942
Checksum failed. Expected: 8013, Got: 0942
Checksum failed. Expected: afd1, Got: 0942
Checksum failed. Expected: 7c7d, Got: 0942
Checksum failed. Expected: cb4f, Got: 0942
Checksum failed. Expected: f381, Got: 0942
Checksum failed. Expected: 3987, Got: 0942
Checksum failed. Expected: 1fb5, Got: 0942
Checksum failed. Expected: fd63, Got: 0942
Checksum failed. Expected: 09f1, Got: 0942
Checksum failed. Expected: 3f2d, Got: 0942
Checksum failed. Expected: af00, Got: 0942
Checksum failed. Expected: a72e, Got: 0942
Checksum failed. Expected: ba17, Got: 0942
Checksum failed. Expected: 37b5, Got: 0942
Checksum failed. Expected: 0de3, Got: 0942
Checksum failed. Expected: d742, Got: 0942
Checksum failed. Expected: 24cd, Got: 0942
Checksum failed. Expected: 2179, Got: 0942
Checksum failed. Expected: ccfe, Got: 0942
Checksum failed. Expected: e767, Got: 0942
Checksum failed. Expected: 2405, Got: 0942
Checksum failed. Expected: 1804, Got: 0942
Checksum failed. Expected: 57af, Got: 0942
Checksum failed. Expected: eeed, Got: 0942
