
#################################################################
Log started at 2025-06-13_16-08-40 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: c6e4, Got: bd7e
Checksum failed. Expected: 09b3, Got: bd80
Checksum failed. Expected: e069, Got: bd81
Checksum failed. Expected: a729, Got: bd81
Checksum failed. Expected: 4505, Got: bd81
Checksum failed. Expected: 8ee7, Got: bd81
Checksum failed. Expected: c996, Got: bd82
Checksum failed. Expected: d71f, Got: bd84
Checksum failed. Expected: 8bad, Got: bd84
Checksum failed. Expected: 23cf, Got: bd83
Checksum failed. Expected: 181e, Got: bd83
Checksum failed. Expected: 90d7, Got: bd83
Checksum failed. Expected: 4d11, Got: bd83
Checksum failed. Expected: 2153, Got: bd82
Checksum failed. Expected: 7f64, Got: bd82
Checksum failed. Expected: fcc7, Got: bd83
Checksum failed. Expected: 2336, Got: bd84
Checksum failed. Expected: acaa, Got: bd84
Checksum failed. Expected: c955, Got: bd84
Checksum failed. Expected: 48f7, Got: bd84
Checksum failed. Expected: 266b, Got: bd84
Checksum failed. Expected: 66b2, Got: bd82
Checksum failed. Expected: 59cd, Got: bd82
Checksum failed. Expected: ddb3, Got: bd83
Checksum failed. Expected: a755, Got: bd82
Checksum failed. Expected: 573c, Got: bd81
Checksum failed. Expected: 746e, Got: bd81
Checksum failed. Expected: 9b7c, Got: bd81
Checksum failed. Expected: 42fc, Got: bd81
Checksum failed. Expected: 97a3, Got: bd81
Checksum failed. Expected: 0755, Got: bd83
Checksum failed. Expected: 1a4a, Got: bd83
Checksum failed. Expected: 87cb, Got: bd83
Checksum failed. Expected: d9d8, Got: bd83
Checksum failed. Expected: 6109, Got: bd83
Checksum failed. Expected: 8aa4, Got: bd83
Checksum failed. Expected: c022, Got: bd83
Checksum failed. Expected: c65b, Got: bd83
Checksum failed. Expected: cb92, Got: bd85
Checksum failed. Expected: d16f, Got: bd83
Checksum failed. Expected: 638d, Got: bd83
Checksum failed. Expected: a7f2, Got: bd82
Checksum failed. Expected: 79cd, Got: bd83
Checksum failed. Expected: d443, Got: bd84
Checksum failed. Expected: b623, Got: bd84
Checksum failed. Expected: 789d, Got: bd83
Checksum failed. Expected: bfe6, Got: bd83
Checksum failed. Expected: 8e3d, Got: bd85
Checksum failed. Expected: e768, Got: bd84
Checksum failed. Expected: 3516, Got: bd83
Checksum failed. Expected: 179a, Got: bd81
Checksum failed. Expected: 4ea8, Got: bd83
Checksum failed. Expected: 7c22, Got: bd84
Checksum failed. Expected: cc4b, Got: bd82
Checksum failed. Expected: fa94, Got: bd82
Checksum failed. Expected: acfa, Got: bd83
Checksum failed. Expected: 85fe, Got: bd83
Checksum failed. Expected: aafb, Got: bd83
