
#################################################################
Log started at 2025-06-13_16-11-46 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.097052, Y=-0.622045, Z=9.781238 m/s^2 Time of Week: 461526.185000, Week Number: 2370, Difference: 461478.0787310001 ms
Acceleration: X=-0.099393, Y=-0.617819, Z=9.776457 m/s^2 Time of Week: 461526.187000, Week Number: 2370, Difference: 461478.07879700005 ms
Acceleration: X=-0.103034, Y=-0.627444, Z=9.783641 m/s^2 Time of Week: 461526.189000, Week Number: 2370, Difference: 461478.078918 ms
Acceleration: X=-0.103092, Y=-0.631059, Z=9.787817 m/s^2 Time of Week: 461526.190000, Week Number: 2370, Difference: 461478.078889 ms
Acceleration: X=-0.100699, Y=-0.625655, Z=9.793203 m/s^2 Time of Week: 461526.191000, Week Number: 2370, Difference: 461478.07890100003 ms
Acceleration: X=-0.101259, Y=-0.620866, Z=9.792607 m/s^2 Time of Week: 461526.192000, Week Number: 2370, Difference: 461478.07889000006 ms
Acceleration: X=-0.095277, Y=-0.625063, Z=9.787253 m/s^2 Time of Week: 461526.193000, Week Number: 2370, Difference: 461478.07893200003 ms
Acceleration: X=-0.100658, Y=-0.623239, Z=9.787224 m/s^2 Time of Week: 461526.194000, Week Number: 2370, Difference: 461478.078905 ms
Acceleration: X=-0.104227, Y=-0.617813, Z=9.790788 m/s^2 Time of Week: 461526.195000, Week Number: 2370, Difference: 461478.078936 ms
Acceleration: X=-0.105438, Y=-0.619644, Z=9.785416 m/s^2 Time of Week: 461526.196000, Week Number: 2370, Difference: 461478.07894800004 ms
Acceleration: X=-0.110243, Y=-0.620195, Z=9.783618 m/s^2 Time of Week: 461526.197000, Week Number: 2370, Difference: 461478.0789370001 ms
Acceleration: X=-0.100641, Y=-0.616642, Z=9.781829 m/s^2 Time of Week: 461526.198000, Week Number: 2370, Difference: 461478.078944 ms
Acceleration: X=-0.095869, Y=-0.619676, Z=9.783612 m/s^2 Time of Week: 461526.199000, Week Number: 2370, Difference: 461478.07894000004 ms
Acceleration: X=-0.092887, Y=-0.626868, Z=9.779445 m/s^2 Time of Week: 461526.200000, Week Number: 2370, Difference: 461478.07893300004 ms
Acceleration: X=-0.094669, Y=-0.626856, Z=9.779436 m/s^2 Time of Week: 461526.201000, Week Number: 2370, Difference: 461478.078962 ms
Acceleration: X=-0.108401, Y=-0.625576, Z=9.784232 m/s^2 Time of Week: 461526.202000, Week Number: 2370, Difference: 461478.0789530001 ms
Acceleration: X=-0.111415, Y=-0.624980, Z=9.784822 m/s^2 Time of Week: 461526.203000, Week Number: 2370, Difference: 461478.078953 ms
Acceleration: X=-0.104841, Y=-0.622094, Z=9.777050 m/s^2 Time of Week: 461526.204000, Week Number: 2370, Difference: 461478.078945 ms
Acceleration: X=-0.101880, Y=-0.626316, Z=9.783045 m/s^2 Time of Week: 461526.205000, Week Number: 2370, Difference: 461478.07890200004 ms
Acceleration: X=-0.101232, Y=-0.625038, Z=9.788444 m/s^2 Time of Week: 461526.206000, Week Number: 2370, Difference: 461478.07895 ms
Acceleration: X=-0.098849, Y=-0.626881, Z=9.778283 m/s^2 Time of Week: 461526.207000, Week Number: 2370, Difference: 461478.07894700003 ms
Acceleration: X=-0.095815, Y=-0.624470, Z=9.781873 m/s^2 Time of Week: 461526.208000, Week Number: 2370, Difference: 461478.07895200007 ms
Acceleration: X=-0.090477, Y=-0.625112, Z=9.780657 m/s^2 Time of Week: 461526.209000, Week Number: 2370, Difference: 461478.07893300004 ms
Acceleration: X=-0.092302, Y=-0.627478, Z=9.784228 m/s^2 Time of Week: 461526.210000, Week Number: 2370, Difference: 461478.07894700003 ms
Acceleration: X=-0.096512, Y=-0.630481, Z=9.784219 m/s^2 Time of Week: 461526.211000, Week Number: 2370, Difference: 461478.078949 ms
Acceleration: X=-0.097059, Y=-0.628081, Z=9.784837 m/s^2 Time of Week: 461526.212000, Week Number: 2370, Difference: 461478.0789300001 ms
Acceleration: X=-0.102398, Y=-0.626813, Z=9.780075 m/s^2 Time of Week: 461526.213000, Week Number: 2370, Difference: 461478.07894300006 ms
Acceleration: X=-0.106051, Y=-0.631626, Z=9.778867 m/s^2 Time of Week: 461526.214000, Week Number: 2370, Difference: 461478.07892800006 ms
