
#################################################################
Log started at 2025-06-13_16-13-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.096525, Y=-0.619066, Z=9.782318 m/s^2 Time of Week: 461608.046000, Week Number: 2370, Difference: 18.0749660000312 s
Acceleration: X=-0.101312, Y=-0.624426, Z=9.794944 m/s^2 Time of Week: 461608.048000, Week Number: 2370, Difference: 18.07537400000978 s
Acceleration: X=-0.098309, Y=-0.628585, Z=9.785348 m/s^2 Time of Week: 461608.050000, Week Number: 2370, Difference: 18.075685000046565 s
Acceleration: X=-0.100750, Y=-0.635125, Z=9.786534 m/s^2 Time of Week: 461608.051000, Week Number: 2370, Difference: 18.075783000035855 s
Acceleration: X=-0.099557, Y=-0.636369, Z=9.782363 m/s^2 Time of Week: 461608.052000, Week Number: 2370, Difference: 18.075774000025145 s
Acceleration: X=-0.100136, Y=-0.633944, Z=9.783565 m/s^2 Time of Week: 461608.053000, Week Number: 2370, Difference: 18.075801000014437 s
Acceleration: X=-0.102481, Y=-0.626708, Z=9.784154 m/s^2 Time of Week: 461608.054000, Week Number: 2370, Difference: 18.075782000003727 s
Acceleration: X=-0.099504, Y=-0.621387, Z=9.784740 m/s^2 Time of Week: 461608.055000, Week Number: 2370, Difference: 18.07577300005122 s
Acceleration: X=-0.101343, Y=-0.629820, Z=9.785376 m/s^2 Time of Week: 461608.056000, Week Number: 2370, Difference: 18.07578800004051 s
Acceleration: X=-0.101299, Y=-0.631026, Z=9.777599 m/s^2 Time of Week: 461608.057000, Week Number: 2370, Difference: 18.075779000029804 s
Acceleration: X=-0.100098, Y=-0.634048, Z=9.768011 m/s^2 Time of Week: 461608.058000, Week Number: 2370, Difference: 18.07579000001909 s
Acceleration: X=-0.099456, Y=-0.631634, Z=9.762036 m/s^2 Time of Week: 461608.059000, Week Number: 2370, Difference: 18.07579600000838 s
