
#################################################################
Log started at 2025-06-13_16-13-54 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.095993, Y=-0.624464, Z=9.794692 m/s^2 Time of Week: 461654.263000, Week Number: 2370
Acceleration: X=-0.104938, Y=-0.622552, Z=9.792924 m/s^2 Time of Week: 461654.265000, Week Number: 2370
Acceleration: X=-0.113370, Y=-0.624332, Z=9.792876 m/s^2 Time of Week: 461654.266000, Week Number: 2370
Acceleration: X=-0.113992, Y=-0.632713, Z=9.788689 m/s^2 Time of Week: 461654.267000, Week Number: 2370
Acceleration: X=-0.107968, Y=-0.624916, Z=9.786306 m/s^2 Time of Week: 461654.268000, Week Number: 2370
Acceleration: X=-0.104340, Y=-0.618884, Z=9.785704 m/s^2 Time of Week: 461654.269000, Week Number: 2370
Acceleration: X=-0.101933, Y=-0.620688, Z=9.785112 m/s^2 Time of Week: 461654.270000, Week Number: 2370
Acceleration: X=-0.094792, Y=-0.622536, Z=9.786313 m/s^2 Time of Week: 461654.271000, Week Number: 2370
Acceleration: X=-0.100150, Y=-0.624325, Z=9.783339 m/s^2 Time of Week: 461654.272000, Week Number: 2370
Acceleration: X=-0.103120, Y=-0.620709, Z=9.783336 m/s^2 Time of Week: 461654.273000, Week Number: 2370
Acceleration: X=-0.100739, Y=-0.623124, Z=9.785730 m/s^2 Time of Week: 461654.274000, Week Number: 2370
Acceleration: X=-0.100195, Y=-0.627944, Z=9.782135 m/s^2 Time of Week: 461654.275000, Week Number: 2370
Acceleration: X=-0.107390, Y=-0.631535, Z=9.777931 m/s^2 Time of Week: 461654.276000, Week Number: 2370
Acceleration: X=-0.103194, Y=-0.629121, Z=9.776722 m/s^2 Time of Week: 461654.277000, Week Number: 2370
Acceleration: X=-0.092409, Y=-0.627367, Z=9.781531 m/s^2 Time of Week: 461654.278000, Week Number: 2370
Acceleration: X=-0.095384, Y=-0.623781, Z=9.777945 m/s^2 Time of Week: 461654.279000, Week Number: 2370
Acceleration: X=-0.105543, Y=-0.624300, Z=9.776129 m/s^2 Time of Week: 461654.280000, Week Number: 2370
Acceleration: X=-0.112766, Y=-0.632709, Z=9.773154 m/s^2 Time of Week: 461654.281000, Week Number: 2370
Acceleration: X=-0.112760, Y=-0.633363, Z=9.769565 m/s^2 Time of Week: 461654.282000, Week Number: 2370
Acceleration: X=-0.114521, Y=-0.630341, Z=9.762975 m/s^2 Time of Week: 461654.283000, Week Number: 2370
