
#################################################################
Log started at 2025-06-13_17-04-07 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=2.081481, Y=8.020861, Z=-5.133686 m/s^2 Time of Week: 464665.374000, Week Number: 2370
Acceleration: X=2.114096, Y=8.098551, Z=-5.145107 m/s^2 Time of Week: 464665.375000, Week Number: 2370
Acceleration: X=2.136388, Y=8.166003, Z=-5.155617 m/s^2 Time of Week: 464665.376000, Week Number: 2370
Acceleration: X=2.141708, Y=8.248278, Z=-5.214128 m/s^2 Time of Week: 464665.377000, Week Number: 2370
Acceleration: X=2.148029, Y=8.306248, Z=-5.247496 m/s^2 Time of Week: 464665.378000, Week Number: 2370
Acceleration: X=2.158483, Y=8.361846, Z=-5.213068 m/s^2 Time of Week: 464665.379000, Week Number: 2370
Acceleration: X=2.195627, Y=8.445751, Z=-5.153220 m/s^2 Time of Week: 464665.380000, Week Number: 2370
Acceleration: X=2.230226, Y=8.558363, Z=-5.137532 m/s^2 Time of Week: 464665.381000, Week Number: 2370
Acceleration: X=2.210758, Y=8.627533, Z=-5.133380 m/s^2 Time of Week: 464665.382000, Week Number: 2370
Acceleration: X=2.140400, Y=8.680498, Z=-5.108888 m/s^2 Time of Week: 464665.383000, Week Number: 2370
Acceleration: X=2.096128, Y=8.707498, Z=-5.078967 m/s^2 Time of Week: 464665.384000, Week Number: 2370
Acceleration: X=2.097183, Y=8.712205, Z=-5.035399 m/s^2 Time of Week: 464665.385000, Week Number: 2370
Acceleration: X=2.118392, Y=8.705618, Z=-4.981272 m/s^2 Time of Week: 464665.386000, Week Number: 2370
Acceleration: X=2.126172, Y=8.686348, Z=-4.957465 m/s^2 Time of Week: 464665.387000, Week Number: 2370
Acceleration: X=2.146847, Y=8.682294, Z=-4.898030 m/s^2 Time of Week: 464665.388000, Week Number: 2370
Acceleration: X=2.193045, Y=8.730001, Z=-4.781230 m/s^2 Time of Week: 464665.389000, Week Number: 2370
Acceleration: X=2.158808, Y=8.780255, Z=-4.746431 m/s^2 Time of Week: 464665.390000, Week Number: 2370
Acceleration: X=2.126407, Y=8.816301, Z=-4.786175 m/s^2 Time of Week: 464665.391000, Week Number: 2370
Acceleration: X=2.121359, Y=8.840825, Z=-4.811232 m/s^2 Time of Week: 464665.392000, Week Number: 2370
Acceleration: X=2.131977, Y=8.841291, Z=-4.788212 m/s^2 Time of Week: 464665.393000, Week Number: 2370
Acceleration: X=2.139521, Y=8.820563, Z=-4.735235 m/s^2 Time of Week: 464665.394000, Week Number: 2370
Acceleration: X=2.107663, Y=8.808055, Z=-4.652090 m/s^2 Time of Week: 464665.395000, Week Number: 2370
Acceleration: X=2.005783, Y=8.802128, Z=-4.624952 m/s^2 Time of Week: 464665.396000, Week Number: 2370
Acceleration: X=1.962153, Y=8.812486, Z=-4.690214 m/s^2 Time of Week: 464665.397000, Week Number: 2370
Acceleration: X=1.931927, Y=8.812292, Z=-4.731459 m/s^2 Time of Week: 464665.398000, Week Number: 2370
Acceleration: X=1.866318, Y=8.798344, Z=-4.762909 m/s^2 Time of Week: 464665.399000, Week Number: 2370
Acceleration: X=1.809626, Y=8.785664, Z=-4.799511 m/s^2 Time of Week: 464665.400000, Week Number: 2370
Acceleration: X=1.769825, Y=8.760811, Z=-4.861498 m/s^2 Time of Week: 464665.401000, Week Number: 2370
Acceleration: X=1.742527, Y=8.725046, Z=-4.925398 m/s^2 Time of Week: 464665.402000, Week Number: 2370
Acceleration: X=1.743455, Y=8.693565, Z=-5.030582 m/s^2 Time of Week: 464665.403000, Week Number: 2370
Acceleration: X=1.750128, Y=8.652628, Z=-5.055971 m/s^2 Time of Week: 464665.404000, Week Number: 2370
Acceleration: X=1.765767, Y=8.617647, Z=-5.017662 m/s^2 Time of Week: 464665.405000, Week Number: 2370
Acceleration: X=1.840900, Y=8.614917, Z=-4.976121 m/s^2 Time of Week: 464665.406000, Week Number: 2370
Acceleration: X=1.894573, Y=8.575424, Z=-4.886519 m/s^2 Time of Week: 464665.407000, Week Number: 2370
Acceleration: X=1.918078, Y=8.540802, Z=-4.839459 m/s^2 Time of Week: 464665.408000, Week Number: 2370
Acceleration: X=1.934969, Y=8.505469, Z=-4.830755 m/s^2 Time of Week: 464665.409000, Week Number: 2370
Acceleration: X=1.973636, Y=8.490444, Z=-4.836754 m/s^2 Time of Week: 464665.410000, Week Number: 2370
Acceleration: X=1.978151, Y=8.485495, Z=-4.830884 m/s^2 Time of Week: 464665.411000, Week Number: 2370
Acceleration: X=1.953851, Y=8.454295, Z=-4.865225 m/s^2 Time of Week: 464665.412000, Week Number: 2370
Acceleration: X=1.984375, Y=8.387496, Z=-4.815214 m/s^2 Time of Week: 464665.413000, Week Number: 2370
Acceleration: X=1.995641, Y=8.333267, Z=-4.705389 m/s^2 Time of Week: 464665.414000, Week Number: 2370
Acceleration: X=1.982108, Y=8.330247, Z=-4.657580 m/s^2 Time of Week: 464665.415000, Week Number: 2370
Acceleration: X=1.989593, Y=8.348966, Z=-4.596892 m/s^2 Time of Week: 464665.416000, Week Number: 2370
Acceleration: X=2.016567, Y=8.391935, Z=-4.540522 m/s^2 Time of Week: 464665.417000, Week Number: 2370
Acceleration: X=2.024177, Y=8.457913, Z=-4.496662 m/s^2 Time of Week: 464665.418000, Week Number: 2370
Acceleration: X=1.960644, Y=8.452765, Z=-4.480137 m/s^2 Time of Week: 464665.419000, Week Number: 2370
Acceleration: X=1.934682, Y=8.426554, Z=-4.429780 m/s^2 Time of Week: 464665.420000, Week Number: 2370
