
#################################################################
Log started at 2025-06-16_09-24-54.581928 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.059168, Y=-0.655828, Z=9.775752 m/s^2 Time of Week: 1311.088000, Week Number: 0
Acceleration: X=0.054488, Y=-0.649370, Z=9.768561 m/s^2 Time of Week: 1311.089000, Week Number: 0
Acceleration: X=0.051545, Y=-0.645075, Z=9.765453 m/s^2 Time of Week: 1311.090000, Week Number: 0
Acceleration: X=0.053491, Y=-0.645973, Z=9.760590 m/s^2 Time of Week: 1311.091000, Week Number: 0
Acceleration: X=0.055301, Y=-0.652122, Z=9.755800 m/s^2 Time of Week: 1311.092000, Week Number: 0
Acceleration: X=0.056204, Y=-0.653963, Z=9.766011 m/s^2 Time of Week: 1311.093000, Week Number: 0
Acceleration: X=0.050511, Y=-0.650678, Z=9.794341 m/s^2 Time of Week: 1311.094000, Week Number: 0
Acceleration: X=0.054148, Y=-0.649457, Z=9.810279 m/s^2 Time of Week: 1311.095000, Week Number: 0
Acceleration: X=0.057349, Y=-0.647304, Z=9.812315 m/s^2 Time of Week: 1311.096000, Week Number: 0
Acceleration: X=0.057663, Y=-0.639561, Z=9.802778 m/s^2 Time of Week: 1311.097000, Week Number: 0
Acceleration: X=0.054108, Y=-0.634959, Z=9.794550 m/s^2 Time of Week: 1311.098000, Week Number: 0
Acceleration: X=0.062785, Y=-0.630275, Z=9.793471 m/s^2 Time of Week: 1311.099000, Week Number: 0
Acceleration: X=0.069888, Y=-0.627797, Z=9.790937 m/s^2 Time of Week: 1311.100000, Week Number: 0
Acceleration: X=0.068888, Y=-0.628119, Z=9.790798 m/s^2 Time of Week: 1311.101000, Week Number: 0
Acceleration: X=0.065016, Y=-0.626801, Z=9.794846 m/s^2 Time of Week: 1311.102000, Week Number: 0
Acceleration: X=0.061383, Y=-0.622319, Z=9.788990 m/s^2 Time of Week: 1311.103000, Week Number: 0
Acceleration: X=0.065927, Y=-0.625829, Z=9.785313 m/s^2 Time of Week: 1311.104000, Week Number: 0
Acceleration: X=0.067025, Y=-0.630318, Z=9.786719 m/s^2 Time of Week: 1311.105000, Week Number: 0
Acceleration: X=0.074576, Y=-0.625956, Z=9.800674 m/s^2 Time of Week: 1311.106000, Week Number: 0
Acceleration: X=0.079122, Y=-0.615810, Z=9.807178 m/s^2 Time of Week: 1311.107000, Week Number: 0
Acceleration: X=0.082032, Y=-0.614292, Z=9.807845 m/s^2 Time of Week: 1311.108000, Week Number: 0
Acceleration: X=0.081829, Y=-0.612100, Z=9.808012 m/s^2 Time of Week: 1311.109000, Week Number: 0
Acceleration: X=0.082699, Y=-0.608385, Z=9.819421 m/s^2 Time of Week: 1311.110000, Week Number: 0
Acceleration: X=0.084275, Y=-0.604807, Z=9.822146 m/s^2 Time of Week: 1311.111000, Week Number: 0
Acceleration: X=0.081513, Y=-0.603473, Z=9.816443 m/s^2 Time of Week: 1311.112000, Week Number: 0
Acceleration: X=0.079902, Y=-0.606822, Z=9.806446 m/s^2 Time of Week: 1311.113000, Week Number: 0
Acceleration: X=0.085873, Y=-0.610374, Z=9.792261 m/s^2 Time of Week: 1311.114000, Week Number: 0
Acceleration: X=0.087786, Y=-0.607590, Z=9.794735 m/s^2 Time of Week: 1311.115000, Week Number: 0
Acceleration: X=0.085059, Y=-0.604583, Z=9.806662 m/s^2 Time of Week: 1311.116000, Week Number: 0
Acceleration: X=0.086221, Y=-0.607452, Z=9.813627 m/s^2 Time of Week: 1311.117000, Week Number: 0
Acceleration: X=0.089681, Y=-0.610889, Z=9.825311 m/s^2 Time of Week: 1311.118000, Week Number: 0
Acceleration: X=0.086880, Y=-0.610366, Z=9.829500 m/s^2 Time of Week: 1311.119000, Week Number: 0
Acceleration: X=0.083012, Y=-0.610272, Z=9.823249 m/s^2 Time of Week: 1311.120000, Week Number: 0
Checksum failed. Expected: 1a67, Got: 0c04
Checksum failed. Expected: 0a91, Got: 0f00
Checksum failed. Expected: a208, Got: 7565
Checksum failed. Expected: 8a0d, Got: 0000
Checksum failed. Expected: ec75, Got: 0000
Checksum failed. Expected: a9b8, Got: 0000
Checksum failed. Expected: 44d1, Got: 0000
Checksum failed. Expected: e8a1, Got: 0000
Checksum failed. Expected: aa45, Got: 0000
Checksum failed. Expected: 9cc9, Got: cb00
Checksum failed. Expected: 5661, Got: fa00
Checksum failed. Expected: a436, Got: 2900
Checksum failed. Expected: f85f, Got: 5800
Checksum failed. Expected: 3a8e, Got: 8800
Checksum failed. Expected: 1d26, Got: b700
Checksum failed. Expected: 5f5e, Got: e600
Checksum failed. Expected: 4505, Got: 1500
Checksum failed. Expected: 0acd, Got: 4400
Checksum failed. Expected: c404, Got: 7300
Checksum failed. Expected: 4e6b, Got: a200
Checksum failed. Expected: 3b9f, Got: d100
Checksum failed. Expected: 7745, Got: 0000
Checksum failed. Expected: c6eb, Got: 2f00
Checksum failed. Expected: aee9, Got: 5f00
Checksum failed. Expected: c68f, Got: 8e00
Checksum failed. Expected: b1a5, Got: bd00
Checksum failed. Expected: bc9b, Got: ec00
Checksum failed. Expected: c456, Got: 1b00
Checksum failed. Expected: 9b20, Got: 4a00
Checksum failed. Expected: 28ab, Got: 7900
Checksum failed. Expected: fe9b, Got: a800
Checksum failed. Expected: 96d4, Got: d700
Checksum failed. Expected: 9a53, Got: 0700
Checksum failed. Expected: 5790, Got: 3600
Checksum failed. Expected: 44c4, Got: 6500
Checksum failed. Expected: fbc2, Got: 9400
Checksum failed. Expected: 5cb9, Got: c300
Checksum failed. Expected: 32a9, Got: f200
Checksum failed. Expected: 2a74, Got: 2100
Checksum failed. Expected: c6d5, Got: 5000
Checksum failed. Expected: 7ddf, Got: 7f00
Checksum failed. Expected: e984, Got: ae00
Checksum failed. Expected: ed05, Got: de00
Checksum failed. Expected: 73f9, Got: 0d00
Checksum failed. Expected: ef87, Got: 3c00
Checksum failed. Expected: d01c, Got: 6b00
Checksum failed. Expected: 5756, Got: 9a00
Checksum failed. Expected: 9ed0, Got: c900
Checksum failed. Expected: c01f, Got: f800
Checksum failed. Expected: 1006, Got: 2700
Checksum failed. Expected: 8b62, Got: 5600
Checksum failed. Expected: 4b00, Got: 8500
Checksum failed. Expected: c25f, Got: b500
Checksum failed. Expected: 025d, Got: e400
Checksum failed. Expected: 0c36, Got: 1300
Checksum failed. Expected: c659, Got: 4200
Checksum failed. Expected: f341, Got: 7100
Checksum failed. Expected: 84fb, Got: a000
Checksum failed. Expected: c0dd, Got: cf00
Checksum failed. Expected: d251, Got: fe00
Checksum failed. Expected: e284, Got: 2d00
Checksum failed. Expected: 7122, Got: 5d00
Checksum failed. Expected: 20a1, Got: 8c00
Checksum failed. Expected: 3a61, Got: bb00
Checksum failed. Expected: 95da, Got: ea00
Checksum failed. Expected: da28, Got: 1900
Checksum failed. Expected: 88a4, Got: 4800
Checksum failed. Expected: 4b77, Got: 7700
Checksum failed. Expected: 49aa, Got: a600
Checksum failed. Expected: b76d, Got: d500
Checksum failed. Expected: 8c1f, Got: 0400
Checksum failed. Expected: a7db, Got: 3400
Checksum failed. Expected: 17a9, Got: 6300
Checksum failed. Expected: ff9f, Got: 9200
Checksum failed. Expected: f56f, Got: c100
Checksum failed. Expected: b71e, Got: f000
Checksum failed. Expected: 5058, Got: 1f00
Checksum failed. Expected: 5c3d, Got: 4e00
Checksum failed. Expected: 4b79, Got: 7d00
Checksum failed. Expected: 2372, Got: ac00
Checksum failed. Expected: fa69, Got: db00
Checksum failed. Expected: 9d4e, Got: 0b00
Checksum failed. Expected: bf76, Got: 3a00
Checksum failed. Expected: 7462, Got: 6900
Checksum failed. Expected: 8f3c, Got: 9800
Checksum failed. Expected: 8c4a, Got: c700
Checksum failed. Expected: 2e19, Got: f600
Checksum failed. Expected: 3a10, Got: 2500
