
#################################################################
Log started at 2025-06-16_09-34-07.205662 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.246359, Y=-0.329919, Z=9.746638 m/s^2 Time of Week: 17.648000, Week Number: 0
Acceleration: X=0.229643, Y=-0.329232, Z=9.695351 m/s^2 Time of Week: 17.652000, Week Number: 0
Acceleration: X=0.221280, Y=-0.328525, Z=9.770112 m/s^2 Time of Week: 17.656000, Week Number: 0
Acceleration: X=0.223047, Y=-0.321991, Z=9.840631 m/s^2 Time of Week: 17.660000, Week Number: 0
Acceleration: X=0.226401, Y=-0.314056, Z=9.866323 m/s^2 Time of Week: 17.664000, Week Number: 0
Acceleration: X=0.224422, Y=-0.289002, Z=9.868750 m/s^2 Time of Week: 17.668000, Week Number: 0
Acceleration: X=0.219626, Y=-0.280401, Z=9.845862 m/s^2 Time of Week: 17.672000, Week Number: 0
Acceleration: X=0.214050, Y=-0.302123, Z=9.824984 m/s^2 Time of Week: 17.676000, Week Number: 0
Acceleration: X=0.199198, Y=-0.314357, Z=9.747778 m/s^2 Time of Week: 17.680000, Week Number: 0
Acceleration: X=0.190478, Y=-0.328885, Z=9.704423 m/s^2 Time of Week: 17.684000, Week Number: 0
Acceleration: X=0.183719, Y=-0.340154, Z=9.711610 m/s^2 Time of Week: 17.688000, Week Number: 0
Acceleration: X=0.191044, Y=-0.331872, Z=9.730743 m/s^2 Time of Week: 17.692000, Week Number: 0
Acceleration: X=0.202887, Y=-0.320350, Z=9.781396 m/s^2 Time of Week: 17.696000, Week Number: 0
Acceleration: X=0.222842, Y=-0.298098, Z=9.831662 m/s^2 Time of Week: 17.700000, Week Number: 0
Acceleration: X=0.240117, Y=-0.281460, Z=9.878524 m/s^2 Time of Week: 17.704000, Week Number: 0
Acceleration: X=0.253992, Y=-0.274849, Z=9.885626 m/s^2 Time of Week: 17.708000, Week Number: 0
Acceleration: X=0.250106, Y=-0.285671, Z=9.853231 m/s^2 Time of Week: 17.712000, Week Number: 0
Acceleration: X=0.247711, Y=-0.299575, Z=9.815299 m/s^2 Time of Week: 17.716000, Week Number: 0
Acceleration: X=0.249326, Y=-0.317988, Z=9.761573 m/s^2 Time of Week: 17.720000, Week Number: 0
Acceleration: X=0.240542, Y=-0.321075, Z=9.732527 m/s^2 Time of Week: 17.724000, Week Number: 0
Acceleration: X=0.227177, Y=-0.319910, Z=9.703184 m/s^2 Time of Week: 17.728000, Week Number: 0
Acceleration: X=0.225218, Y=-0.324940, Z=9.765876 m/s^2 Time of Week: 17.732000, Week Number: 0
Acceleration: X=0.227795, Y=-0.305500, Z=9.818971 m/s^2 Time of Week: 17.736000, Week Number: 0
Acceleration: X=0.228020, Y=-0.286926, Z=9.858192 m/s^2 Time of Week: 17.740000, Week Number: 0
Acceleration: X=0.232862, Y=-0.269003, Z=9.839487 m/s^2 Time of Week: 17.744000, Week Number: 0
Acceleration: X=0.240879, Y=-0.299198, Z=9.902063 m/s^2 Time of Week: 17.748000, Week Number: 0
Acceleration: X=0.231671, Y=-0.300871, Z=9.848307 m/s^2 Time of Week: 17.752000, Week Number: 0
Acceleration: X=0.229914, Y=-0.313857, Z=9.816525 m/s^2 Time of Week: 17.756000, Week Number: 0
Acceleration: X=0.233603, Y=-0.322685, Z=9.778469 m/s^2 Time of Week: 17.760000, Week Number: 0
Acceleration: X=0.223193, Y=-0.309929, Z=9.727541 m/s^2 Time of Week: 17.764000, Week Number: 0
Acceleration: X=0.215692, Y=-0.311311, Z=9.716071 m/s^2 Time of Week: 17.768000, Week Number: 0
Acceleration: X=0.206306, Y=-0.312258, Z=9.747333 m/s^2 Time of Week: 17.772000, Week Number: 0
Acceleration: X=0.212230, Y=-0.281693, Z=9.698902 m/s^2 Time of Week: 17.776000, Week Number: 0
Acceleration: X=0.204444, Y=-0.343309, Z=9.846203 m/s^2 Time of Week: 17.780000, Week Number: 0
Acceleration: X=0.198542, Y=-0.321771, Z=9.819238 m/s^2 Time of Week: 17.784000, Week Number: 0
Acceleration: X=0.206536, Y=-0.320207, Z=9.832163 m/s^2 Time of Week: 17.788000, Week Number: 0
Acceleration: X=0.227775, Y=-0.323169, Z=9.901483 m/s^2 Time of Week: 17.792000, Week Number: 0
Acceleration: X=0.227835, Y=-0.276621, Z=9.824311 m/s^2 Time of Week: 17.796000, Week Number: 0
Acceleration: X=0.236928, Y=-0.279087, Z=9.824819 m/s^2 Time of Week: 17.800000, Week Number: 0
Acceleration: X=0.256520, Y=-0.275882, Z=9.836283 m/s^2 Time of Week: 17.804000, Week Number: 0
