
#################################################################
Log started at 2025-06-16_09-38-02.528432 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.255942, Y=0.011433, Z=9.803107 m/s^2 Time of Week: 66.837000, Week Number: 0
Acceleration: X=0.255581, Y=0.009835, Z=9.806152 m/s^2 Time of Week: 66.838000, Week Number: 0
Acceleration: X=0.254652, Y=0.012688, Z=9.807806 m/s^2 Time of Week: 66.839000, Week Number: 0
Acceleration: X=0.263055, Y=0.019734, Z=9.811355 m/s^2 Time of Week: 66.840000, Week Number: 0
Acceleration: X=0.267748, Y=0.010932, Z=9.812224 m/s^2 Time of Week: 66.841000, Week Number: 0
Acceleration: X=0.273387, Y=0.003778, Z=9.816986 m/s^2 Time of Week: 66.842000, Week Number: 0
Checksum failed. Expected: 042a, Got: 000e
Checksum failed. Expected: fc4f, Got: 000e
Checksum failed. Expected: a1e3, Got: 000e
Checksum failed. Expected: 31c3, Got: 000e
Checksum failed. Expected: 8dd2, Got: 000e
Checksum failed. Expected: d556, Got: 000e
Checksum failed. Expected: 2164, Got: 000e
Checksum failed. Expected: 421c, Got: 000e
Checksum failed. Expected: deba, Got: 000e
Checksum failed. Expected: 1db7, Got: 000e
Checksum failed. Expected: fed8, Got: 000e
Checksum failed. Expected: d5f4, Got: 000e
Checksum failed. Expected: 0591, Got: 000e
Checksum failed. Expected: 6b83, Got: 000e
Checksum failed. Expected: b30f, Got: 000e
Checksum failed. Expected: 7e6b, Got: 000e
Checksum failed. Expected: a6a7, Got: 000e
Checksum failed. Expected: 7a8d, Got: 000e
Checksum failed. Expected: 700a, Got: 000e
Checksum failed. Expected: 9866, Got: 000e
Checksum failed. Expected: 49c6, Got: 000e
Checksum failed. Expected: 95ad, Got: 000e
Checksum failed. Expected: 687f, Got: 000e
Checksum failed. Expected: 217d, Got: 000e
Checksum failed. Expected: a695, Got: 000e
Checksum failed. Expected: ca94, Got: 000e
Checksum failed. Expected: cbbd, Got: 000e
Checksum failed. Expected: 0982, Got: 000e
Checksum failed. Expected: 3ca4, Got: 000e
Checksum failed. Expected: bd9b, Got: 000e
Checksum failed. Expected: 9b5f, Got: 000e
Checksum failed. Expected: c9cf, Got: 000e
Checksum failed. Expected: b03b, Got: 000e
Checksum failed. Expected: fa1b, Got: 000e
Checksum failed. Expected: 9700, Got: 000e
Checksum failed. Expected: 69a3, Got: 000e
Checksum failed. Expected: fe12, Got: 000e
Checksum failed. Expected: e7ac, Got: 000e
Checksum failed. Expected: 35cf, Got: 000e
Checksum failed. Expected: 35df, Got: 000e
Checksum failed. Expected: 33e4, Got: 000e
Checksum failed. Expected: 65e9, Got: 000e
Checksum failed. Expected: 70fd, Got: 000e
Checksum failed. Expected: 8d6d, Got: 000e
Checksum failed. Expected: 058c, Got: 000e
Checksum failed. Expected: ca60, Got: 000e
Checksum failed. Expected: c0e7, Got: 000e
Checksum failed. Expected: f52e, Got: 000e
Checksum failed. Expected: b7cf, Got: 000e
Checksum failed. Expected: 6814, Got: 000e
Checksum failed. Expected: 7113, Got: 000e
Checksum failed. Expected: 2a1d, Got: 000e
Checksum failed. Expected: ff18, Got: 000e
Checksum failed. Expected: f6bd, Got: 000e
Checksum failed. Expected: df24, Got: 000e
Checksum failed. Expected: 722f, Got: 000e
Checksum failed. Expected: 4435, Got: 000e
Checksum failed. Expected: 06ef, Got: 000e
Checksum failed. Expected: 6a94, Got: 000e
Checksum failed. Expected: b431, Got: 000e
Checksum failed. Expected: cc5a, Got: 000e
Checksum failed. Expected: b6fb, Got: 000e
Checksum failed. Expected: a08e, Got: 000e
Checksum failed. Expected: 7124, Got: 000e
Checksum failed. Expected: fe05, Got: 000e
Checksum failed. Expected: 8119, Got: 000e
Checksum failed. Expected: b96f, Got: 000e
Checksum failed. Expected: 9fa2, Got: 000e
Checksum failed. Expected: e95f, Got: 000e
Checksum failed. Expected: ef13, Got: 000e
Checksum failed. Expected: 140a, Got: 000e
Checksum failed. Expected: a1c8, Got: 000e
Checksum failed. Expected: 36ed, Got: 000e
Checksum failed. Expected: 2843, Got: 000e
Checksum failed. Expected: 1976, Got: 000e
Checksum failed. Expected: 0314, Got: 000e
Checksum failed. Expected: a210, Got: 000e
Checksum failed. Expected: a484, Got: 000e
Checksum failed. Expected: 5c5c, Got: 000e
Checksum failed. Expected: d265, Got: 000e
Checksum failed. Expected: 7073, Got: 000e
Checksum failed. Expected: d62f, Got: 000e
Checksum failed. Expected: 0283, Got: 000e
Checksum failed. Expected: cdfc, Got: 000e
Checksum failed. Expected: 77e7, Got: 000e
Checksum failed. Expected: 3867, Got: 000e
Checksum failed. Expected: ac2e, Got: 000e
Checksum failed. Expected: b867, Got: 000e
Checksum failed. Expected: 9969, Got: 000e
Checksum failed. Expected: 4562, Got: 000e
Checksum failed. Expected: 6fb8, Got: 000e
Checksum failed. Expected: a3e0, Got: 000e
Checksum failed. Expected: bbfc, Got: 000e
Checksum failed. Expected: 2b7d, Got: 000e
Checksum failed. Expected: 3f41, Got: 000e
Checksum failed. Expected: e4ab, Got: 000e
Checksum failed. Expected: fa86, Got: 000e
Checksum failed. Expected: 445a, Got: 000e
Checksum failed. Expected: d1ed, Got: 000e
Checksum failed. Expected: ff92, Got: 000e
Checksum failed. Expected: 0889, Got: 000e
Checksum failed. Expected: 82ee, Got: 000e
Checksum failed. Expected: 785b, Got: 000e
Checksum failed. Expected: 848a, Got: 000e
Checksum failed. Expected: e94c, Got: 000e
Checksum failed. Expected: 294f, Got: 000e
Checksum failed. Expected: 12c1, Got: 000e
Checksum failed. Expected: b2ee, Got: 000e
Checksum failed. Expected: d496, Got: 000e
Checksum failed. Expected: 1d20, Got: 000e
Checksum failed. Expected: 262c, Got: 000e
Checksum failed. Expected: b3f3, Got: 000e
Checksum failed. Expected: 5f00, Got: 000e
Checksum failed. Expected: 9964, Got: 000e
Checksum failed. Expected: d2f9, Got: 000e
Checksum failed. Expected: 7220, Got: 000e
Checksum failed. Expected: a404, Got: 000e
Checksum failed. Expected: 0c02, Got: 000e
Checksum failed. Expected: 2658, Got: 000e
Checksum failed. Expected: bebe, Got: 000e
Checksum failed. Expected: ef9e, Got: 000e
Checksum failed. Expected: f213, Got: 000e
Checksum failed. Expected: 458d, Got: 000e
Checksum failed. Expected: b2d6, Got: 000e
Checksum failed. Expected: 85b6, Got: 000e
Checksum failed. Expected: e2d4, Got: 000e
Checksum failed. Expected: 9cef, Got: 000e
Checksum failed. Expected: 5838, Got: 000e
Checksum failed. Expected: 993b, Got: 000e
Checksum failed. Expected: d5ea, Got: 000e
Checksum failed. Expected: 489f, Got: 000e
Checksum failed. Expected: 7abf, Got: 000e
Checksum failed. Expected: 3931, Got: 000e
Checksum failed. Expected: 0abe, Got: 000e
Checksum failed. Expected: 9f1d, Got: 000e
Checksum failed. Expected: 3a0c, Got: 000e
Checksum failed. Expected: eb56, Got: 000e
Checksum failed. Expected: 35e1, Got: 000e
Checksum failed. Expected: cc76, Got: 000e
Checksum failed. Expected: cfe3, Got: 000e
Checksum failed. Expected: 7021, Got: 000e
Checksum failed. Expected: 9411, Got: 000e
Checksum failed. Expected: 6c43, Got: 000e
Checksum failed. Expected: c2e0, Got: 000e
Checksum failed. Expected: f620, Got: 000e
Checksum failed. Expected: 9863, Got: 000e
Checksum failed. Expected: a7c3, Got: 000e
Checksum failed. Expected: 71ea, Got: 000e
Checksum failed. Expected: 93b3, Got: 000e
Checksum failed. Expected: c7c8, Got: 000e
Checksum failed. Expected: 537f, Got: 000e
Checksum failed. Expected: e9b7, Got: 000e
Checksum failed. Expected: 04e3, Got: 000e
Checksum failed. Expected: 2d47, Got: 000e
Checksum failed. Expected: 4d0b, Got: 000e
Checksum failed. Expected: 1640, Got: 000e
Checksum failed. Expected: a197, Got: 000e
Checksum failed. Expected: ee95, Got: 000e
Checksum failed. Expected: cfaa, Got: 000e
Checksum failed. Expected: 4e55, Got: 000e
Checksum failed. Expected: beb2, Got: 000e
Checksum failed. Expected: bdff, Got: 000e
Checksum failed. Expected: 13b0, Got: 000e
Checksum failed. Expected: 9c34, Got: 000e
Checksum failed. Expected: cbc1, Got: 000e
Checksum failed. Expected: 51de, Got: 000e
Checksum failed. Expected: ea88, Got: 000e
Checksum failed. Expected: ceb7, Got: 000e
Checksum failed. Expected: 50a6, Got: 000e
Checksum failed. Expected: 1adb, Got: 000e
Checksum failed. Expected: f218, Got: 000e
Checksum failed. Expected: 2b98, Got: 000e
Checksum failed. Expected: 4192, Got: 000e
Checksum failed. Expected: 9842, Got: 000e
Checksum failed. Expected: 22a2, Got: 000e
Checksum failed. Expected: 1725, Got: 000e
Checksum failed. Expected: 2358, Got: 000e
Checksum failed. Expected: d906, Got: 000e
Checksum failed. Expected: 24e7, Got: 000e
Checksum failed. Expected: d0c7, Got: 000e
Checksum failed. Expected: 2984, Got: 000e
Checksum failed. Expected: 7c1d, Got: 000e
Checksum failed. Expected: 59d8, Got: 000e
Checksum failed. Expected: 286e, Got: 000e
Checksum failed. Expected: 8128, Got: 000e
Checksum failed. Expected: f1d9, Got: 000e
Checksum failed. Expected: 2fb6, Got: 000e
Checksum failed. Expected: 458d, Got: 000e
Checksum failed. Expected: c1d4, Got: 000e
Checksum failed. Expected: e08b, Got: 000e
Checksum failed. Expected: 5e40, Got: 000e
Checksum failed. Expected: 7fe1, Got: 000e
Checksum failed. Expected: 926b, Got: 000e
Checksum failed. Expected: 5dbb, Got: 000e
Checksum failed. Expected: 4648, Got: 000e
Checksum failed. Expected: 004e, Got: 000e
Checksum failed. Expected: 8687, Got: 000e
Checksum failed. Expected: b1ce, Got: 000e
Checksum failed. Expected: 819e, Got: 000e
Checksum failed. Expected: 8bac, Got: 000e
Checksum failed. Expected: 37b0, Got: 000e
Checksum failed. Expected: a61c, Got: 000e
Checksum failed. Expected: 103f, Got: 000e
Checksum failed. Expected: 84f2, Got: 000e
Checksum failed. Expected: 3df4, Got: 000e
Checksum failed. Expected: 1f0e, Got: 000e
Checksum failed. Expected: db2c, Got: 000e
Checksum failed. Expected: 950a, Got: 000e
Checksum failed. Expected: 99be, Got: 000e
Checksum failed. Expected: 5838, Got: 000e
Checksum failed. Expected: 41b0, Got: 000e
Checksum failed. Expected: 1484, Got: 000e
Checksum failed. Expected: 5d44, Got: 000e
Checksum failed. Expected: a824, Got: 000e
Checksum failed. Expected: a0c1, Got: 000e
Checksum failed. Expected: 33e2, Got: 000e
Checksum failed. Expected: ac29, Got: 000e
Checksum failed. Expected: 02df, Got: 000e
Checksum failed. Expected: 817d, Got: 000e
Checksum failed. Expected: 8fcf, Got: 000e
Checksum failed. Expected: b3a6, Got: 000e
Checksum failed. Expected: c0d6, Got: 000e
Checksum failed. Expected: 7c20, Got: 000e
Checksum failed. Expected: b23e, Got: 000e
Checksum failed. Expected: 31e6, Got: 000e
Checksum failed. Expected: 8f2c, Got: 000e
Checksum failed. Expected: 4b77, Got: 000e
Checksum failed. Expected: 2184, Got: 000e
Checksum failed. Expected: a59b, Got: 000e
Checksum failed. Expected: 60bf, Got: 000e
Checksum failed. Expected: d8ea, Got: 000e
Checksum failed. Expected: 41dc, Got: 000e
