
#################################################################
Log started at 2025-06-16_09-42-22.037339 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.742011, Y=0.132150, Z=9.759975 m/s^2 Time of Week: 131.374000, Week Number: 0
Acceleration: X=-0.740934, Y=0.132552, Z=9.764444 m/s^2 Time of Week: 131.378000, Week Number: 0
Acceleration: X=-0.741047, Y=0.130446, Z=9.760484 m/s^2 Time of Week: 131.382000, Week Number: 0
Acceleration: X=-0.737850, Y=0.125988, Z=9.762617 m/s^2 Time of Week: 131.386000, Week Number: 0
Acceleration: X=-0.732764, Y=0.128489, Z=9.764671 m/s^2 Time of Week: 131.390000, Week Number: 0
Acceleration: X=-0.734709, Y=0.132885, Z=9.765881 m/s^2 Time of Week: 131.394000, Week Number: 0
Acceleration: X=-0.739841, Y=0.129569, Z=9.766139 m/s^2 Time of Week: 131.398000, Week Number: 0
Acceleration: X=-0.737848, Y=0.135537, Z=9.769003 m/s^2 Time of Week: 131.402000, Week Number: 0
Acceleration: X=-0.734158, Y=0.147466, Z=9.768971 m/s^2 Time of Week: 131.406000, Week Number: 0
Acceleration: X=-0.727221, Y=0.146701, Z=9.775784 m/s^2 Time of Week: 131.410000, Week Number: 0
Acceleration: X=-0.724273, Y=0.148460, Z=9.783163 m/s^2 Time of Week: 131.414000, Week Number: 0
Acceleration: X=-0.721400, Y=0.140726, Z=9.785190 m/s^2 Time of Week: 131.418000, Week Number: 0
Acceleration: X=-0.723079, Y=0.147385, Z=9.786033 m/s^2 Time of Week: 131.422000, Week Number: 0
Acceleration: X=-0.717599, Y=0.146297, Z=9.784100 m/s^2 Time of Week: 131.426000, Week Number: 0
Acceleration: X=-0.718065, Y=0.146576, Z=9.790376 m/s^2 Time of Week: 131.430000, Week Number: 0
Acceleration: X=-0.721268, Y=0.136866, Z=9.791686 m/s^2 Time of Week: 131.434000, Week Number: 0
Acceleration: X=-0.725507, Y=0.147713, Z=9.789777 m/s^2 Time of Week: 131.438000, Week Number: 0
Acceleration: X=-0.723843, Y=0.146030, Z=9.782417 m/s^2 Time of Week: 131.442000, Week Number: 0
Acceleration: X=-0.722562, Y=0.132012, Z=9.777650 m/s^2 Time of Week: 131.446000, Week Number: 0
Acceleration: X=-0.729350, Y=0.135128, Z=9.781733 m/s^2 Time of Week: 131.450000, Week Number: 0
Acceleration: X=-0.726843, Y=0.132205, Z=9.777188 m/s^2 Time of Week: 131.454000, Week Number: 0
Acceleration: X=-0.727338, Y=0.139253, Z=9.767671 m/s^2 Time of Week: 131.458000, Week Number: 0
Acceleration: X=-0.734724, Y=0.144315, Z=9.767994 m/s^2 Time of Week: 131.462000, Week Number: 0
Acceleration: X=-0.737064, Y=0.130509, Z=9.773067 m/s^2 Time of Week: 131.466000, Week Number: 0
Acceleration: X=-0.731274, Y=0.136523, Z=9.780545 m/s^2 Time of Week: 131.470000, Week Number: 0
Acceleration: X=-0.722917, Y=0.134917, Z=9.773868 m/s^2 Time of Week: 131.474000, Week Number: 0
Acceleration: X=-0.725366, Y=0.143893, Z=9.781306 m/s^2 Time of Week: 131.478000, Week Number: 0
Acceleration: X=-0.728709, Y=0.144440, Z=9.775135 m/s^2 Time of Week: 131.482000, Week Number: 0
Acceleration: X=-0.720314, Y=0.143825, Z=9.789349 m/s^2 Time of Week: 131.486000, Week Number: 0
Acceleration: X=-0.717683, Y=0.147768, Z=9.783069 m/s^2 Time of Week: 131.490000, Week Number: 0
Acceleration: X=-0.715007, Y=0.146270, Z=9.788339 m/s^2 Time of Week: 131.494000, Week Number: 0
Acceleration: X=-0.721541, Y=0.143277, Z=9.783684 m/s^2 Time of Week: 131.498000, Week Number: 0
Acceleration: X=-0.720302, Y=0.139115, Z=9.792717 m/s^2 Time of Week: 131.502000, Week Number: 0
Acceleration: X=-0.719616, Y=0.141123, Z=9.779225 m/s^2 Time of Week: 131.506000, Week Number: 0
Acceleration: X=-0.725406, Y=0.140591, Z=9.777503 m/s^2 Time of Week: 131.510000, Week Number: 0
Acceleration: X=-0.732872, Y=0.139796, Z=9.771879 m/s^2 Time of Week: 131.514000, Week Number: 0
Acceleration: X=-0.735521, Y=0.132627, Z=9.772406 m/s^2 Time of Week: 131.518000, Week Number: 0
Acceleration: X=-0.733863, Y=0.135234, Z=9.755964 m/s^2 Time of Week: 131.522000, Week Number: 0
Acceleration: X=-0.733511, Y=0.133728, Z=9.761154 m/s^2 Time of Week: 131.526000, Week Number: 0
Acceleration: X=-0.736326, Y=0.133882, Z=9.758114 m/s^2 Time of Week: 131.530000, Week Number: 0
Acceleration: X=-0.736011, Y=0.127212, Z=9.759724 m/s^2 Time of Week: 131.534000, Week Number: 0
Acceleration: X=-0.734732, Y=0.130565, Z=9.769513 m/s^2 Time of Week: 131.538000, Week Number: 0
Acceleration: X=-0.726923, Y=0.141039, Z=9.767014 m/s^2 Time of Week: 131.542000, Week Number: 0
Acceleration: X=-0.729894, Y=0.130772, Z=9.766177 m/s^2 Time of Week: 131.546000, Week Number: 0
Acceleration: X=-0.731388, Y=0.129657, Z=9.773831 m/s^2 Time of Week: 131.550000, Week Number: 0
Acceleration: X=-0.730346, Y=0.139336, Z=9.776983 m/s^2 Time of Week: 131.554000, Week Number: 0
Acceleration: X=-0.720519, Y=0.138117, Z=9.782385 m/s^2 Time of Week: 131.558000, Week Number: 0
Acceleration: X=-0.718366, Y=0.145603, Z=9.786922 m/s^2 Time of Week: 131.562000, Week Number: 0
Acceleration: X=-0.721772, Y=0.140706, Z=9.797393 m/s^2 Time of Week: 131.566000, Week Number: 0
Acceleration: X=-0.717657, Y=0.143970, Z=9.786299 m/s^2 Time of Week: 131.570000, Week Number: 0
Acceleration: X=-0.716490, Y=0.156870, Z=9.779988 m/s^2 Time of Week: 131.574000, Week Number: 0
Acceleration: X=-0.717513, Y=0.156346, Z=9.781902 m/s^2 Time of Week: 131.578000, Week Number: 0
Acceleration: X=-0.723033, Y=0.151560, Z=9.779557 m/s^2 Time of Week: 131.582000, Week Number: 0
Acceleration: X=-0.726635, Y=0.142034, Z=9.784948 m/s^2 Time of Week: 131.586000, Week Number: 0
Acceleration: X=-0.733187, Y=0.145176, Z=9.777168 m/s^2 Time of Week: 131.590000, Week Number: 0
Acceleration: X=-0.732343, Y=0.142409, Z=9.775078 m/s^2 Time of Week: 131.594000, Week Number: 0
Acceleration: X=-0.737507, Y=0.133814, Z=9.783767 m/s^2 Time of Week: 131.598000, Week Number: 0
Acceleration: X=-0.738688, Y=0.138135, Z=9.769225 m/s^2 Time of Week: 131.602000, Week Number: 0
Acceleration: X=-0.734760, Y=0.134856, Z=9.765513 m/s^2 Time of Week: 131.606000, Week Number: 0
Acceleration: X=-0.729436, Y=0.135657, Z=9.765153 m/s^2 Time of Week: 131.610000, Week Number: 0
Acceleration: X=-0.729151, Y=0.131462, Z=9.767765 m/s^2 Time of Week: 131.614000, Week Number: 0
Acceleration: X=-0.731989, Y=0.128729, Z=9.778878 m/s^2 Time of Week: 131.618000, Week Number: 0
Acceleration: X=-0.722438, Y=0.130290, Z=9.767947 m/s^2 Time of Week: 131.622000, Week Number: 0
Acceleration: X=-0.719065, Y=0.140221, Z=9.767505 m/s^2 Time of Week: 131.626000, Week Number: 0
Acceleration: X=-0.722992, Y=0.140824, Z=9.774048 m/s^2 Time of Week: 131.630000, Week Number: 0
Acceleration: X=-0.726931, Y=0.142302, Z=9.782779 m/s^2 Time of Week: 131.634000, Week Number: 0
Acceleration: X=-0.722217, Y=0.140689, Z=9.780840 m/s^2 Time of Week: 131.638000, Week Number: 0
Acceleration: X=-0.722116, Y=0.151940, Z=9.777810 m/s^2 Time of Week: 131.642000, Week Number: 0
Acceleration: X=-0.726597, Y=0.145066, Z=9.783234 m/s^2 Time of Week: 131.646000, Week Number: 0
Acceleration: X=-0.721085, Y=0.139023, Z=9.791131 m/s^2 Time of Week: 131.650000, Week Number: 0
Acceleration: X=-0.720701, Y=0.137831, Z=9.791610 m/s^2 Time of Week: 131.654000, Week Number: 0
Acceleration: X=-0.714243, Y=0.144639, Z=9.787375 m/s^2 Time of Week: 131.658000, Week Number: 0
Acceleration: X=-0.718600, Y=0.144959, Z=9.771655 m/s^2 Time of Week: 131.662000, Week Number: 0
Acceleration: X=-0.721350, Y=0.145186, Z=9.779308 m/s^2 Time of Week: 131.666000, Week Number: 0
Acceleration: X=-0.726353, Y=0.139626, Z=9.786648 m/s^2 Time of Week: 131.670000, Week Number: 0
Acceleration: X=-0.725621, Y=0.139929, Z=9.775217 m/s^2 Time of Week: 131.674000, Week Number: 0
Acceleration: X=-0.726163, Y=0.134636, Z=9.776569 m/s^2 Time of Week: 131.678000, Week Number: 0
Acceleration: X=-0.727729, Y=0.137088, Z=9.782209 m/s^2 Time of Week: 131.682000, Week Number: 0
Acceleration: X=-0.737537, Y=0.132009, Z=9.784341 m/s^2 Time of Week: 131.686000, Week Number: 0
Acceleration: X=-0.726985, Y=0.140675, Z=9.769643 m/s^2 Time of Week: 131.690000, Week Number: 0
Acceleration: X=-0.722787, Y=0.145728, Z=9.777790 m/s^2 Time of Week: 131.694000, Week Number: 0
Acceleration: X=-0.722392, Y=0.140650, Z=9.770836 m/s^2 Time of Week: 131.698000, Week Number: 0
Acceleration: X=-0.725057, Y=0.138784, Z=9.776762 m/s^2 Time of Week: 131.702000, Week Number: 0
Acceleration: X=-0.725727, Y=0.140081, Z=9.784672 m/s^2 Time of Week: 131.706000, Week Number: 0
Acceleration: X=-0.722335, Y=0.144073, Z=9.783525 m/s^2 Time of Week: 131.710000, Week Number: 0
Acceleration: X=-0.726187, Y=0.143693, Z=9.789834 m/s^2 Time of Week: 131.714000, Week Number: 0
Acceleration: X=-0.726820, Y=0.136196, Z=9.784950 m/s^2 Time of Week: 131.718000, Week Number: 0
Acceleration: X=-0.719603, Y=0.142078, Z=9.788893 m/s^2 Time of Week: 131.722000, Week Number: 0
Acceleration: X=-0.719138, Y=0.148182, Z=9.773463 m/s^2 Time of Week: 131.726000, Week Number: 0
Acceleration: X=-0.719688, Y=0.146031, Z=9.776130 m/s^2 Time of Week: 131.730000, Week Number: 0
Acceleration: X=-0.723507, Y=0.140423, Z=9.778064 m/s^2 Time of Week: 131.734000, Week Number: 0
Acceleration: X=-0.725923, Y=0.140647, Z=9.772901 m/s^2 Time of Week: 131.738000, Week Number: 0
Acceleration: X=-0.725510, Y=0.142564, Z=9.769106 m/s^2 Time of Week: 131.742000, Week Number: 0
Acceleration: X=-0.729028, Y=0.138201, Z=9.773491 m/s^2 Time of Week: 131.746000, Week Number: 0
Acceleration: X=-0.733003, Y=0.139029, Z=9.774282 m/s^2 Time of Week: 131.750000, Week Number: 0
Acceleration: X=-0.737258, Y=0.134387, Z=9.773485 m/s^2 Time of Week: 131.754000, Week Number: 0
Acceleration: X=-0.739932, Y=0.134919, Z=9.776024 m/s^2 Time of Week: 131.758000, Week Number: 0
Acceleration: X=-0.735273, Y=0.137394, Z=9.768770 m/s^2 Time of Week: 131.762000, Week Number: 0
Acceleration: X=-0.734285, Y=0.133250, Z=9.772131 m/s^2 Time of Week: 131.766000, Week Number: 0
Acceleration: X=-0.735913, Y=0.134017, Z=9.773475 m/s^2 Time of Week: 131.770000, Week Number: 0
Acceleration: X=-0.733572, Y=0.133887, Z=9.771158 m/s^2 Time of Week: 131.774000, Week Number: 0
Acceleration: X=-0.723616, Y=0.135721, Z=9.768017 m/s^2 Time of Week: 131.778000, Week Number: 0
Acceleration: X=-0.720327, Y=0.131108, Z=9.776450 m/s^2 Time of Week: 131.782000, Week Number: 0
Acceleration: X=-0.727921, Y=0.137453, Z=9.780826 m/s^2 Time of Week: 131.786000, Week Number: 0
Acceleration: X=-0.731377, Y=0.138752, Z=9.777032 m/s^2 Time of Week: 131.790000, Week Number: 0
Acceleration: X=-0.724672, Y=0.143645, Z=9.782363 m/s^2 Time of Week: 131.794000, Week Number: 0
Acceleration: X=-0.724305, Y=0.152000, Z=9.780729 m/s^2 Time of Week: 131.798000, Week Number: 0
Acceleration: X=-0.723633, Y=0.147902, Z=9.782698 m/s^2 Time of Week: 131.802000, Week Number: 0
Acceleration: X=-0.727248, Y=0.147684, Z=9.785192 m/s^2 Time of Week: 131.806000, Week Number: 0
Acceleration: X=-0.729506, Y=0.147695, Z=9.782979 m/s^2 Time of Week: 131.810000, Week Number: 0
Acceleration: X=-0.721714, Y=0.149229, Z=9.786474 m/s^2 Time of Week: 131.814000, Week Number: 0
Acceleration: X=-0.722022, Y=0.149478, Z=9.784955 m/s^2 Time of Week: 131.818000, Week Number: 0
Acceleration: X=-0.727073, Y=0.146932, Z=9.774300 m/s^2 Time of Week: 131.822000, Week Number: 0
Acceleration: X=-0.727734, Y=0.144047, Z=9.773848 m/s^2 Time of Week: 131.826000, Week Number: 0
Acceleration: X=-0.727690, Y=0.138459, Z=9.780051 m/s^2 Time of Week: 131.830000, Week Number: 0
Acceleration: X=-0.733507, Y=0.135559, Z=9.779521 m/s^2 Time of Week: 131.834000, Week Number: 0
Acceleration: X=-0.723445, Y=0.130776, Z=9.779052 m/s^2 Time of Week: 131.838000, Week Number: 0
Acceleration: X=-0.719870, Y=0.129776, Z=9.775434 m/s^2 Time of Week: 131.842000, Week Number: 0
Acceleration: X=-0.722812, Y=0.130762, Z=9.769605 m/s^2 Time of Week: 131.846000, Week Number: 0
Acceleration: X=-0.725571, Y=0.128275, Z=9.774950 m/s^2 Time of Week: 131.850000, Week Number: 0
Acceleration: X=-0.726993, Y=0.125958, Z=9.773566 m/s^2 Time of Week: 131.854000, Week Number: 0
Acceleration: X=-0.723397, Y=0.138857, Z=9.778091 m/s^2 Time of Week: 131.858000, Week Number: 0
Acceleration: X=-0.725632, Y=0.147209, Z=9.776243 m/s^2 Time of Week: 131.862000, Week Number: 0
Acceleration: X=-0.728855, Y=0.140731, Z=9.775749 m/s^2 Time of Week: 131.866000, Week Number: 0
Acceleration: X=-0.725200, Y=0.142746, Z=9.786153 m/s^2 Time of Week: 131.870000, Week Number: 0
Acceleration: X=-0.717257, Y=0.145538, Z=9.776602 m/s^2 Time of Week: 131.874000, Week Number: 0
Acceleration: X=-0.725689, Y=0.145993, Z=9.782659 m/s^2 Time of Week: 131.878000, Week Number: 0
Acceleration: X=-0.728115, Y=0.146425, Z=9.784355 m/s^2 Time of Week: 131.882000, Week Number: 0
