
#################################################################
Log started at 2025-06-16_16-13-41.134051 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.372870, Y=0.156942, Z=9.797930 m/s^2 Time of Week: 116021.565410, Week Number: 2371
Acceleration: X=0.374499, Y=0.156698, Z=9.802358 m/s^2 Time of Week: 116021.568410, Week Number: 2371
Acceleration: X=0.374104, Y=0.150395, Z=9.800981 m/s^2 Time of Week: 116021.571410, Week Number: 2371
Acceleration: X=0.368345, Y=0.155121, Z=9.800925 m/s^2 Time of Week: 116021.574410, Week Number: 2371
Acceleration: X=0.367527, Y=0.155907, Z=9.794207 m/s^2 Time of Week: 116021.577410, Week Number: 2371
Acceleration: X=0.368077, Y=0.157683, Z=9.798081 m/s^2 Time of Week: 116021.580410, Week Number: 2371
Acceleration: X=0.358184, Y=0.157260, Z=9.801845 m/s^2 Time of Week: 116021.583410, Week Number: 2371
Acceleration: X=0.362897, Y=0.155376, Z=9.806608 m/s^2 Time of Week: 116021.586410, Week Number: 2371
Acceleration: X=0.362264, Y=0.159083, Z=9.811195 m/s^2 Time of Week: 116021.589410, Week Number: 2371
Acceleration: X=0.360061, Y=0.158136, Z=9.807851 m/s^2 Time of Week: 116021.592410, Week Number: 2371
Acceleration: X=0.361114, Y=0.158866, Z=9.804324 m/s^2 Time of Week: 116021.595410, Week Number: 2371
Acceleration: X=0.358818, Y=0.156529, Z=9.807666 m/s^2 Time of Week: 116021.598410, Week Number: 2371
Acceleration: X=0.352974, Y=0.156344, Z=9.805610 m/s^2 Time of Week: 116021.601410, Week Number: 2371
Acceleration: X=0.363543, Y=0.144810, Z=9.808434 m/s^2 Time of Week: 116021.604410, Week Number: 2371
Acceleration: X=0.356677, Y=0.156940, Z=9.806704 m/s^2 Time of Week: 116021.607410, Week Number: 2371
Acceleration: X=0.361552, Y=0.156622, Z=9.803297 m/s^2 Time of Week: 116021.610410, Week Number: 2371
Acceleration: X=0.365274, Y=0.151494, Z=9.791716 m/s^2 Time of Week: 116021.613410, Week Number: 2371
Acceleration: X=0.359748, Y=0.149742, Z=9.796079 m/s^2 Time of Week: 116021.616410, Week Number: 2371
Acceleration: X=0.364376, Y=0.149249, Z=9.805663 m/s^2 Time of Week: 116021.619410, Week Number: 2371
